Product Title,Category,ProductTitle,Prod_id,Requested_prod_id,Product_Views,Prod_id,Category,Prod_id,GTIN(EAN/UPC),GTIN(EAN/UPC),Product_Views,Category,Prod_id,Prod_id,ExpirationDate,ExpirationDate,ProductPDF,Long product name,ShortDesc,ProductTitle,LongDesc,ShortDesc,ShortSummaryDescription,ShortDesc,Product_Title,ProductTitle,LongSummaryDescription,Product_Title,Requested_prod_id,ProductTitle,Requested_prod_id,Prod_id,Category
Specs HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press Warranty & Support Extensions (U9UB5E),Warranty & Support Extensions,HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press,XML product data for HP U9UB5E,Icecat LIVE: JS for HP U9UB5E,JSON product data for HP U9UB5E,CSV product data for HP U9UB5E,Download the Icecat taxonomy for 'Warranty & Support Extensions',3 months Account Service Manager w/Limited onsite visits for PageWide Web Press,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,38173224,34719,21 Apr 2023 11:44:44,,,,,,,,Short summary description                                HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press:,This short summary of the HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press:,This is an auto-generated long summary of HP 3 months Account Service Manager w/Limited onsite visits for PageWide Web Press based on the first three specs of the first five spec groups.,,XML product data for HP U9UB5E,Icecat LIVE: JS for HP U9UB5E,JSON product data for HP U9UB5E,CSV product data for HP U9UB5E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP Notebook - 15-bw006na Laptops (1RJ47EA),,HP Notebook - 15-bw006na,XML product data for HP 1RJ47EA,Icecat LIVE: JS for HP 1RJ47EA,JSON product data for HP 1RJ47EA,CSV product data for HP 1RJ47EA,,Notebook - 15-bw006na,191628329724.0,191628329724.0,,,37165012,12755,30 Mar 2023 12:55:27,14 Dec 2017,HP 1RJ47EA (Icecat),Long product name HP Notebook - 15-bw006na,"The long product name of HP Notebook - 15-bw006na. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Notebook - 15-bw006na:,"The official description of HP Notebook - 15-bw006na as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Reliable performance. Beautiful design. Do more.    Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable performance and long lasting battery life  [1]  —you can easily surf, stream and stay in touch with what matters most.",Short summary description                                HP Notebook - 15-bw006na:,This short summary of the HP Notebook - 15-bw006na data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Notebook - 15-bw006na, AMD A9, 3 GHz, 39.6 cm (15.6'), 1366 x 768 pixels, 8 GB, 1 TB",Long summary description                                HP Notebook - 15-bw006na:,This is an auto-generated long summary of HP Notebook - 15-bw006na based on the first three specs of the first five spec groups.,"HP Notebook - 15-bw006na. Product type: Laptop, Form factor: Clamshell. Processor family: AMD A9, Processor model: A9-9420, Processor frequency: 3 GHz. Display diagonal: 39.6 cm (15.6'), HD type: HD, Display resolution: 1366 x 768 pixels. Internal memory: 8 GB, Internal memory type: DDR4-SDRAM. Total storage capacity: 1 TB, Storage media: HDD. On-board graphics card model: AMD Radeon R5. Operating system installed: Windows 10 Home. Product colour: Grey",XML product data for HP 1RJ47EA,Icecat LIVE: JS for HP 1RJ47EA,JSON product data for HP 1RJ47EA,CSV product data for HP 1RJ47EA,
Specs HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp Warranty & Support Extensions (HZ723E),Warranty & Support Extensions,HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp,XML product data for HP HZ723E,Icecat LIVE: JS for HP HZ723E,JSON product data for HP HZ723E,CSV product data for HP HZ723E,Download the Icecat taxonomy for 'Warranty & Support Extensions',4y DMR w/2nd DayCTR SJ8500fn1 HW Supp,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,13845698,38248,,01 Feb 2017,,Long product name HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp,"The long product name of HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",,,,Short summary description                                HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp:,This short summary of the HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp:,This is an auto-generated long summary of HP 4y DMR w/2nd DayCTR SJ8500fn1 HW Supp based on the first three specs of the first five spec groups.,,XML product data for HP HZ723E,Icecat LIVE: JS for HP HZ723E,JSON product data for HP HZ723E,CSV product data for HP HZ723E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP CG417A large format media 100.6 m Matte (CG417A),Large Format Media,HP CG417A large format media 100.6 m Matte,XML product data for HP CG417A,Icecat LIVE: JS for HP CG417A,JSON product data for HP CG417A,CSV product data for HP CG417A,Download the Icecat taxonomy for 'Large Format Media',CG417A,883585618286.0,883585618286.0,Large format media include billboard posters and large outdoor screens.,Large Format Media,1733443,52881,11 Jul 2022 13:41:32,02 Jul 2011,"data sheet                                        
                                                                                    (0.2                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       HP CG417A (Icecat)",Long product name HP CG417A large format media 100.6 m Matte,"The long product name of HP CG417A large format media 100.6 m Matte. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP CG417A large format media 100.6 m Matte:,"The official description of HP CG417A large format media 100.6 m Matte as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","A competitively priced, recyclable High Density Polyethylene (HDPE) banner offering an alternative to traditional PVC scrim banners. Printing with HP Latex printers not only delivers superior image quality over other non-aqueous printers, but offers a strong media resilient to outdoor elements.",Short summary description                                HP CG417A large format media 100.6 m Matte:,This short summary of the HP CG417A large format media 100.6 m Matte data-sheet is auto-generated and uses the product title and the first six key specs.,"HP CG417A, 100.6 m, Matte, 180 g/m²",Long summary description                                HP CG417A large format media 100.6 m Matte:,This is an auto-generated long summary of HP CG417A large format media 100.6 m Matte based on the first three specs of the first five spec groups.,"HP CG417A. Roll length: 100.6 m, Finish type: Matte, Print media weight: 180 g/m²",XML product data for HP CG417A,Icecat LIVE: JS for HP CG417A,JSON product data for HP CG417A,CSV product data for HP CG417A,Download the Icecat taxonomy for 'Large Format Media'
Specs HP Notebook - 14-bp069na Laptops (2PW21EA),,HP Notebook - 14-bp069na,XML product data for HP 2PW21EA,Icecat LIVE: JS for HP 2PW21EA,JSON product data for HP 2PW21EA,CSV product data for HP 2PW21EA,,Notebook - 14-bp069na,192018079571.0,192018079571.0,,,38173252,7854,26 Jan 2022 16:27:59,28 Feb 2018,"Product Brochure/Datasheet                                        
                                                                                    (2.8                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.",Long product name HP Notebook - 14-bp069na,"The long product name of HP Notebook - 14-bp069na. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Notebook - 14-bp069na:,"The official description of HP Notebook - 14-bp069na as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Reliable performance. Beautiful design. Do more.    Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable performance and long lasting battery life  [1]  —you can easily surf, stream and stay in touch with what matters most.",Short summary description                                HP Notebook - 14-bp069na:,This short summary of the HP Notebook - 14-bp069na data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Notebook - 14-bp069na, Intel® Core™ i5, 2.5 GHz, 35.6 cm (14'), 1920 x 1080 pixels, 4 GB, 128 GB",Long summary description                                HP Notebook - 14-bp069na:,This is an auto-generated long summary of HP Notebook - 14-bp069na based on the first three specs of the first five spec groups.,"HP Notebook - 14-bp069na. Product type: Laptop, Form factor: Clamshell. Processor family: Intel® Core™ i5, Processor model: i5-7200U, Processor frequency: 2.5 GHz. Display diagonal: 35.6 cm (14'), HD type: Full HD, Display resolution: 1920 x 1080 pixels. Internal memory: 4 GB, Internal memory type: DDR4-SDRAM. Total storage capacity: 128 GB, Storage media: SSD. On-board graphics card model: Intel® HD Graphics 620. Operating system installed: Windows 10 Home. Product colour: Black",XML product data for HP 2PW21EA,Icecat LIVE: JS for HP 2PW21EA,JSON product data for HP 2PW21EA,CSV product data for HP 2PW21EA,
Specs HP Premium Messenger Laptop Cases (J4Y51AA),Laptop Cases,HP Premium Messenger,XML product data for HP J4Y51AA,Icecat LIVE: JS for HP J4Y51AA,JSON product data for HP J4Y51AA,CSV product data for HP J4Y51AA,Download the Icecat taxonomy for 'Laptop Cases',Premium Messenger,888793245330.0,888793245330.0,"Take your laptop with you in a safe, comfortable and ergonomic way; use one of these specially designed bags or cases!",Laptop Cases,24392098,145807,01 Jun 2022 15:50:24,17 May 2017,HP J4Y51AA (Icecat),Long product name HP Premium Messenger,"The long product name of HP Premium Messenger. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Premium Messenger:,"The official description of HP Premium Messenger as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Revitalize your urban lifestyle with the unique blend of streamlined practicality and stylish design.    Modern edge within classic simplicity     Style and comfort join in a minimalist form that is as impressive in design as enjoyable to carry. Proudly showcase the HP brand that is subtly blended throughout the messenger.    Appreciable quality with distinctive materials     Not your ordinary messenger case. The HP Premium Messenger uniquely combines felt, polyester, metal and genuine leather materials with invigorating cyan blue twill.    Essential pocketed storage     Store laptops up to 39.62 cm (15.6in) within full padding and secured by a leather strap, with a separate padded pocket for your tablet.",Short summary description                                HP Premium Messenger:,This short summary of the HP Premium Messenger data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Premium Messenger, Messenger case, 39.6 cm (15.6'), Shoulder strap, 880 g",Long summary description                                HP Premium Messenger:,This is an auto-generated long summary of HP Premium Messenger based on the first three specs of the first five spec groups.,"HP Premium Messenger. Case type: Messenger case, Maximum screen size: 39.6 cm (15.6'), Shoulder strap. Weight: 880 g. Surface coloration: Monochromatic",XML product data for HP J4Y51AA,Icecat LIVE: JS for HP J4Y51AA,JSON product data for HP J4Y51AA,CSV product data for HP J4Y51AA,Download the Icecat taxonomy for 'Laptop Cases'
Specs HP Carry Sleeve 14 Laptop Cases (1PD66AA),Laptop Cases,HP Carry Sleeve 14,XML product data for HP 1PD66AA,Icecat LIVE: JS for HP 1PD66AA,JSON product data for HP 1PD66AA,CSV product data for HP 1PD66AA,Download the Icecat taxonomy for 'Laptop Cases',Carry Sleeve 14,190781704744.0,190781704744.0,"Take your laptop with you in a safe, comfortable and ergonomic way; use one of these specially designed bags or cases!",Laptop Cases,37054892,124872,21 Feb 2021 11:06:26,11 Jun 2019,HP 1PD66AA (Icecat),Long product name HP Carry Sleeve 14,"The long product name of HP Carry Sleeve 14. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Carry Sleeve 14:,"The official description of HP Carry Sleeve 14 as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Keep your laptop safe from daily bumps and scrapes with a robust sleeve that does more than protect. A comfortable handle and quick-access front pocket makes travel that much more convenient, allowing you to store pens, thumb drives, and other essential accessories.   A pop of personality    This sleeve looks as good as it protects with a unique, patterned design.   Cushioned interior    A soft lining keeps your laptop safe from scratches while on the go.   Self-repairing zippers    Reliable, well-made zippers ensure smooth openings and closings, every time.",Short summary description                                HP Carry Sleeve 14:,This short summary of the HP Carry Sleeve 14 data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Carry Sleeve 14, Sleeve case, 35.6 cm (14'), 280 g",Long summary description                                HP Carry Sleeve 14:,This is an auto-generated long summary of HP Carry Sleeve 14 based on the first three specs of the first five spec groups.,"HP Carry Sleeve 14. Case type: Sleeve case, Maximum screen size: 35.6 cm (14'). Weight: 280 g. Surface coloration: Pattern",XML product data for HP 1PD66AA,Icecat LIVE: JS for HP 1PD66AA,JSON product data for HP 1PD66AA,CSV product data for HP 1PD66AA,Download the Icecat taxonomy for 'Laptop Cases'
Specs HP Samsung ML-3310DK Laser Printer Laser Printers (SV859A),Laser Printers,HP Samsung ML-3310DK Laser Printer,XML product data for HP SV859A,Icecat LIVE: JS for HP SV859A,JSON product data for HP SV859A,CSV product data for HP SV859A,Download the Icecat taxonomy for 'Laser Printers',Samsung ML-3310DK Laser Printer,,,Laser printers are devices that print high quality text or illustrations fast. They do so by very accurately applying toner (a kind of ink powder) to the paper and then heating the paper so the toner will melt and stick to the paper.,Laser Printers,50450305,18635,26 Mar 2023 08:39:41,02 Jan 2017,"Paper handling and finishing options. Compatibility matrix (A4)                                        
                                                                                    (0.9                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       The truth about clone cartridges. Costly imposters that carry a lot of risk. Flyer (A4)                                        
                                                                                    (0.1                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       The truth about clone cartridges. Costly imposters that carry a lot of risk. Flyer                                        
                                                                                    (0.5                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       HP SV859A (Icecat)",Long product name HP Samsung ML-3310DK Laser Printer,"The long product name of HP Samsung ML-3310DK Laser Printer. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",,,,Short summary description                                HP Samsung ML-3310DK Laser Printer:,This short summary of the HP Samsung ML-3310DK Laser Printer data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP Samsung ML-3310DK Laser Printer:,This is an auto-generated long summary of HP Samsung ML-3310DK Laser Printer based on the first three specs of the first five spec groups.,,XML product data for HP SV859A,Icecat LIVE: JS for HP SV859A,JSON product data for HP SV859A,CSV product data for HP SV859A,Download the Icecat taxonomy for 'Laser Printers'
Specs HP 4 year 9x5 Software Support for Samsung Scan to Home Folder Warranty & Support Extensions (U9TJ5E),Warranty & Support Extensions,HP 4 year 9x5 Software Support for Samsung Scan to Home Folder,XML product data for HP U9TJ5E,Icecat LIVE: JS for HP U9TJ5E,JSON product data for HP U9TJ5E,CSV product data for HP U9TJ5E,Download the Icecat taxonomy for 'Warranty & Support Extensions',4 year 9x5 Software Support for Samsung Scan to Home Folder,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,40215256,16721,,20 Jun 2020,,Long product name HP 4 year 9x5 Software Support for Samsung Scan to Home Folder,"The long product name of HP 4 year 9x5 Software Support for Samsung Scan to Home Folder. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP 4 year 9x5 Software Support for Samsung Scan to Home Folder:,"The official description of HP 4 year 9x5 Software Support for Samsung Scan to Home Folder as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","HP Software Support Service provides comprehensive software services for HP software and selected HP-supported third-party products. HP Software Support Service also provides access to HP technical resources for assistance in resolving software implementation or operations problems. HP releases updates to software and reference manuals as soon as they are made available. Updates for selected HP-supported third-party software products are included as they are made available from the original software manufacturer. HP Software Support Service also includes the license to use software updates for each system, socket, processor, processor core, or end user software license, as allowed by the original HP or original manufacturer software license terms. In addition, HP Software Support Service provides electronic access to related product and support information, enabling any member of your IT staff to locate this commercially available essential information. For third-party products, access is subject to availability of information from the original manufacturer.",Short summary description                                HP 4 year 9x5 Software Support for Samsung Scan to Home Folder:,This short summary of the HP 4 year 9x5 Software Support for Samsung Scan to Home Folder data-sheet is auto-generated and uses the product title and the first six key specs.,"HP 4 year 9x5 Software Support for Samsung Scan to Home Folder, 4 year(s), 9x5",Long summary description                                HP 4 year 9x5 Software Support for Samsung Scan to Home Folder:,This is an auto-generated long summary of HP 4 year 9x5 Software Support for Samsung Scan to Home Folder based on the first three specs of the first five spec groups.,"HP 4 year 9x5 Software Support for Samsung Scan to Home Folder. Number of years: 4 year(s), Service time (hours x days): 9x5",XML product data for HP U9TJ5E,Icecat LIVE: JS for HP U9TJ5E,JSON product data for HP U9TJ5E,CSV product data for HP U9TJ5E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP TeemTalk Terminal Emulator 7 E-License Software Licenses/Upgrades (BC054AAE),Software Licenses/Upgrades,HP TeemTalk Terminal Emulator 7 E-License,XML product data for HP BC054AAE,Icecat LIVE: JS for HP BC054AAE,JSON product data for HP BC054AAE,CSV product data for HP BC054AAE,Download the Icecat taxonomy for 'Software Licenses/Upgrades',TeemTalk Terminal Emulator 7 E-License,,,"A software licence permits you to use a piece of software legally. An software upgrade is a newer or better version, in order to bring the software up to date or to improve its characteristics.",Software Licenses/Upgrades,1654062,100878,11 Jul 2022 13:40:45,31 Mar 2022,"data sheet                                        
                                                                                    (0.1                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       HP BC054AAE (Icecat)",Long product name HP TeemTalk Terminal Emulator 7 E-License,"The long product name of HP TeemTalk Terminal Emulator 7 E-License. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",,,,Short summary description                                HP TeemTalk Terminal Emulator 7 E-License:,This short summary of the HP TeemTalk Terminal Emulator 7 E-License data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP TeemTalk Terminal Emulator 7 E-License:,This is an auto-generated long summary of HP TeemTalk Terminal Emulator 7 E-License based on the first three specs of the first five spec groups.,,XML product data for HP BC054AAE,Icecat LIVE: JS for HP BC054AAE,JSON product data for HP BC054AAE,CSV product data for HP BC054AAE,Download the Icecat taxonomy for 'Software Licenses/Upgrades'
Specs HP Color Management Service w/Partner for PWP (5 days) Warranty & Support Extensions (UC6Q4E),Warranty & Support Extensions,HP Color Management Service w/Partner for PWP (5 days),XML product data for HP UC6Q4E,Icecat LIVE: JS for HP UC6Q4E,JSON product data for HP UC6Q4E,CSV product data for HP UC6Q4E,Download the Icecat taxonomy for 'Warranty & Support Extensions',Color Management Service w/Partner for PWP (5 days),,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,75614573,20913,18 Oct 2023 07:21:23,01 Sep 2023,"Product Brochure/Datasheet                                        
                                                                                    (0.6                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.",Long product name HP Color Management Service w/Partner for PWP (5 days),"The long product name of HP Color Management Service w/Partner for PWP (5 days). For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Color Management Service w/Partner for PWP (5 days):,"The official description of HP Color Management Service w/Partner for PWP (5 days) as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.",This service will help you improve the color quality and consistency within your print environment.,Short summary description                                HP Color Management Service w/Partner for PWP (5 days):,This short summary of the HP Color Management Service w/Partner for PWP (5 days) data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Color Management Service w/Partner for PWP (5 days), Onsite technical assistance, Onsite, Warranty independent, Standard workdays - 9 hours, Scheduled, Onsite consulting",Long summary description                                HP Color Management Service w/Partner for PWP (5 days):,This is an auto-generated long summary of HP Color Management Service w/Partner for PWP (5 days) based on the first three specs of the first five spec groups.,"HP Color Management Service w/Partner for PWP (5 days). Support type: Onsite technical assistance, Place of service: Onsite, Warranty coverage: Warranty independent",XML product data for HP UC6Q4E,Icecat LIVE: JS for HP UC6Q4E,JSON product data for HP UC6Q4E,CSV product data for HP UC6Q4E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP Spectre 13 - -v100na Laptops (X9W62EA),,HP Spectre 13 - -v100na,XML product data for HP X9W62EA,Icecat LIVE: JS for HP X9W62EA,JSON product data for HP X9W62EA,CSV product data for HP X9W62EA,,Spectre - 13-v100na,190780798126.0,190780798126.0,,,33280510,12646,26 Jan 2022 16:29:09,17 Mar 2017,"HP X9W62EA user manual                                        
                                                                                    (2.1                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.       HP X9W62EA (Icecat)",Long product name HP Spectre 13 - -v100na,"The long product name of HP Spectre 13 - -v100na. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Spectre 13 - -v100na:,"The official description of HP Spectre 13 - -v100na as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","This is design and technology taken to a whole new level. Artisan materials and striking craftsmanship create an experience unlike anything else. With a breathtaking composition that's 10.4mm thin and full Intel® Core™ i7 power,  [2]  the world's most luxurious laptop is completely irresistible.    There's thin and there's thinner     Desire starts with a design that has no comparison. Crafted with durable aluminum and carbon fiber, this impossibly thin laptop redefines perfection.    More power in every millimeter     It's time for unbelievable performance and revolutionary design to go hand in hand. The cutting-edge hyperbaric cooling system pulls cool air in to make full Intel® Core™ i7 power  [2]  a remarkable reality.    A sensorial masterpiece     Treat yourself to a more refined entertainment experience with a Full HD  [3]  , edge-to-edge Corning® Gorilla® Glass display, audio by Bang & Olufsen and three USB-C™ ports  [4]  to power external displays and accessories.",Short summary description                                HP Spectre 13 - -v100na:,This short summary of the HP Spectre 13 - -v100na data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Spectre 13 - -v100na, Intel® Core™ i5, 2.5 GHz, 33.8 cm (13.3'), 1920 x 1080 pixels, 8 GB, 512 GB",Long summary description                                HP Spectre 13 - -v100na:,This is an auto-generated long summary of HP Spectre 13 - -v100na based on the first three specs of the first five spec groups.,"HP Spectre 13 - -v100na. Product type: Laptop, Form factor: Clamshell. Processor family: Intel® Core™ i5, Processor model: i5-7200U, Processor frequency: 2.5 GHz. Display diagonal: 33.8 cm (13.3'), HD type: Full HD, Display resolution: 1920 x 1080 pixels. Internal memory: 8 GB, Internal memory type: LPDDR3-SDRAM. Total storage capacity: 512 GB, Storage media: SSD. On-board graphics card model: Intel® HD Graphics 620. Operating system installed: Windows 10 Home. Product colour: Black, Copper",XML product data for HP X9W62EA,Icecat LIVE: JS for HP X9W62EA,JSON product data for HP X9W62EA,CSV product data for HP X9W62EA,
Specs HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC Warranty & Support Extensions (U9AK5E),Warranty & Support Extensions,HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC,XML product data for HP U9AK5E,Icecat LIVE: JS for HP U9AK5E,JSON product data for HP U9AK5E,CSV product data for HP U9AK5E,Download the Icecat taxonomy for 'Warranty & Support Extensions',3Y NBD ADV EXCHANGE MPOS SOLUTION SVC,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,30411456,41922,,,,Long product name HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC,"The long product name of HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",,,,Short summary description                                HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC:,This short summary of the HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC:,This is an auto-generated long summary of HP 3Y NBD ADV EXCHANGE MPOS SOLUTION SVC based on the first three specs of the first five spec groups.,,XML product data for HP U9AK5E,Icecat LIVE: JS for HP U9AK5E,JSON product data for HP U9AK5E,CSV product data for HP U9AK5E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only) Warranty & Support Extensions (U8UC7E),Warranty & Support Extensions,HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only),XML product data for HP U8UC7E,Icecat LIVE: JS for HP U8UC7E,JSON product data for HP U8UC7E,CSV product data for HP U8UC7E,Download the Icecat taxonomy for 'Warranty & Support Extensions',HP 2 year 4 hour Onsite 9x5 Hardware Support for HP DesignJet T830MFP (Japan only),,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,35715987,5951,21 Apr 2023 11:43:26,,"Product Brochure/Datasheet                                        
                                                                                    (0.3                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.",,,,,,Short summary description                                HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only):,This short summary of the HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only) data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only):,This is an auto-generated long summary of HP 2 year 4 hour Onsite 9x5 Hardware Support for DesignJet T830MFP (Japan only) based on the first three specs of the first five spec groups.,,XML product data for HP U8UC7E,Icecat LIVE: JS for HP U8UC7E,JSON product data for HP U8UC7E,CSV product data for HP U8UC7E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
