Name,Name,Name,Rating,number of photos,Additional informations,Name,Name,Rating,Rating,Rating,Rating,Restaurant name,Rating,Phone Number,Price Range,address,address,Name
"MASTO a Testaccio I Roma ristorante, Roma - Menu e recensioni del ristorante",MASTO a Testaccio I Roma,MASTO a Testaccio I Roma,#73 di 14710,286 foto,sgabelli,a chocolate soufflé,Valutazioni di MASTO a Testaccio I Roma,913.0,566.0,,425.0,Opinioni dei clienti di MASTO a Testaccio I Roma,485.0,+39 06 9521 5816,€9 - €23,"Via Galvani, 39/41","Via Galvani, 39/41, Roma, Lazio, Italia",La Pergola   #1 di 17373 ristoranti  a Roma         Ristorante Il Tettuccio   #20 di 284 ristoranti  a Frascati
"La Vecchia Locanda Frascati pizzeria, Frascati - Menu e recensioni del ristorante",La Vecchia Locanda Frascati,La Vecchia Locanda Frascati,#5 di 95,208 foto,dei castelli romani,di bisonte,Valutazioni di La Vecchia Locanda Frascati,1336.0,578.0,"4,5",183.0,Opinioni dei clienti di La Vecchia Locanda Frascati,350.0,+39 393 889 1264,€10 - €35,"Via di Pietra Porzia, 32","Via di Pietra Porzia, 32, Frascati, Lazio, Italia",Pizza Idea 1   #2 di 95  pizzerie a Frascati         Ninfa Restaurant   #3 di 284 ristoranti  a Frascati         Ristorante Cavour   #1 di 284 ristoranti  a Frascati
"Pinsere pizzeria, Roma, Via Flavia - Menu e recensioni del ristorante","Pinsere, Via Flavia, 98",Pinsere,#2 di 8386,500 foto,di piazza sallustio,via Flavia,Valutazioni di Pinsere,2938.0,4272.0,,665.0,Opinioni dei clienti di Pinsere,1694.0,+39 06 4202 0924,€5 - €7,"Via Flavia, 98","Via Flavia, 98, Roma, Lazio, Italia",
"Status Quo ristorante, Municipio Roma X - Menu e recensioni del ristorante",Status Quo,Status Quo,#1 di 1029,78 foto,vegetarian options,quadri,Valutazioni di Status Quo,338.0,75.0,5,49.0,Opinioni dei clienti di Status Quo,216.0,+39 331 133 9499,€10 - €41,"Corso Regina Maria Pia, 25/27","Corso Regina Maria Pia, 25/27, Municipio Roma X, Lazio, Italia",Colline Emiliane   #3 di 17373 ristoranti  a Roma         La Pergola   #1 di 17373 ristoranti  a Roma         Pinsere   #2 di 8386  pizzerie a Roma
"Rolinho Sushi Fusion ciampino, Ciampino - Menu e recensioni del ristorante",Rolinho Sushi Fusion ciampino,Rolinho Sushi Fusion ciampino,#58 di 172,9 foto,,,Valutazioni di Rolinho Sushi Fusion ciampino,143.0,1.0,,,Opinioni dei clienti di Rolinho Sushi Fusion ciampino,109.0,,,,,Trattoria I Belloni   #3 di 172 ristoranti  a Ciampino         Mi Sushi e Ramen   #2 di 172 ristoranti  a Ciampino         Ristorante Al Vigneto dal 1961   #1 di 172 ristoranti  a Ciampino
"Metamorfosi pizzeria, Roma, Via Livio Andronico 2 - Menu e recensioni del ristorante","Metamorfosi, Via Livio Andronico 2",Metamorfosi,,,,,Valutazioni di Metamorfosi,,4.0,5,1.0,Opinioni dei clienti di Metamorfosi,3.0,+39 06 3972 5841,,"Via Livio Andronico 2, 00136","Via Livio Andronico 2, Roma, Lazio, Italia, 00136",Ristorante Il Tettuccio   #20 di 284 ristoranti  a Frascati         Cantina Il Pergolato   #20 di 144 ristoranti italiani a Frascati         La Vecchia Locanda Frascati   #5 di 95  pizzerie a Frascati
"Menu di La Pergola, Roma, Via Alberto Cadlolo - recensioni e valutazioni del ristorante italiano","La Pergola, menu","La Pergola, menu",#1 di 17373,451 foto,do love the Waldorf Astoria,chef Heinz Beck,Valutazioni di La Pergola,1097.0,2648.0,"4,3",874.0,Opinioni dei clienti di La Pergola,544.0,+39 06 3509 2152,€250 - €290,"Via Alberto Cadlolo, 101","Via Alberto Cadlolo, 101, Roma, Lazio, Italia",Ristorante Il Tettuccio   #20 di 284 ristoranti  a Frascati         Cantina Il Pergolato   #20 di 144 ristoranti italiani a Frascati
"Gusto GLAM pizzeria, Lido di Ostia - Menu e recensioni del ristorante",Gusto GLAM,Gusto GLAM,,159 foto,attilio,pomodoro San Marzano,Valutazioni di Gusto GLAM,1850.0,1124.0,"4,3",530.0,Opinioni dei clienti di Gusto GLAM,499.0,+39 06 562 2746,€10 - €50,Piazza Anco Marzio 27 Via dei fabbri navali,"Piazza Anco Marzio 27 Via dei fabbri navali, Lido di Ostia, Lazio, Italia",Cargo Burger Lab   #7598 di 17373 ristoranti  a Roma         Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té   #2 di 1029 ristoranti  a Municipio Roma X         NewMix Risto-Bistrot   #44 di 17373 ristoranti  a Roma
"Ristorante Il Tettuccio, Frascati - Menu e recensioni del ristorante",Ristorante Il Tettuccio,Ristorante Il Tettuccio,#20 di 284,117 foto,bigonzo'. Posso dire che la cantina sottostante il locale è scavata... ' data-words='l'allegro bigonzo'> l'allegro bigonzo,miran,Valutazioni di Ristorante Il Tettuccio,1141.0,1313.0,"4,2",351.0,Opinioni dei clienti di Ristorante Il Tettuccio,360.0,+39 06 8366 1797,,"Via Gioberti, 27","Via Gioberti, 27, Frascati, Lazio, Italia",Cantina Il Pergolato   #20 di 144 ristoranti italiani a Frascati         La Vecchia Locanda Frascati   #5 di 95  pizzerie a Frascati         Pizza Idea 1   #2 di 95  pizzerie a Frascati
"Pizza e Mozzarella pizzeria, Roma - Menu e recensioni del ristorante",Pizza e Mozzarella,Pizza e Mozzarella,#1 di 8386,272 foto,,,Valutazioni di Pizza e Mozzarella,2892.0,2189.0,5,7.0,Opinioni dei clienti di Pizza e Mozzarella,394.0,+39 327 357 9195,,"Via del Piè di Marmo, 32","Via del Piè di Marmo, 32, Roma, Lazio, Italia",Pinsere   #2 di 8386  pizzerie a Roma         Alfredo e Ada   #186 di 17373 ristoranti  a Roma         Da Enzo
"Ristorante Al Vigneto dal 1961, Marino, Via Dei Laghi - Recensioni del ristorante","Ristorante Al Vigneto dal 1961, Via dei Laghi, Km. 4.500",Ristorante Al Vigneto dal 1961,,117 foto,lo stinco di maiale,parking options,Valutazioni di Ristorante Al Vigneto dal 1961,300.0,123.0,"4,8",50.0,Opinioni dei clienti di Ristorante Al Vigneto dal 1961,180.0,+39 06 938 7034,€20 - €35,"Via dei Laghi, Km. 4.500","Via dei Laghi, Km. 4.500, Marino, Lazio, Italia",Ariò Pizza Food Delivery   #57 di 521  pizzerie a Municipio Roma X         Pesce Fritto e Baccalà   #2 di 190  ristoranti di pesce a Lido di Ostia         Gusto GLAM   #216 di 3807  ristoranti di pesce a Roma
"Ariò Pizza Food Delivery pizzeria, Municipio Roma X - Menu e recensioni del ristorante",Ariò Pizza Food Delivery,Ariò Pizza Food Delivery,#57 di 521,57 foto,via Anselmo Banduri,abito,Valutazioni di Ariò Pizza Food Delivery,345.0,87.0,"4,4",187.0,Opinioni dei clienti di Ariò Pizza Food Delivery,207.0,+39 06 565 1082,€10 - €30,"Via Anselmo Banduri, 53","Via Anselmo Banduri, 53, Municipio Roma X, Lazio, Italia",Pesce Fritto e Baccalà   #2 di 190  ristoranti di pesce a Lido di Ostia         Gusto GLAM   #216 di 3807  ristoranti di pesce a Roma         Cargo Burger Lab   #7598 di 17373 ristoranti  a Roma
"Pizza Zizza Roma pub & bar, Roma - Menu e recensioni del ristorante",Pizza Zizza Roma,Pizza Zizza Roma,#3 di 8386,595 foto,scissors,cupola,Valutazioni di Pizza Zizza Roma,3218.0,3477.0,"4,8",659.0,Opinioni dei clienti di Pizza Zizza Roma,1129.0,+39 338 868 1227,,"Via delle Fornaci, 11","Via delle Fornaci, 11, Roma, Lazio, Italia",Pizza e Mozzarella   #1 di 8386  pizzerie a Roma         Pinsere   #2 di 8386  pizzerie a Roma         Alfredo e Ada   #186 di 17373 ristoranti  a Roma
"Ristorante Cavour, Frascati - Menu e recensioni del ristorante",Ristorante Cavour,Ristorante Cavour,#1 di 284,68 foto,,,Valutazioni di Ristorante Cavour,212.0,111.0,"4,4",34.0,Opinioni dei clienti di Ristorante Cavour,164.0,+39 06 5987 9553,€10 - €30,"Via Cavour, 66","Via Cavour, 66, Frascati, Lazio, Italia",Hostaria Santa Maria   #2 di 284 ristoranti  a Frascati         Rolinho Sushi Fusion ciampino   #58 di 172 ristoranti  a Ciampino         Trattoria I Belloni   #3 di 172 ristoranti  a Ciampino
"Alfredo e Ada pub & bar, Roma, Via dei Banchi Nuovi - Menu e recensioni del ristorante","Alfredo e Ada, Via dei Banchi Nuovi, 14",Alfredo e Ada,#186 di 17373,339 foto,ciambelline da inzuppare nel vino,the oxtail stew,Valutazioni di Alfredo e Ada,1869.0,1285.0,,319.0,Opinioni dei clienti di Alfredo e Ada,594.0,+39 06 3973 7741,€11 - €20,"Via dei Banchi Nuovi, 14","Via dei Banchi Nuovi, 14, Roma, Lazio, Italia",Da Enzo         Colline Emiliane   #3 di 17373 ristoranti  a Roma         Su e Giù   #15 di 17373 ristoranti  a Roma
"Cantina Il Pergolato ristorante, Frascati - Menu e recensioni del ristorante",Cantina Il Pergolato,Cantina Il Pergolato,#20 di 144,183 foto,gli stornelli,,Valutazioni di Cantina Il Pergolato,1182.0,405.0,"4,2",155.0,Opinioni dei clienti di Cantina Il Pergolato,360.0,+39 06 942 0464,€10 - €20,"Via del Castello, 20","Via del Castello, 20, Frascati, Lazio, Italia",La Vecchia Locanda Frascati   #5 di 95  pizzerie a Frascati         Pizza Idea 1   #2 di 95  pizzerie a Frascati         Ninfa Restaurant   #3 di 284 ristoranti  a Frascati
"Trattoria I Belloni ristorante, Ciampino, Via Mura dei Francesi - Recensioni del ristorante","Trattoria I Belloni, Via Mura dei Francesi, 22/C",Trattoria I Belloni,#3 di 172,171 foto,rigatoni con pajata,da sturbo,Valutazioni di Trattoria I Belloni,1809.0,1099.0,5,23.0,Opinioni dei clienti di Trattoria I Belloni,333.0,+39 06 7936 5142,€11 - €21,"Via Mura dei Francesi, 22/C","Via Mura dei Francesi, 22/C, Ciampino, Lazio, Italia",Mi Sushi e Ramen   #2 di 172 ristoranti  a Ciampino         Ristorante Al Vigneto dal 1961   #1 di 172 ristoranti  a Ciampino         Ariò Pizza Food Delivery   #57 di 521  pizzerie a Municipio Roma X
