property_type,property_value,property_size,Tipo di immobile,address,property_type,other,other,price,rent_price,description,school,Bar,restaurant,year,broker,address,tecnocasa_email,other,other,email,other
"Quadrilocale in vendita a Roma, San Giovanni Piazza Tuscolo - Roma. € 539.000, 126 Mq - Tecnocasa.it - 60846055",€ 539.000,126 Mq,Quadrilocale in vendita,"Roma, Via Tracia - San Giovanni Piazza Tuscolo",Quadrilocale in vendita,46.0,60846055.0,€ 539.000,€ 2.579 / mese,"Via Tracia, ad. Porta Metronia- In stabile immerso in curati giardini condominiali con servizio di portierato, proponiamo in esclusiva la vendita di un appartamento di 126 mq cmm. posto ad un piano alto in doppia esposizione.   L'immobile grazie alla sua posizione ed esposizione consente un notevole passaggio d'aria e luminosità in tutti gli ambienti della casa, inoltre l'affaccio sui giardini condominiali consente di godere della tranquillità della zona.   Internamente si presenta da ristrutturare, composto da un comodo ingresso, soggiorno, tre camere, cucina e bagno.   La metratura e la disposizione della muratura interna consentono di ridistribuire gli ambienti per far fronte alle proprie esigenze abitative con la possibilità di realizzare un ulteriore servizio.   L'immobile gode della tranquillità della zona e della bellezza storica delle Mura Aureliane ma allo stesso tempo è posto in posizione strategica per chi non vuole fare a meno della sua centralità.   A pochi passi troviamo il bellissimo Parco degli Scipioni con le iconiche mura latine, mentre una passeggiata di dieci minuti c. a. vi permetterà di raggiungere le fermate metro della Linea A di San Giovanni e Re di Roma. Adiacente la storica Piazza di San Giovanni in Laterano dove è possibile ammirare la Basilica di San Giovanni; attraversando invece via della Navicella si arriva facilmente a Villa Celimontana, al Parco di Porta Capena e al Parco del Celio dal quale ammirare il maestoso Colosseo e tutte le bellezze della Roma antica.",Istituto Professionale di Stato 'Confalonieri'   260 m     Scuole   450 m     Pontificia Università Lateranense   520 m     Accademia Internazionale di teatro   780 m     istituto magistrale statale Margherita di Savoia   850 m,Bar   130 m     Yeast Coast Bar   520 m     Bar Britannia   630 m     Faleria 71   690 m     Bar Tabacchi   710 m,Romolo e Remo   80 m     Il Vecchio e il Mare   170 m     Sacco   180 m     Orazio   340 m     Epiro   440 m,,Studio Immobiliare Magna Grecia Srl,"Via magna grecia, 78 00183 Roma (RM)",rmcvt@tecnocasa.it,393923432243.0,686379780.0,rmcvt@tecnocasa.it,686379780.0
"Quadrilocale in vendita a Roma, San Giovanni Piazza Tuscolo - Roma. € 420.000, 150 Mq - Tecnocasa.it - 60845185",€ 420.000,150 Mq,Quadrilocale in vendita,"Roma, Via Saturnia - San Giovanni Piazza Tuscolo",Quadrilocale in vendita,44.0,60845185.0,€ 420.000,€ 2.009 / mese,"Nel prestigioso quartiere di San Giovanni, più precisamente in via Saturnia, vi proponiamo la vendita di una nuda proprietà.   L'appartamento si trova al primo piano di un elegante edificio signorile degli anni '30, in una zona residenziale e ben servita del quartiere San Giovanni.   Conta una superficie di 150 mq  ed è composto da: ingresso su ampio disimpegno, salone doppio con accesso su balconcino, affaccio su piazza Pompei e vista panoramica, due camere, cucina abitabile dotata di ben due punti luce, doppi servizi, uno con vasca e uno con box doccia e piccolo ripostiglio con accesso da una camera.   L'appartamento è in buono stato interno e gode di una tripla esposizione, NORDESTOVEST , che lo rende luminoso e confortevole.   E' una soluzione ideale per chi desidera investire in un immobile in una zona centrale del quartiere . Infatti è ubicato in una posizione davvero strategica, a pochi passi a piedi da piazza di San Giovanni in Laterano, Via Magnagrecia, Via Appia, e tutte le principali strade di collegamento con il centro della città.   Il quartiere San Giovanni è fra i quartieri che meglio convogliano tradizione e modernità, storia e avanguardia, caratterizzato da numerosi siti archeologici e storico-cristiani presenti. E' servita da numerose linee bus, tram, dalla linea Metropolitana A con uscita San Giovanni e dalla nuovissima apertura della nuova linea Metropolitana C   Età usfruttuario : 89 anni.   I DOCUMENTI E LE IMMAGINI INCLUSI IN QUESTO ANNUNCIO SONO FORNITI A SOLO SCOPO ILLUSTRATIVO E NON COSTITUISCONO ELEMENTO CONTRATTUALE.",Scuole   250 m     Istituto Professionale di Stato 'Confalonieri'   330 m     istituto magistrale statale Margherita di Savoia   470 m     Scuola Secondaria di I grado 'Carlo Urbani'   490 m     Pontificia Università Lateranense   730 m,Bar Britannia   180 m     Yeast Coast Bar   210 m     Bar Tabacchi   330 m     Bar   410 m     Faleria 71   410 m,Da Roberto e Loretta   30 m     Epiro   110 m     Raf Pizza   150 m     Big Friends   160 m     Pizzeria Delicius   170 m,1940.0,Studio Immobiliare Magna Grecia Srl,"Via magna grecia, 78 00183 Roma (RM)",rmcvt@tecnocasa.it,393923432243.0,686379780.0,rmcvt@tecnocasa.it,686379780.0
"Trilocale in vendita a Roma, San Giovanni Piazza Tuscolo - Roma. € 230.000, 116 Mq - Tecnocasa.it - 60844265",€ 230.000,116 Mq,,"Roma, Via Saturnia - San Giovanni Piazza Tuscolo",,6.0,60844265.0,€ 230.000,€ 1.100 / mese,"Nelle immediate vicinanze di Piazza Epiro e Piazza Pompei, in strada silenziosa e lontana dal traffico locale, in una palazzina storica degli anni '20, vi proponiamo la vendita di un trilocale posto al piano seminterrato.    L'immobile si presenta da ristrutturare, conta una superficie di 116mq c. a ed è così composto: ingresso, tre camere, cucina, bagno e ripostiglio.    L'appartamento è attualmente locato, con contratto 3+2 ad un canone mensile di 700,00 e prima scadenza a Dicembre 2026.    Ottimo come uso investimento.    L'immobile è ubicato in una posizione davvero strategica, a pochi passi a piedi da piazza di San Giovanni in Laterano, Via Appia, e tutte le principali strade di collegamento con il centro della città.    E' servita da numerose linee bus, tram, dalla linea Metropolitana A con uscita San Giovanni e dalla nuovissima apertura della nuova linea Metropolitana C.    I DOCUMENTI E LE IMMAGINI INCLUSI IN QUESTO ANNUNCIO SONO FORNITI A SOLO SCOPO ILLUSTRATIVO E NON COSTITUISCONO ELEMENTO CONTRATTUALE.     LE FOTO SARANNO DISPONIBILI NEI PROSSIMI GIORNI",Scuole   280 m     Istituto Professionale di Stato 'Confalonieri'   320 m     istituto magistrale statale Margherita di Savoia   460 m     Scuola Secondaria di I grado 'Carlo Urbani'   480 m     Pontificia Università Lateranense   690 m,Bar Britannia   180 m     Yeast Coast Bar   230 m     Bar Tabacchi   370 m     Bar   380 m     Faleria 71   390 m,Da Roberto e Loretta   40 m     Epiro   110 m     Pizzeria Delicius   140 m     Big Friends   160 m     Raf Pizza   170 m,,Studio Immobiliare Magna Grecia Srl,"Via magna grecia, 78 00183 Roma (RM)",rmcvt@tecnocasa.it,393923432243.0,686379780.0,rmcvt@tecnocasa.it,686379780.0
"Trilocale in vendita a Roma, San Giovanni Piazza Tuscolo - Roma. € 230.000, 116 Mq - Tecnocasa.it - 60844265",,,,,,6.0,60844265.0,€ 230.000,€ 1.100 / mese,"Nelle immediate vicinanze di Piazza Epiro e Piazza Pompei, in strada silenziosa e lontana dal traffico locale, in una palazzina storica degli anni '20, vi proponiamo la vendita di un trilocale posto al piano seminterrato.    L'immobile si presenta da ristrutturare, conta una superficie di 116mq c. a ed è così composto: ingresso, tre camere, cucina, bagno e ripostiglio.    L'appartamento è attualmente locato, con contratto 3+2 ad un canone mensile di 700,00 e prima scadenza a Dicembre 2026.    Ottimo come uso investimento.    L'immobile è ubicato in una posizione davvero strategica, a pochi passi a piedi da piazza di San Giovanni in Laterano, Via Appia, e tutte le principali strade di collegamento con il centro della città.    E' servita da numerose linee bus, tram, dalla linea Metropolitana A con uscita San Giovanni e dalla nuovissima apertura della nuova linea Metropolitana C.    I DOCUMENTI E LE IMMAGINI INCLUSI IN QUESTO ANNUNCIO SONO FORNITI A SOLO SCOPO ILLUSTRATIVO E NON COSTITUISCONO ELEMENTO CONTRATTUALE.     LE FOTO SARANNO DISPONIBILI NEI PROSSIMI GIORNI",Scuole   280 m     Istituto Professionale di Stato 'Confalonieri'   320 m     istituto magistrale statale Margherita di Savoia   460 m     Scuola Secondaria di I grado 'Carlo Urbani'   480 m     Pontificia Università Lateranense   690 m,Bar Britannia   180 m     Yeast Coast Bar   230 m     Bar Tabacchi   370 m     Bar   380 m     Faleria 71   390 m,Da Roberto e Loretta   40 m     Epiro   110 m     Pizzeria Delicius   140 m     Big Friends   160 m     Raf Pizza   170 m,,,,,,,,
"Trilocale in vendita a Napoli, Secondigliano Corso - Napoli. € 128.000, 88 Mq - Tecnocasa.it - 60757484",,88 Mq,,"Napoli, Traversa II Privata Casilli - Secondigliano Corso",,27.0,60757484.0,,,"ZONA CORSO ITALIA    In  traversa privata e tranquilla  , nelle immediate vicinanze della Chiesa Sacri Cuori e a pochi metri dal Corso Italia, zona servita da negozi e servizi di prima necessità  disponiamo all'interno di  un distinto condominio,   il quale attraverso una recente delibera sarà sottoposto a importanti lavori di ristrutturazione che partiranno tra febbraio o marzo 2024 e che prevede inizialmente il ripristino della facciata che apporteranno valore aggiunto alla soluzione.    Trattasi di un  trilocale  e si sviluppa su ambo i lati godendo di  doppia esposizione  . L'ingresso avviene in corridoio e subito sul lato sinistro troviamo il soggiorno con punto luce la finestra e a seguire la prima camera con accesso al primo balcone con affaccio su strada. Sul lato destro la seconda camera con porta finestra sul secondo balcone così come la cucina ed il bagno con la vasca e la finestra. Troviamo in fondo un comodo ripostiglio interno.  I balconi paralelli tra loro rendono molto arieggiata e luminosa la soluzione tutto il giorno.  Gli infissi esterni sono in pvc in doppio vetrocamera e sono presenti le tapparelle.    La soluzione si vende libera  . È possibile visionarla previo avviso telefonico 08118175542 o tramite whatsapp al 3408474504. L'ufficio è in Corso Secondigliano 445.  SIAMO OPERATIVI DAL LUNEDì AL VENERDì DALLE ORE 9:00 ALLE ORE 13:00 E DALLE ORE 15:30 ALLE ORE 20:00. IL SABATO DALLE ORE 9:00 ALLE ORE 13:00.     Nella nostra agenzia è possibile richiedere gratuitamente una consulenza finanziaria. I professionisti della società di mediazione creditizia del Gruppo Kiron partner del Gruppo Tecnocasa saranno pronti a rispondere a tutte le domande e i prodotti da poter richiedere sono vari e a seconda della propria esigenza : Mutui prima, seconda casa e ristrutturazione. Sostituzione o Surroga del Mutuo. Prestiti Personali. Cessioni del Quinto dello Stipendio o Pensione.","Scuole   210 m     Istituto Comprensivo Statale Errico - Pascoli   500 m     Carbonelli   590 m     Istituto Comprensivo Statale 61° Circolo Nazario Sauro   820 m     51 Circolo Didattico Scuola El Re Statale A.Oriani   1,3 Km","Bar Angelo   340 m     Bar   440 m     Gran Caffè   790 m     Blue Moon   1,2 Km     La Villa   2,0 Km","Ristoranti   130 m     Pizzeria Carminiello   510 m     Pizza Doc   1,6 Km     Pizzeria   1,6 Km     Chiku - Scampia   1,7 Km",,Studio Secondigliano 2 Srl,"Corso Secondigliano, 445 80133 Napoli (NA)",naces@tecnocasa.it,393408474504.0,8118045649.0,naces@tecnocasa.it,8118045649.0
"Trilocale in vendita a L'Aquila, Contrada Cianfarano - L'Aquila. € 175.000, 90 Mq - Tecnocasa.it - 60695155",€ 175.000,90 Mq,,"L'Aquila, Via guglielmo marconi - Contrada Cianfarano",,,60695155.0,€ 175.000,€ 837 / mese,"Contrada Cianfarano.   In Via Guglielmo Marconi, proponiamo in vendita appartamento al quarto ed ultimo piano con ascensore, di una palazzina completamente ristrutturata.   La soluzione è composta da ampio soggiorno con uscita sul terrazzo, angolo cottura e terrazzo.   Nella  zona notte  troviamo:una camera da letto matrimoniale con terrazzo, camera da letto singola con finestra, un bagno con doccia e locale lavanderia ed un bagno con vasca idromassaggio e finestra.   Completano la proprietà un box auto di 25 mq ca. e cantina di proprietà.   Per informazioni e appuntamenti contattaci 0862.317322 338.7018187   Seguici sui nostri canali social Facebook ed Instagram.",Scuola Primaria Celestino V   500 m     I.P.S.I.A.S.A.R. 'Leonardo da Vinci'   560 m     Scuola Primaria San Francesco   840 m     Aulamagna UnivAQ   870 m     Università degli Studi dell'Aquila - Dipartimento di Scienze Umane   890 m,"Ma Mò?   930 m     Bar dello Stadio   1,0 Km     Bruno's Bar   1,1 Km     Fizz - Cocktail bar   1,1 Km     Chiarino   1,1 Km",Trattoria Pizzeria 127   790 m     Vento di pizza   800 m     Okaeri - Ristorante Orientale   810 m     Mandarin   920 m     Il Servizio   980 m,2000.0,Studio Aquila Centro Srl,"P.zza Duomo, 48/49 67100 L'Aquila (AQ)",aqcs2@tecnocasa.it,393387018187.0,8621715801.0,aqcs2@tecnocasa.it,8621715801.0
"Quadrilocale in vendita a Torino, San Paolo - Torino. € 180.000, 92 Mq - Tecnocasa.it - 60701577",€ 180.000,92 Mq,Quadrilocale in vendita,"Torino, Via Lurisia - San Paolo",Quadrilocale in vendita,29.0,60701577.0,€ 180.000,€ 861 / mese,"Via Lurisia. Appartamento panoramico all'ultimo piano con vista panoramica a 360 gradi sulla collina di Torino, la Mole Antonelliana, la Basilica di Superga e tutto l'arco alpino. Lo stabile è sito nelle vicinanze di Piazza Robilant e poco distante anche da Piazza Marmolada. Il punto è caratterizzato da una vivace presenza e varietà di esercizi commerciali ed è servito da varie linee di mezzi pubblici che rendono comodo il raggiungimento del centro cittadino e delle principali università. La pista ciclabile, alberata e arricchita di zone relax con panchine, permette il raggiungimento a piedi del parco Ruffini e del parco Mennea. L'edificio si eleva su nove piani ed è dotato di ascensore. Le parti comuni sono in ordine e non necessitano di interventi di manutenzione straordinaria, poichè nel 2020 sono stati eseguiti i lavori di riqualificazione dello stabile. L'ingresso disimpegna tutti gli ambienti ed ospita un ripostiglio. La cucinotta è abitabile ed è posizionata di fronte alla sala. Un balcone di circa otto metri che gode della vista panoramica sulla collina torinese abbraccia sia la cucina che una delle camere. La camera matrimoniale è ampia e permette la classica disposizione degli arredi con il balcone che si affaccia sul Borgo. Il soggiorno anch'esso presenta l'accesso ad un balcone che gode dello stesso affaccio. Il bagno ha la vasca e la finestra. Negli ultimi anni sono stati inseriti gli infissi e la porta blindata. In generale le condizioni interne sono buone e ben  riscaldamento è centralizzato con teleriscaldamento. L'immobile ha come pertinenza la soffitta.",Istituto Professionale per Industria e Commercio 'G.Plana'   140 m     Scuola Primaria 'Santorre di Santarosa'- I.C.Alberti   160 m     Scuole   200 m     Assocam - Scuola Camerana   610 m     Istituto Tecnico Statale per Geometri 'Alvar Aalto'   650 m,Bar   460 m     Discobar Il Scoppiato   520 m     Tiffany   850 m     Bobo's Cocktails   940 m     Manitu   960 m,,1970.0,Studio San Paolo 2020 Sas,"Corso Racconigi, 197/A 10141 Torino (TO)",toccm@tecnocasa.it,393245614868.0,1118714235.0,toccm@tecnocasa.it,1118714235.0
"Trilocale in vendita a Torino, La Crocetta - Torino. € 265.000, 75 Mq - Tecnocasa.it - 60848653",€ 265.000,75 Mq,,"Torino, Via vespucci - La Crocetta",,10.0,60848653.0,€ 265.000,€ 1.268 / mese,"Via Vespucci, nei pressi di Corso duca degli Abruzzi, alloggio in ottime condizioni interne e ideale sia come investimento, sia come abitazione principale. Ingresso, soggiorno con parquet e affaccio su Via Vespucci, ampia cucina abitabile con balcone verso un tranquillo e curato interno cortile, camera da letto matrimoniale con cabina armadi e bagno finestrato. Gli infissi sono in legno con doppio vetro, il parquet è presente in tutte e due le stanze ed è in ottime condizioni, il bagno con vasca/doccia. La posizione è strategica per qualsiasi servizio di zona, per i mezzi pubblici e per la vicinanza al Politecnico.",Scuola Elementare Statale 'Michele Coppino'   160 m     Istituto Tecnico Statale per Geometri 'Alvar Aalto'   450 m     Scuole   460 m     Assocam - Scuola Camerana   490 m     Politecnico di Torino   750 m,Bobo's Cocktails   140 m     La croisette   200 m     Amaranto Bistrot   210 m     La Croisette   210 m     Caffetteria Crocetta   240 m,,1940.0,Studio Crocetta Sas,"Via Cristoforo Colombo, 55 10129 Torino (TO)",toca1@tecnocasa.it,393457081065.0,1118713432.0,toca1@tecnocasa.it,1118713432.0
"Trilocale in vendita a Roma, Prati Cipro - Roma. € 405.000, 96 Mq - Tecnocasa.it - 60782877",€ 405.000,96 Mq,,"Roma, Viale degli Ammiragli - Prati Cipro",,21.0,60782877.0,€ 405.000,€ 1.938 / mese,"VIALE DEGLI AMMIRAGLI  - In zona centrale e ben collegata, a pochi passi tanto dalla metro Cipro quanto dalla vicina stazione di Valle Aurelia, proponiamo in vendita un appartamento locato a studio professionale e quindi ideale come forma di investimento, in quanto garantisce una rendita certa di euro 16.200 annui.   Posto all'interno di un palazzo in tinta degli anni '60, con ascensore e servizio di portineria, l'immobile è composto da un ampio ingresso, tre camere, sala d'attesa, bagno, due balconi e cantina. Doppia esposizione.",Istituto di Istruzione Superiore 'Domizia Lucilla' - Sez. Agraria   370 m     Istituto Professionale per l'Agricoltura Federico Delpino   390 m     Istituto Pontificio Sant'Apollinare   400 m     Pontificio Seminario Romano Minore   430 m     Giovan Battista Vico   510 m,Bar Roma   170 m     Milk and Coffee   180 m     Old Trafford   180 m     Lu Night Bistrò   560 m     Bar   560 m,,1959.0,Immobiliare Cipro Srl,"Via Cipro, 51 00136 Roma (RM)",rmcvd@tecnocasa.it,393207179907.0,686376967.0,rmcvd@tecnocasa.it,686376967.0
"5 locali in vendita a Napoli, Corso Meridionale - Napoli. € 299.000, 140 Mq - Tecnocasa.it - 60800965",€ 299.000,140 Mq,5 locali in vendita,"Napoli, Via brindisi - Corso Meridionale",5 locali in vendita,32.0,60800965.0,€ 299.000,€ 1.431 / mese,"Tecnocasa Corso Meridionale propone in vendita un immobile sito a via Brindisi a pochi passi dal Corso Meridionale e dal Centro Direzionale. Zona ben servita da mezzi di trasporto e svariate attività commerciali.   Un appartamento di 5 locali oltre i doppi accessori con una superfice di 140 mq. Ubicato ad un terzo piano di quattro all'interno di uno stabile in tufo con servizio di ascensore, ottimo contesto abitativo.   Il cespite si presenta finemente ristrutturato, gode di una doppia esposizione, luminoso ed arioso data la presenza di punti luce in tutti gli ambienti, finestre e balconi.   L'immobile è diviso nel seguente modo ingresso in ampio salone, quattro camere da letto e due bagni.   Ottima sia per investimento come casa vacanza e B&B che per uso proprio.   Visionabile tutti i giorni previo avviso telefonico.",Scuole   130 m     Liceo P. Villari   150 m     29° CD L. Miraglia   270 m     ITIS L. Da Vinci   360 m     IC G.Capuozzo (G9)   390 m,Time Café   410 m     Chalet Ciro 1952   430 m     Bar Clarean   560 m     Roma   770 m     The Wall   800 m,"Hostaria Mediterraneo   90 m     Da Pellone   100 m     Ieri, Oggi, Domani   110 m     Binario Calmo   190 m     Lucignolo Bellapizza   270 m",1900.0,Venere Immobiliare Srl,"Corso Meridionale, 41 80143 Napoli (NA)",nace3@tecnocasa.it,39081287712.0,8118045131.0,nace3@tecnocasa.it,8118045131.0
"6 locali in vendita a Roma, Prati Cipro - Roma. € 725.000, 180 Mq - Tecnocasa.it - 60721498",€ 725.000,180 Mq,6 locali in vendita,"Roma, Via Giulio Venticinque - Prati Cipro",6 locali in vendita,20.0,,€ 725.000,€ 3.469 / mese,"AD. PIAZZALE DEGLI EROI  - A soli 30 metri dall'ingresso della fermata della Metro Cipro, in zona centrale, proponiamo in vendita un appartamento di ampia metratura con terrazzo di circa 25 mq. e balcone.   La soluzione, posta al secondo piano e servita da ascensore, è composta da ampio ingresso, cinque grandi camere, cameretta, cucina con balcone, ripostiglio, due bagni e terrazzo. Gli affacci sono esterni su strada ed interni sul cortile.   Dotato di riscaldamento autonomo ed impianto di condizionamento, l'immobile, data la vicinanza ai punti di maggiore interesse del quartiere, è la soluzione ideale non solo come abitazione ma anche come forma di investimento.",Giovan Battista Vico   190 m     Scuola Media Ludovico Ariosto   200 m     Istituto Professionale per l'Agricoltura Federico Delpino   500 m     Istituto di Istruzione Superiore 'Domizia Lucilla' - Sez. Agraria   550 m     Scuola dell'infanzia ed Elementare Adelaide Cairoli   570 m,Bar   230 m     Lu Night Bistrò   250 m     Beere mangiare e co.   260 m     Milk and Coffee   270 m     Old Trafford   360 m,Secondo Tradizione   110 m     Pizzeria Falcone   120 m     Cuochin Casa   220 m     New Town   230 m     La Rustichella   260 m,,Immobiliare Cipro Srl,"Via Cipro, 51 00136 Roma (RM)",rmcvd@tecnocasa.it,393207179907.0,686376967.0,rmcvd@tecnocasa.it,686376967.0
"5 locali in vendita a L'Aquila, Centro Storico - L'Aquila. € 420.000, 160 Mq - Tecnocasa.it - 60837751",€ 420.000,160 Mq,5 locali in vendita,"L'Aquila, Corso Federico II - Centro Storico",5 locali in vendita,36.0,60837751.0,€ 420.000,€ 2.009 / mese,"Centro Storico e precisamente Corso Federico II,  disponiamo di un appartamento di  nuova costruzione  sito al secondo piano con ascensore e così composto:   L'ingresso è su un ampio locale ben illuminato in posizione centrale tra la zona notte e la zona giorno che prosegue sul  lato destro  nell'ampio salone e cucina abitabile, entrambi i locali hanno l'uscita su un terrazzo coperto con affaccio su  Via Sant'Agostino  . La zona giorno è servita da un bagno con doccia e balconcino con affaccio sul cortile interno.   Sul  lato sinistro  , rispetto all'ingresso, accediamo nella zona notte che è composta da ben 3 camere da letto due delle quali con terrazzo coperto e affaccio sull'esclusivo Corso Federico II, proprio di fronte al Gran Hotel, la terza camera ha un balconcino con affaccio sul cortile interno ed ampio bagno con doccia.   Tapparelle elettriche e riscaldamento a pavimento.   La palazzina è in fase di ultimazione, la vera originalità è senza dubbio la  posizione,  che grazie alla triplice esposizione (Via XX Settembre/Viale Crispi - Via Sant'Agostino e Corso Federico II) ha una esclusività ed una rilevanza unica e dominante sulla città.   Il portico del piano terra inoltre ospiterà una galleria commerciale.   La soluzione  NON è ARREDATA  , ideale per famiglie referenziate, ma è consigliata anche come studio/ufficio.   Per informazioni e appuntamenti contattaci 0862.317322 338.7018187   Seguici sui nostri canali social Facebook ed Instagram.",GSSI - Student House   30 m     GSSI - Gymnasium   190 m     GSSI - Rectorate   210 m     Istituto Maestre Pie Filippine   400 m     Istituto Santa Maria degli Angeli   410 m,,Osteria La Grotta di Aligi   40 m     100 Montaditos   50 m     Neko - Sushi L'Aquila   60 m     Levante - Mare e  Monti   150 m     Osteria Zio Tobia   170 m,2023.0,Studio Aquila Centro Srl,"P.zza Duomo, 48/49 67100 L'Aquila (AQ)",aqcs2@tecnocasa.it,393387018187.0,8621715801.0,aqcs2@tecnocasa.it,8621715801.0
"Trilocale in vendita a Napoli, Vicaria - Napoli. € 490.000, 95 Mq - Tecnocasa.it - 60846340",,,,,,,,,,,,,,,,,,,,,
"5 locali in vendita a L'Aquila, Centro Storico - L'Aquila. € 310.000, 130 Mq - Tecnocasa.it - 60754729",€ 310.000,130 Mq,5 locali in vendita,"L'Aquila, Via Scardassieri - Centro Storico",5 locali in vendita,26.0,,€ 310.000,€ 1.483 / mese,"In pieno centro storico, tra Piazza Palazzo e  Via Sallustio, proponiamo in vendita soluzione semindipendente su più livelli.   La casa in vendita, è posta in un palazzo storico ristrutturato con sole due unità abitative.   Al suo interno è così composta:   al primo livello troviamo l'ingresso, il soggiorno, una cucina abitabile e ripostiglio. Locale tecnico e bagno con doccia.   - attraverso una scala si accede livello superiore dove troviamo due camere da letto matrimoniali, di cui una con balcone raso e bagno con doccia e impianto di aspirazione,   - L'ultimo piano è caratterizzato da un ampio locale mansardato, con tetto in legno a vista e lucernai, nel quale è possibile realizzare una camera da letto matrimoniale o due camere da letto singole.   Vuoi tornare nel cuore del centro... questa potrebbe essere proprio ciò che stavi cercando!   Per informazioni e appuntamenti contattaci 0862.317322 338.7018187   Seguici sui nostri canali social Facebook ed Instagram.",,,,1600.0,Studio Aquila Centro Srl,"P.zza Duomo, 48/49 67100 L'Aquila (AQ)",aqcs2@tecnocasa.it,393387018187.0,8621715801.0,aqcs2@tecnocasa.it,8621715801.0
"5 locali in vendita a L'Aquila, Centro Storico - L'Aquila. € 429.000, 250 Mq - Tecnocasa.it - 60730249",€ 429.000,250 Mq,5 locali in vendita,"L'Aquila, Via Lombardi - Centro Storico",5 locali in vendita,24.0,60730249.0,€ 429.000,€ 2.053 / mese,,,Chiarino   170 m     Bruno's Bar   170 m     Fizz - Cocktail bar   180 m     Lo Straccale   230 m     Shortbus - la cicchetteria   240 m,,1969.0,Immobiliare L'Aquila Est Srl,"Corso Vittorio Emanuele, 152/154 67100 L'Aquila (AQ)",aqcm2@tecnocasa.it,393316470149.0,8621714630.0,aqcm2@tecnocasa.it,8621714630.0
"Trilocale in vendita a L'Aquila, Torrione - L'Aquila. € 128.000, 80 Mq - Tecnocasa.it - 60832872",,80 Mq,,"L'Aquila, Via Giuseppe Urbani - Torrione",,,60832872.0,,,,Scuola Primaria Torrione   180 m     Scuola Media Dante Alighieri   210 m     Liceo Scientifico Statale Andrea Bafile   400 m     Liceo Artistico Statale Fulvio Muzi   410 m     Polo Scolastico Colle Sapone   420 m,Bar dello Stadio   510 m     Chiosco della Fenice   640 m     Capitello   640 m     Bar Castello   800 m     SAM   830 m,"Pizzeria '00'   360 m     Vento di pizza   610 m     Sushi Sushi   610 m     Il Servizio   630 m     Tomahawk - braceria, pizzeria   630 m",1967.0,Immobiliare L'Aquila Est Srl,"Corso Vittorio Emanuele, 152/154 67100 L'Aquila (AQ)",aqcm2@tecnocasa.it,393316470149.0,8621714630.0,aqcm2@tecnocasa.it,8621714630.0
"Trilocale in vendita a Torino, Mirafiori Sud - Torino. € 87.000, 75 Mq - Tecnocasa.it - 60733368",€ 87.000,75 Mq,,"Torino, Via negarville - Mirafiori Sud",,13.0,60733368.0,€ 87.000,€ 416 / mese,"In Via Negarville, trilocale ristrutturato nel 2007 sito al terzo piano in stabile con ascensore e giardino condominiale, in klinker, degli anni '70.    La porta blindata si apre sull'ingresso living sulla zona giorno con cucina a vista, resa luminosa dalla portafinestra con accesso al balcone in comune con una delle due camere da letto.    La zona notte si compone di due camere, dalla prima, ben squadrata, si accede al balcone in comune con la zona giorno.   La seconda, anch'essa illluminata grazie alla porta finestra, ha l'accesso al terrazzino.    Completa e il bagno finestrato e fornito di box doccia.    Il teleriscaldamento è a pavimento.    L'appartamento si presenta in ottime condizioni interne grazie alla totale ristrutturazione effettuata nel 2007.    Cantina di pertinenza.",CFP   230 m     Università di Torino - Scienze MFN e Farmacia   310 m     Scuola Primaria 'Gaetano Salvemini'   330 m     Scuola Secondaria 'Cristoforo Colombo'   340 m     Università di Torino - Incubatore d'impresa   390 m,"Bar   470 m     Caffè Le Fornaci   1,6 Km     Al Diciannove B   1,8 Km     L'officina della pasta   2,0 Km     Coffee & More   2,0 Km",Piada Cafè   760 m     Ristorante Bar Alcalyzè   780 m     Bar Self Service   820 m     Il ristoro del Drosso   920 m     Self service 612   920 m,1970.0,Immobiliare Mirafiori Sas,"Corso Unione Sovietica, 590/D 10135 Torino (TO)",tocl4@tecnocasa.it,393274573507.0,1118716491.0,tocl4@tecnocasa.it,1118716491.0
