restaurant,region,restaurant,other,address,other,phone number,location,other
Al Baccanale - Piombino - un ristorante della Guida MICHELIN,,Al Baccanale,5.0,"via XX Settembre 20, Piombino, 57025, Italia","€€
                        ·
                    

                    
                        Toscana",+39 0565 222039,Cerca un hotel a Piombino,Al Baccanale            Lido Vanucchi /Al Baccanale            Lido Vanucchi /Al Baccanale            Lido Vanucchi /Al Baccanale            lovisetto ivano/Al Baccanale
Locanda Martinelli - Nibbiaia - un ristorante della Guida MICHELIN,,Locanda Martinelli,6.0,"piazza Mazzini 11, Nibbiaia, 57016, Italia","€€
                        ·
                    

                    
                        Moderna",+39 0586 740161,Cerca un hotel a Nibbiaia,Gianluca La Bruna/Locanda Martinelli            Claudio Mollo/Locanda Martinelli            Gianluca La Bruna/Locanda Martinelli            michele/Locanda Martinelli            aldofiordelli/Instagram            aleanzi5/Instagram
,,,,,,,,
Osteria dello Strecciolo - Robbiate - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Robbiate,Osteria dello Strecciolo,17.0,"via Indipendenza 2, Robbiate, 23899, Italia","€€€
                        ·
                    

                    
                        Italiana contemporanea",+39 039 928 1052,Cerca un hotel a Robbiate,Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo            Osteria dello Strecciolo
,,,,,,,,
Nin - Brenzone sul Garda - un ristorante della Guida MICHELIN,Veneto     Ristoranti Brenzone sul Garda,Nin,,"via Zanardelli 5, Brenzone sul Garda, 37010, Italia","€€€€
                        ·
                    

                    
                        Creativa",+39 045 742 0179,Cerca un hotel a Brenzone sul Garda,Nin            Nin            Nin            Nin            Nin            Nin            Nin            Nin
Il Grifone - Castel San Pietro Terme - un ristorante della Guida MICHELIN,Emilia-Romagna     Ristoranti Castel San Pietro Terme,Il Grifone,,"via Ca' Masino 611/a - loc. Varignana, Castel San Pietro Terme, 40024, Italia","€€€
                        ·
                    

                    
                        Contemporanea, Mediterranea",+39 051 1993 8300,Cerca un hotel a Castel San Pietro Terme,Simone Nocetti/Il Grifone            Il Grifone            Il Grifone            Simone Nocetti/Il Grifone            Simone Nocetti/Il Grifone            Il Grifone            Il Grifone            Il Grifone
Il Circolino - Monza - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Monza,Il Circolino,9.0,"via Anita Garibaldi 4, Monza, 20900, Italia","€€€
                        ·
                    

                    
                        Creativa, Contemporanea",+39 039 636 3374,Cerca un hotel a Monza,Jacopo Salvi/Il Circolino            Jacopo Salvi/Il Circolino            Federico Bontempi/Il Circolino            Jacopo Salvi/Il Circolino            Federico Bontempi/Il Circolino            Federico Bontempi/Il Circolino            CierreEsse/Il Circolino            Jacopo Salvi/Il Circolino            Jacopo Salvi/Il Circolino
Visione Restaurant and Living - Barbaresco - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Barbaresco,Visione Restaurant and Living,10.0,"Strada Nicolini Basso 34, loc. Tre Stelle, Barbaresco, 12050, Italia","€€€
                        ·
                    

                    
                        Contemporanea, Piemontese",+39 328 134 0218,Cerca un hotel a Barbaresco,Francesco Della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living            Francesco Della Monaca/Visione Restaurant and Living
Duo - San Felice del Benaco - un ristorante della Guida MICHELIN,Lombardia     Ristoranti San Felice del Benaco,Duo,10.0,"Via Cavour 7, San Felice del Benaco, 25010, Italia","€€
                        ·
                    

                    
                        Moderna",+39 0365 690253,Cerca un hotel a San Felice del Benaco,Duo            Duo            Duo            Duo            Duo            Duo            Duo            Duo            Duo            Duo
Luminist Cafè Bistrot - Napoli - un ristorante della Guida MICHELIN,Campania     Ristoranti Napoli,Luminist Cafè Bistrot,7.0,"via Toledo 177, Napoli, 80134, Italia","€€
                        ·
                    

                    
                        Classica",+39 081 1975 8023,Cerca un hotel a Napoli,Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot            Alberto Blasetti /Luminist Cafè Bistrot
Palazzo Branciforte - Palermo - un ristorante della Guida MICHELIN,Sicilia     Ristoranti Palermo,Palazzo Branciforte,,"via Bara all'Olivella 2, Palermo, 90133, Italia","€€€
                        ·
                    

                    
                        Italiana, Moderna",+39 091 321748,Cerca un hotel a Palermo,Rossana Brancato/Palazzo Branciforte            Palazzo Branciforte            Palazzo Branciforte            Palazzo Branciforte            Palazzo Branciforte            Claudia Magistro/Palazzo Branciforte            Palazzo Branciforte            Palazzo Branciforte
aldìVino - Corciano - un ristorante della Guida MICHELIN,Umbria     Ristoranti Corciano,aldìVino,,"via Antonio Gramsci 201, Corciano, 06073, Italia","€€
                        ·
                    

                    
                        Italiana contemporanea, Creativa",+39 075 928 1711,Cerca un hotel a Corciano,Alice Cristaldini /aldìVino            Lido Vannucchi/aldìVino            Lido Vannucchi /aldìVino            Alice Cristaldini /aldìVino            Alice Cristaldini/aldìVino            Alice Cristaldini /aldìVino            Lido Vannucchi /aldìVino            Lido Vannucchi /aldìVino
La Barca - Rho - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Rho,La Barca,3.0,"via Ratti 54, Rho, 20017, Italia","€€
                        ·
                    

                    
                        Pesce e frutti di mare, Pugliese",+39 02 930 3976,Cerca un hotel a Rho,DOMENICO VIRGILIO/La Barca            DOMENICO/La Barca            DOMENICO VIRGILIO/La Barca
,,,,,,,,
Visionnaire Bistrot - Milano - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Milano,Visionnaire Bistrot,34.0,"piazza Cavour 3, Milano, 20121, Italia","€€€
                        ·
                    

                    
                        Italiana contemporanea",+39 02 6413 5929,Cerca un hotel a Milano,Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot            Lorenzo Pennati/Visionnaire Bistrot
Magazzino 52 - Torino - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Torino,Magazzino 52,5.0,"via Giolitti 52/a, Torino, 10123, Italia","€€
                        ·
                    

                    
                        Italiana contemporanea",+39 011 427 1938,Cerca un hotel a Torino,Magazzino 52            Magazzino 52            SILVIA PASTORE/Magazzino 52            Magazzino 52            Magazzino 52
Hostaria di Bricai - Varallo - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Varallo,Hostaria di Bricai,7.0,"via Fiume 1, Varallo, 13019, Italia","€€
                        ·
                    

                    
                        Del territorio, Tradizionale",+39 0163 77264,Cerca un hotel a Varallo,
Il Piraña - Prato - un ristorante della Guida MICHELIN,,Il Piraña,1.0,"via G. Valentini 110, Prato, 59100, Italia","€€€
                        ·
                    

                    
                        Pesce e frutti di mare",+39 0574 25746,Cerca un hotel a Prato,
Ostaria Tyrol - Moena - un ristorante della Guida MICHELIN,Trentino-Alto Adige     Ristoranti Moena,Ostaria Tyrol,6.0,"piaz de Ramon 8, Moena, 38035, Italia","€€
                        ·
                    

                    
                        Del territorio, Tradizionale",+39 0462 573760,Cerca un hotel a Moena,Ostaria Tyrol            Ostaria Tyrol            Ostaria Tyrol            Ostaria Tyrol            Ostaria Tyrol            Ostaria Tyrol
Da Luciano - Passignano sul Trasimeno - un ristorante della Guida MICHELIN,Umbria     Ristoranti Passignano sul Trasimeno,Da Luciano,18.0,"via Nazionale 11, Passignano sul Trasimeno, 06065, Italia","€€
                        ·
                    

                    
                        Italiana, Pesce e frutti di mare",+39 075 827210,Cerca un hotel a Passignano sul Trasimeno,Foto di nostra produzione /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di nostra proprieta /Da Luciano            Foto di proprietà /Da Luciano            Foto di proprietà /Da Luciano            Foto di proprietà /Da Luciano            Foto di proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di nostra proprietà /Da Luciano            Foto di proprietà /Da Luciano            Foto di nostra proprietà  /Da Luciano            Foto di proprietà /Da Luciano            Foto di proprietà /Da Luciano
