HotelName,AddressLocality,PostalCode,Country,LocationFeatureSpecification,LocationFeatureSpecification
"Grande Centre Point Hotel Terminal 21 by L & H Hotel Management Co., Ltd.",,10110,Thailand,100.560076,13.737815
Ayutthaya Kantary Hotel & Serviced Apartments,,13000,Thailand,100.552114,14.352394
The Kris Residence The Kris Residence,"24/129 Siriraj Road, Patong Beach",83150,Thailand,98.290166,7.877642
The Westin Pazhou,"Area C, Canton Fair Complex, 681 Fengpu Zhong Rd., Haizhu District",510335,China Volksrepublik,113.35795,23.09803
Fishermen's Harbour Urban Resort,"South of Patong ,2/21 Siraraj Road patong Kathu",83150,Thailand,98.291729,7.880884
Seventeen Saloon Hotel,Z72-77 Tran Hung Dao street,59000,Vietnam,108.228855,16.080269
FORTALICE MULTAN,,60000,Pakistan,71.45059,30.198897
Howard Beach Resort,"2, Kenting Rd., Hengchun Town",946,Taiwan,120.806479,21.94265
Lucerne Villa Resort Khao Yai,,30130,Thailand,101.29238,14.30678
5footway.inn Project Chinatown 2,227 South Bridge Road,058776,Singapur,103.845721,1.282788
Fairfield Inn & Suites Los Angeles LAX/El Segundo,525 North Pacific Coast Highway,90245,USA,-118.396821,33.923221
Riad Taroudant Riad Taroudant,243 Avenue Al Qods - Derb Jdid,83000,Marokko,-8.878927,30.465358
AMARIN LAGOON HOTEL,,65000,Thailand,100.28768,16.824436
Uni Resort-Kenting,"No.230, Eluan Rd., Hengchun Township",94644,Taiwan,120.850827,21.90598
Parklane International,Archbishop Reyes Avenue corner Escario Street,6000,Philippinen,123.90323,10.320433
Liga Hotel,No.262 Shangsiao Street,97054,Taiwan,121.59883,23.986593
Hacienda Phuket,151/4 Ratuthit 200 Pee Road,83150,Thailand,98.29919,7.89386
Colonial Plaza Hotel,"Jiron Puno, 539",051,Peru,-70.028258,-15.840973
Red Fox Hotel Chandigarh,"Plot No, Next to Hind Motors Ltd 15",160002,Indien,76.807652,30.711327
The Crib Patong,"Phangmuang Sai Kor RD.,Patong beach 18-20",83150,Thailand,98.301563,7.891678
Charleston Grand Hotel,3640 Dorchester Rd,29405-7500,USA,-79.986845,32.853815
Holiday Inn Express ABERDEEN-CHESAPEAKE HOUSE,1007 Beards Hill Rd,21001,USA,-76.185948,39.522625
City club Сити клуб,145 Gagarina Avenue,61124,Ukraine,36.26,49.95962
On8 Sukhumvit Nana by Compass Hospitality,"162 Sukhumvit Soi 8, Sukhumvit Road, Nana Skytrain Station",10110,Thailand,100.55534,13.74018
Toka Hotel TOKA HOTEL,"1762, Yanaze machi, Utsunomiya city, Tochigi 321 0933, Japan.",3210933,Japan,139.892172,36.546526
Eastin Hotel Makkasan Bangkok,"1091/343 New Petchburi Rd., Makkasan,",10400,Thailand,100.546621,13.753237
Hotel Sardonyx Ueno,"6 6 7 Ueno, Taito ku, Tokyo 110 0005, Japan.",1100005,Japan,139.776073,35.708912
Hilton Garden Inn Albany Airport,800 Albany Shaker Rd.,12211,USA,-73.818791,42.746256
Hotel Royal Hoi An - MGallery,39 Dao Duy Tu Street Cam Pho Ward,51000,Vietnam,108.320335,15.876437
(RYOKAN) Life Is A Journey,"30, Nagahama, Yomitan village, Nakagami gun, Okinawa 904 0324, Japan.",9040324,Japan,127.740061,26.422034
Kovcheg Hotel,Tereshkovoy Street 3,628400,Russland,73.487855,61.236234
Sugar Hill Harlem Inn,460 W 141st St,10031,USA,-73.949016,40.822281
Yannian Business,South Shaoshan Road (opposite to Hunan Women's University),410004,China Volksrepublik,113.010008,28.117385
Krabi Heritage Hotel Krabi Heritage Hotel,312 Moo 2 Tambol Ao-Nang,81000,Thailand,98.824537,8.032385
Twinpalms Phuket,"106/46 Moo 3, Surin Beach Road,",83110,Thailand,98.280385,7.977397
FX Hotel Metrolink Makkasan formerly Unico Premier MetroLink,"57 Asoke-Dindaeng Road, Makkasan (Airport Link)",10310,Thailand,100.562947,13.749286
Stratos Art Deco House Stratos Art Deco House,1st April Street No. 16,7733,Zypern,33.295788,34.772525
an Ascend Hotel Collection Member The Paul,32 W 29th St,10001-4205,USA,-73.989179,40.746045
Dockers Inn,Green Mountain Dr 3060,65616,USA,-93.277301,36.631307
Ramada Lviv Рамада Львов,"Yavorivska str.,Zymna Voda village 2a",,Ukraine,23.913245,49.82337
Hotel 99 Hotel 99,244 W 99th St,10025,USA,-73.97094,40.796577
Ramayana Koh Chang Resort & Spa,"19/9 Moo 4, Klong Prao",23170,Thailand,102.295375,12.057444
Constantia Manor Guest House Constantia Manor Guest House,521 January Masilela Drive,0010,Südafrika,28.281594,-25.80709
Sunset Plaza Sunset Plaza,400/2 Patak Rd.,83100,Thailand,98.299747,7.833
Serena Inn Serena Inn,14866 US Hwy 19 South,31757,USA,-83.945212,30.850552
Palm Canyon Resort by Diamond Resorts,2800 South Palm Canyon Drive,92264,USA,-116.544491,33.781691
Beitun Renhe Business Hotel Mainland Chinese Citizens Only,The intersectino between Jianan Road and Jiangkang Road,836000,China Volksrepublik,87.84169,47.350013
In One City Inn,"No.31 Lane 138, Wehhua Road",407,Taiwan,120.647309,24.182937
Metadee Resort,"66 Kata Road, Karon",83100,Thailand,98.303021,7.819329
Lai Lai Hotel Lai Lai Hotel,"No.125, Sec.3, Sanmin Rd.",404,Taiwan,120.68363,24.14881
Sheraton Charlotte Hotel,"555 South McDowell Street, South Tower",28204,USA,-80.838254,35.216806
Uni Resort-KuKuan,"No.188, Sec. 1, Dongguan Rd",42444,Taiwan,121.002279,24.202165
Romana Hotel Romana Hotel,6885 Southwest Freeway,77074,USA,-95.504305,29.710698
Hotelday Plus Teascape,No.516 Chung Xiao Road,600,Taiwan,120.452917,23.493599
Elkhorn Lodge Elkhorn Lodge,51 Offerson Rd,81620,USA,-106.51794,39.60839
Inn Patong Hotel Phuket,"207/21-25, 207/29-31 Rat-u-Thit Road",83150,Thailand,98.296424,7.889247
The Splendor Hotel,1049 Chien Hsing Road,403,Taiwan,120.663174,24.155951
The Howard Prince Hotel Taichung,129 An Ho Rd.,407,Taiwan,120.624539,24.180102
Bangtao Village Resort,"72/26 Moo 3 Soi Had Bangtao, Srisoonthorn Rd.",83110,Thailand,98.29022,7.98571
MAI HOUSE Patong Hill,"5/5 Phrabarami Rd., Patong, Kathu",83150,Thailand,98.313797,7.903264
Chapman Inn,"2 Church Street, PO Box 1067",04217,USA,-70.79147,44.40522
The Imperial Narathiwat Hotel,,96000,Thailand,101.821337,6.433503
SpringHill Suites Danbury SpringHill Suites Danbury,30 Old Ridgebury Rd,06810,USA,-73.510994,41.386631
Southern Hotel & Villas Hoi An,224 Ly Thai To,.,Vietnam,108.329084,15.888903
Romance Hotel,16 Nguyen Thai Hoc Str,530000,Vietnam,107.595783,16.468027
AX │ Seashells Resort at Suncrest AX │ Seashells Resort at Suncrest,Qawra Coast Road,SPB 1902,Malta,14.42346,35.953883
The M Malibu The M Malibu,22541 Pacific Coast Hwy,90265,USA,-118.666125,34.03993
Veranda Grand Baie Hotel & Spa,Royal Road,00230,Mauritius,57.578273,-20.009081
Courtyard Boca Raton Courtyard Boca Raton,2000 NW Executive Center Circle,33431,USA,-80.122733,26.368799
Ramada Amarillo,7909 I-40 East,79118,USA,-101.743421,35.194458
HOTEL LAVAS TACOTAL,10 KM WEST OF CATHOLIC CHURCH,00000,Costa Rica,-83.9584,10.3423
Sunstone Plaza Hotel,Intersection of Xujishen Rd and Yingbin Avenue,237000,China Volksrepublik,116.552171,31.778728
Rua Rasada Hotel,"188 Trang-Phattalung Road., Thap Thiang",92000,Thailand,99.630958,7.56464
Days Inn Colorado Springs Air Force Academy,Razorback Rd 8350,80920,USA,-104.802616,38.950222
Phra Nang Inn,"119 Moo 2, Ao Nang Beach, Muang",81000,Thailand,98.822696,8.031423
Novotel Ha Long Bay,"160 Ha Long road, Bai Chay ward Ha Long city, Quang Ninh Vietnam",200000,Vietnam,107.03923,20.949511
Orange Hotel,"29 Hoang Dieu, Hai Chau",,Vietnam,108.219401,16.065037
Pullman Pattaya Hotel G,445/3 Moo 5 Wong Amart Beach,20150,Thailand,100.885208,12.964046
Islamabad Marriott Hotel Islamabad Marriott Hotel,,44000,Pakistan,73.087313,33.733109
Dormy Inn Express Mikawa Anjo,"1-1-3, Mikawaanjo-Hommachi,",446-0059,Japan,137.059137,34.968838
all inclusive resort... Fusion Maia Da Nang,"Vo Nguyen Giap Street, Khue My Ward, Ngu Hanh Son District",550000,Vietnam,108.255017,16.031006
Courtyard Gatlinburg Downtown,315 Historic Nature Trail,37738,USA,-83.517495,35.707489
Hearthstone Elegant Lodge by the River,2350 Highway 12,83536,USA,-116.078817,46.259461
Aramis Hotel,"Tehran,Vali Asr Avenue 1752",1752,Iran,51.407311,35.714667
Kiman Hoian Hotel,"461- 463 Hai Ba Trung street, Quang Nam Province",00000,Vietnam,108.328123,15.887613
Arcadia Suites Ploenchit Bangkok by Compass Hospitality,"15 Soi Nai Lert, Wireless Rd., Lumpini Sub-district,",10330,Thailand,100.548956,13.746425
Howard Johnson by Wyndham Flagstaff University West,801 W RT. 66 I-40 EXIT 195 AND HWY 66,86001,USA,-111.660689,35.192131
Siva Royal Hotel,,93000,Thailand,100.065992,7.610998
Kings Cross Inn,9 to 11 Euston Rd (entrance at the corner of Crestfield Street),NW1 2SA,Großbritannien,-0.122514,51.530666
Super 8 Holyoke/Northampton Area,Northampton St 1515,01040,USA,-72.630153,42.212422
Kata Bella Resort Kata Bella Resort,"13 Patak Road, Kata Beach",83100,Thailand,98.29356,7.84907
Millennium Resort Patong,"199 Rat-Uthit 200 Pee Rd, Patong Kathu",83150,Thailand,98.298776,7.892597
Channel Road Inn,219 West Channel Road,90402,USA,-118.517412,34.029796
Kavalier,Staroznesenskya 70,79056,Ukraine,24.059521,49.851308
Legacy Express Sukhumvit by compass Hospitality,No.29 Sukhumvit Road (front corner of Sukhumvit Soi 1),10110,Thailand,100.551177,13.742939
Hochdorfer Hirschen,Zur March 2,79108,Deutschland,7.8017,48.0497
Alpina Phuket Nalina Resort & Spa,"7/1 Ket Khwan Rd, Karon, A. Muang",83100,Thailand,98.302499,7.821088
Hotel Casa Chameleon,"Playa Mal Pais, Golfo de Nicoya de la Torre del ICE 500 meters south and 250 meters east",50201,Costa Rica,-85.139335,9.612993
The Evelyn,7 East 27th Street,10016,USA,-73.986985,40.743972
The Ecotel Bangkok,"1091/333-4 New Petchburi Road 35, Makkasan, Rajthevee",10400,Thailand,100.546657,13.752459
The Village Resort & Spa The Village Resort & Spa,,83100,Thailand,98.29356,7.85423
Horizon Patong Beach Resort and Spa,,83150,Thailand,98.293369,7.889101
The Haven Lagoon Condo Patong The Haven Lagoon Condo Patong,,83150,Thailand,98.29261,7.87939
The ASHLEE Plaza Patong Hotel & Spa,,83150,Thailand,98.292693,7.881393
Grand Mercure Danang,Lot A1 Zone of the Villas of Green Island Hoa Cuong Bac Hai Chau District,84511,Vietnam,108.227016,16.048463
Baan Nisarine,"98/1 Maharaj Road, Paknam",81000,Thailand,98.91419,8.06803
Lovers Key Resort Lovers Key Resort,8771 Estero Blvd,33931,USA,-81.87604,26.40581
La Quinta Inn Buffalo Airport,Transit Rd 6619,14221-7213,USA,-78.695088,42.97468
