DateTime,EventDescription,DateTime,EventDescription,EventStatusType,EventAttendanceModeEnumeration,EventName
2020-10-03T09:00:00-04:00,Community Mural Viewing,2020-10-03T13:00:00-04:00,Barbara Jordan Elementary is excited to announce an art exhibition showcasing four new murals being professionally painted on campus in partnership with SprATX Ignite Program & SprATX.,,,Barbara Jordan Elementary
2020-10-16T15:00:00-04:00,Beer Release: Teeny Hopper,2020-10-16T19:00:00-04:00,Let's go to the hop! This new edition to our sour seasonals will keep you movin' and groovin' all day long. Teeny Hopper is a juicy sour session IPA with Grapefruit.,,,Blue Owl Brewing
2020-09-24 17:00:00,"SUPERFAN BADGE (LANDRUSH): FANTASTIC FEST 2020 Thu Sep 24, 5:00 PM - Thu Oct 1, 11:00 PM",2020-10-01 23:00:00,"Description Covers the entire 8-day festival. SUPERFAN badges guarantee you a seat to your first choice of film in every round of the fest and include access to all of the Fantastic Fest parties and Highball events, including the opening and closing night",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Alamo Drafthouse South Lamar
2020-09-14 00:00:00,"Austin Studio Tour Open Call Mon Sep 14, 12:00 AM - Fri Sep 25, 11:30 PM",2020-09-25 23:30:00,"The Austin Studio Tour 2020 is a free, self-guided art event to provide opportunities for artists all over Austin to connect with each other and for the public to experience art in creative virtual ways and socially distanced outdoor spaces.",https://schema.org/EventScheduled,https://schema.org/OnlineEventAttendanceMode,Big Medium
2020-09-17 11:00:00,"Coffee Chat: Annette Carlozzi Thu Sep 17, 11:00 AM - Thu Sep 17, 12:00 PM",2020-09-17 12:00:00,Coffee Chats feature leaders in the creative community sharing their personal and professional experiences to inspire others pursuing careers in art.,https://schema.org/EventScheduled,https://schema.org/OnlineEventAttendanceMode,Big Medium
2020-08-07 19:05:00,"Round Rock Express vs. El Paso Chihuahuas Fri Aug 7, 7:05 PM - Fri Aug 7, 7:05 PM",2020-08-07 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-08-08 20:00:00,"Jason Isbell & The 400 Unit Sat Aug 8, 8:00 PM - Sat Aug 8, 8:00 PM",2020-08-08 20:00:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,ACL Live at The Moody Theater
2020-08-19 18:30:00,"The Artist's Responsibility: a spiritual, material, and financial perspective Wed Aug 19, 6:30 PM - Wed Aug 19, 8:00 PM",2020-08-19 20:00:00,"Jonathan 'Chaka' Mahone speaks on the spiritual, material, and financial aspects of being an artist.",https://schema.org/EventScheduled,https://schema.org/OnlineEventAttendanceMode,Big Medium
2020-09-25T07:00:00-04:00,Austin Baptist Church Golf Tournament - 2020,2020-09-25T14:30:00-04:00,"Austin Baptist Church is hosting it's inaugural golf tournament on September 25th, 2020 @ Avery Ranch Golf Club. Check in @ 7 AM.",,,Avery Ranch Golf Club
2020-08-11 19:05:00,"Round Rock Express vs. Albuquerque Isotopes Tue Aug 11, 7:05 PM - Tue Aug 11, 7:05 PM",2020-08-11 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2019-12-14 10:00:00,"Naughty or Nice: Benefit Workout Sat Dec 14, 10:00 AM - Sat Dec 14, 12:00 PM",2019-12-14 12:00:00,"Are you Naughty or Nice? Santa’s watching so make sure you're signed up to participate in Naughty or Nice, our year-end service event.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,CrossFit and Fearless
2019-12-14 19:00:00,"Krampus Chapter 3: Holiday Spirits Sat Dec 14, 7:00 PM - Sat Dec 14, 11:00 PM",2019-12-14 23:00:00,"Krampus is back in Austin! Save the Dates: Dec 13th, 14th & 21st! House of Torment has swapped its pumpkins for Christmas lights, zombies for elves. Your favorite holiday takes a demonic turn in this Christmas themed interactive haunted house.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,House of Torment
2020-10-02T03:30:00-04:00,Austin City Limits Festival Weekend One - 3 Day Pass,2020-10-02T03:30:00-04:00,,,,Zilker Park
2020-08-13 11:00:00,"Coffee Chat: Funmi Ogunro Thu Aug 13, 11:00 AM - Thu Aug 13, 12:00 PM",2020-08-13 12:00:00,Coffee Chats feature leaders in the creative community sharing their personal and professional experiences to inspire others pursuing careers in art.,https://schema.org/EventScheduled,https://schema.org/OnlineEventAttendanceMode,Big Medium
2020-09-25 07:00:00,"Austin Baptist Church Golf Tournament - 2020 Fri Sep 25, 7:00 AM - Fri Sep 25, 2:30 PM",2020-09-25 14:30:00,"Austin Baptist Church is hosting it's inaugural golf tournament on September 25th, 2020 @ Avery Ranch Golf Club. Check in @ 7 AM.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Avery Ranch Golf Club
2019-12-31 20:00:00,"Wu CHow New Years Eve Tue Dec 31, 8:00 PM - Wed Jan 1, 1:00 AM",2020-01-01 01:00:00,Wu Chow: is offering a tasting menu paired with wines along with our famous Shanghai Soup Dumplings and a complimentary champagne toast at midnight.,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Wu Chow Austin
2020-08-08 19:05:00,"Round Rock Express vs. Albuquerque Isotopes Sat Aug 8, 7:05 PM - Sat Aug 8, 7:05 PM",2020-08-08 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-09-23T18:30:00-04:00,5 Ways to Market yourself as an Artist on Social Media,2020-09-23T20:00:00-04:00,"5 Ways to Market Yourself as an Artist on Social Media is hosted by Film producer, Funmi Ogunro who will share methods on how to market yourself and your art on social media.",,,Big Medium
2020-09-24T11:00:00-04:00,Coffee Chat: Camille Woods,2020-09-24T12:00:00-04:00,"Coffee Chats feature leaders in the creative community sharing their personal and professional experiences to inspire others pursuing careers in art. Camille Woods is a painter based in Austin, Texas.",,,Big Medium
2020-09-24T17:00:00-04:00,SUPERFAN BADGE (LANDRUSH): FANTASTIC FEST 2020,2020-10-01T23:00:00-04:00,"Description Covers the entire 8-day festival. SUPERFAN badges guarantee you a seat to your first choice of film in every round of the fest and include access to all of the Fantastic Fest parties and Highball events, including the opening and closing night",,,Alamo Drafthouse South Lamar
2020-09-25T21:00:00-04:00,Oh Sees with Mr. Elevator - Night Two,2020-09-26T02:00:00-04:00,"Please join Oh Sees at the Hotel Vegas on Friday, September 25 and Saturday, September 26.",,,Hotel Vegas
2020-08-17 19:05:00,"Round Rock Express vs. Wichita Wind Surge Mon Aug 17, 7:05 PM - Mon Aug 17, 7:05 PM",2020-08-17 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-03-26 19:00:00,"(CANCELLED) AFS Presents: LA CIENAGA Thu Mar 26, 7:00 PM - Thu Mar 26, 9:00 PM",2020-03-26 21:00:00,"Directed by Lucrecia Martel France, Spain, Japan, 2001, 1h 43min, 35mm, In Spanish with English Subtitles",https://schema.org/EventCancelled,https://schema.org/OfflineEventAttendanceMode,AFS Cinema
2020-09-24 11:00:00,"Coffee Chat: Camille Woods Thu Sep 24, 11:00 AM - Thu Sep 24, 12:00 PM",2020-09-24 12:00:00,"Coffee Chats feature leaders in the creative community sharing their personal and professional experiences to inspire others pursuing careers in art. Camille Woods is a painter based in Austin, Texas.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Big Medium
2020-09-25 21:00:00,"Oh Sees with Mr. Elevator - Night Two Fri Sep 25, 9:00 PM - Sat Sep 26, 2:00 AM",2020-09-26 02:00:00,"Please join Oh Sees at the Hotel Vegas on Friday, September 25 and Saturday, September 26.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Hotel Vegas
2020-08-18 19:05:00,"Round Rock Express vs. Wichita Wind Surge Tue Aug 18, 7:05 PM - Tue Aug 18, 7:05 PM",2020-08-18 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-08-10 19:05:00,"Round Rock Express vs. Albuquerque Isotopes Mon Aug 10, 7:05 PM - Mon Aug 10, 7:05 PM",2020-08-10 19:05:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-09-19 09:00:00,"St. Jude Walk/Run Sat Sep 19, 9:00 AM - Sat Sep 19, 12:00 PM",2020-09-19 12:00:00,Come join us for our annual St.Jude Walk/Run presented by Window World of Austin to support those battling childhood cancer!,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Dell Diamond
2020-02-05 00:30:00,"Free Consultations Wed Feb 5, 12:30 AM - Thu Dec 31, 12:30 AM",2020-12-31 00:30:00,We offer free consultations for orthodontic treatment,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Buda Orthodontics
