HotelName,AddressLocality,AddressLocality,PostalCode,Other,Other,HotelDescription
Gallup Travelodge,Gallup,3275 W Hwy 66(Historic),87301.0,35.506525,-108.824755,"The Travelodge of Gallup New Mexico, is a modern hotel, offering value, product, and service, all guaranteeing a positive guest experience. Enjoy the Indoor Heated Pool and Spa, Free Expanded Continental Breakfast, and Free WiFi. Located on Historical Route 66, the Travelodge is convenient to all that Gallup has to offer. When travel plans bring you to the area include the Travelodge for your accommodation needs.</p"
Wild West Modern,Cuchillo,Main Street / Hwy 52,87901.0,34.9727305,-105.0323635,
Super 8 Grants,Grants,"1604 E Santa Fe Ave, I-40 Exit 85",87020.0,35.1273755123,-107.8269996525,"Take a break from your western New Mexico road trip at our Super 8 Grants hotel. Located just off I-40 at Exit 85 near Sky City Casino and ancient pueblos, our AAA-approved hotel is a comfortable place to call it a night."
Budget Host Raton,Raton,136 Canyon Dr.,87740.0,36.9065159,-104.4389526,
Quality Inn,Taos,1043 Paseo del Pueblo Sur,87571.0,36.383038958,-105.587415396,"The Quality Inn® hotel is conveniently located off State Route 68. This Taos hotel provides easy access to nearby points of interest like Taos Ski Valley, Angel Fire Ski Area, the Rio Grande Gorge Bridge, the Kit Carson Museum and Taos Mountain Casino."
Maverick Motel,Raton,510 S. 2nd St.,87740.0,36.8976181,-104.4405422,
Relax Inn - Hobbs,Hobbs,509 N. Marland,88240.0,32.704358,-103.1184083,
Days Inn - Socorro,Socorro,507 North California Street,87801.0,34.06156,-106.892281,*
Best Western Leawood Motor Inn,Hobbs,1301 East Broadway,88240.0,32.7007099,-103.1232058,
Microtel Inn,Raton,1640 Cedar Street,87740.0,36.8869237,-104.4308994,
Comfort Suites,Albuquerque,5251 San Antonio Blvd. NE,87109.0,35.1605599,-106.584018,"The Quality Suites® hotel is conveniently located just one mile from the Gruet Winery. This Albuquerque hotel is close to popular attractions like the Rio Grande Botanic Garden, the Rio Grande Zoo, Old Town Albuquerque, the Sandia Casino, Sandia Peak ski area and the Albuquerque Convention Center."
Days Inn - Ruidoso Downs,Ruidoso Downs,2088 Hwy 70 West,88346.0,33.349398,-105.564692,
Ace Lodge,Truth or Consequences,1302 N Date St,87901.0,33.1463235,-107.2479356,
Executive Suites & Hotel - Carlsbad,Carlsbad,601 S. Canal,,32.4140815112,-104.229273975,
Best Western Santa Rosa Inn,Santa Rosa,3022 Historic Route 66,88435.0,34.945972,-104.65907,TH
Hobbs Family Inn,Hobbs,501 N. Marland Blvd,,32.7043545,-103.1184131,
Days Inn and Suites - Clovis,Clovis,2700 Mabry Dr,88101.0,34.396666,-103.1702509,We
Ramada Limited Roswell,Roswell,2803 W 2nd,88201.0,33.394357,-104.563028,"Experience a comfortable rest at the Ramada Limited Roswell, as you travel through southeastern New Mexico, the Land of Enchantment . The Ramada Limited provides hotel lodging for Roswell and the surrounding communities of Ruidoso, Ruidoso Downs, Dexter, Lincoln, Hagerman, Artesia and Carlsbad. Roswell has long been known as the UFO and Alien Research center of the Southwest, and the Ramada Limited Roswell hotel is a great base from which to explore Alien Encounters and all the other numerous attractions of the area. - Although well known for alien activity, Roswell has much more to offer to the inquisitive traveler. The Historic District, which contains the Historical Museum of Southeast New Mexico, provides a glimpse into a simpler era, long since gone-by. The New Mexico Military Institute provides a beautiful campus for strolling, and the General Douglas L. McBride Museum. Nearby Lincoln is the site of Billy the Kid's Great Escape and the commemorative museum is well worth a look. - Although the area is rich in history of all kinds, the Ramada Limited Roswell features its very own attractions. The Ramada is set in a wonderfully quiet neighborhood, with easy highway access. We are just 2 miles from downtown,"
Days Inn - Bernalillo,Bernalillo,107 N Camino Del Pueblo Dr,87004.0,35.319234,-106.544722,**
Days Inn - Carlsbad,Carlsbad,3910 National Park Hwy,88220.0,32.3738437623,-104.229859019,
Days Inn - Rio Rancho,Rio Rancho,4200 Crestview Drive SE,87124.0,35.251522,-106.651904,
Quality Inn & Suites,Albuquerque,"7620 Pan American Freeway, N.E",87109.0,35.166139,-106.584219,"The Clarion Hotel® is just two miles from the world-famous Albuquerque International Balloon Fiesta and seven miles from Sandia Peak Ski & Tramway. This Albuquerque, NM hotel is also minutes away from popular attractions and points of interest like the University of New Mexico, the Albuquerque Convention Center, the Sandia Casino and the Albuquerque International Sunport Airport.</p"
Ramada Palms de Las Cruces,Las Cruces,201 East University Avenue,88005.0,32.282014,-106.767529,"The Ramada Palms de Las Cruces is well-named for the over 200 palm trees that surround the hotel. That is just the beginning of the delightful features that await you at the Ramada Palms de Las Cruces. Visitors to the Las Cruces area find our hotel is well-located for visits to New Mexico State University, which is just across University Avenue, and the White Sands Missile Range and National Monument are just a few miles away. - The city of Las Cruces also offers a wonderful variety of attractions that are all within a mile or two of the Ramada Palms hotel. Our guests enjoy exploring Historic Old Mesilla for a taste and feel of Old Mexico, and it is conveniently located just two miles from the hotel. Area museums such as the Historical Lawmen Museum or the Space Mural Museum, monuments like the Bataan Death March Monument, the Farmers and Crafts Market, and more are all within reach. If golf is your passion, we have 4 courses that are no further than 8 miles distant. - Yet, the best reason to enjoy a stay at the Ramada Palms de Las Cruces, is the hotel itself. As you enter our"
Comfort Inn,Santa Rosa,2524 Historic Route 66,88435.0,34.947995,-104.647417,"The Comfort Inn® provides easy access to many area attractions and local points of interest. The Route 66 Auto Museum and Santa Rosa State Park are both within miles of this Santa Rosa, NM hotel"
Best Western Mission Inn,Las Cruces,1765 W Main Street,88005.0,32.290565,-106.775937,TH
Best Western Rivers Edge,Red River,301 W River Street,87558.0,36.708476,-105.409042,MO
Doubletree Hotel - Albuquerque,Albuqueruqe,201 Marquette Northwest,87102.0,35.088066,-106.648737,TH
Hotel La Fonda De Taos,Taos,108 South Plaza,87571.0,36.4069452956,-105.574506026,Historic hotel located on the Taos Plaza</p
Econo Lodge Midtown,Albuquerque,2412 Carlisle Blvd. N.E.,87110.0,35.106867,-106.603754,"The Econo Lodge® Midtown is conveniently located with easy access to Interstate 40 and Interstate 25. This Albuquerque hotel is within five miles from area attractions like Old Town Albuquerque, the Kirtland Air Force Base, the University of New Mexico, the Rio Grande Zoo and the Albuquerque Aquarium.</p"
The Downtown Hotel,Santa Fe,711A Paseo De Peralta,87501.0,35.687236,-105.93353,LO
Hotel Encanto de Las Cruces,Las Cruces,705 South Telshor Blvd,88011.0,32.3126967,-106.7405091,St
Rodeway Inn Midtown,Albuquerque,"2108 Menaul Blvd., N.E.",87107.0,35.108423,-106.619635,"The Rodeway Inn® Midtown is conveniently located near Interstate 25 and Interstate 40, just three miles from the Indian Pueblo Cultural Center. This Albuquerque hotel is minutes from Old Town Albuquerque, Expo New Mexico multi-purpose venue, the Albuquerque International Balloon Fiesta, the University of New Mexico, the Rio Grande Zoo and the Sandia Peak ski area.</p"
Crossland - Albuquerque,Albuquerque,5020 Ellison St NE,87109.0,35.160635,-106.590195,
Holiday Inn Express Hotel & Suites - Los Alamos,Los Alamos,2455 Trinity Drive,87544.0,35.880691,-106.304825,"The Holiday Inn Express Hotel & Suites Los Alamos is conveniently located just five minutes from the Los Alamos National Laboratory, twenty minutes to the Jemez Mountains with skiing, hiking, fishing, boating, rock climbing, camping, and mountain biking. 1/4 Mile to Fuller Lodge and the Los Alamos Historical Museum, and 1/2 mile to the Bradbury Science Museum. </p"
Marina Suites Motel,Elephant Butte,200 Country Club Road,87935.0,33.1668762,-107.2306705,
Days Inn - Espanola,Espanola,807 S Riverside Dr,87532.0,35.987093,-106.057857,*
Econo Lodge,Clovis,1400 E. Mabry Drive,88101.0,34.3977937837,-103.188359696,"The Econo Lodge® hotel is conveniently located off U.S. Highway 60, minutes from Norman Petty Studios where Buddy Holly recorded the song \""Peggy Sue\"" and many other hits. This Clovis hotel is also minutes from the Hillcrest Park and Zoo, Eastern New Mexico University, the Cannon Air Force Base and Clovis Community College.</p"
Best Western InnSuites Albuquerque Airport Hotel & Suites,Albuquerque,2400 Yale Boulevard SE,87106.0,35.055282,-106.621731,
El Rancho Motel,Williams,617 East Route 66,,35.5295333,-108.7216222,
Clubhouse Inn Albuquerque,Albuquerque,1315 Menaul Boulevard NE,87107.0,35.1094,-106.63083,**
Days Inn - Gallup West,Gallup,3201 West Hwy 66,87301.0,35.507064,-108.821679,
Microtel Inn - Albuquerque West,Albuquerque,9910 Avalon Rd NW,87123.0,35.07848,-106.744779,TH
Farmington Travelodge,Farmington,510 Scott Avenue,87401.0,36.731346,-108.189026,"The Travelodge of Farmington New Mexico offers location, and value. Located in central Farmington, convenient for the leisure or business traveler. A few of the amenities offered are Free High Speed Wireless Internet Access, Free Continental Breakfast, and 25' Cable TV. When visiting Farmington New Mexico plan on staying at the Travelodge.</p"
Village Inn Motel,Raton,1207 S. 2nd St.,87740.0,36.8844355,-104.4401208,
Bishops Lodge Resort and Spa,Santa Fe,1297 Bishops Lodge Road,87501.0,35.721273,-105.914493,"A Time-Honored Classic Among Santa Fe Hotels And Resorts. Experience a whole new side to Santa Fe, a timeless locale at the base of the Sangre de Cristo Mountains, where colorful reminders of nearly four centuries of Spanish, Native American, and Southwestern cultures endure. The Bishop's Lodge Ranch Resort & Spa - a destination unlike any other - offers luxurious lodging and endless four-season recreation. Immerse yourself in this time-honored New Mexico hotel resort, ranked by Travel & Leisure magazine as one of America's premier retreats. Bask in the warm glow of magnificent sunsets and sunrises, azure blue skies, and the soft scent of Pinon pines. Enjoy clear, sun-drenched days and enchanting evenings under a blanket of Southwestern stars. As a secluded sanctuary just minutes from the city's famous Plaza, our award-winning Santa Fe hotel resort exhilarates the soul in a stunning setting...</p"
Econo Lodge Downtown,Albuquerque,817 Central Ave. N.E.,87102.0,35.0831329,-106.63781,"The Econo Lodge® Downtown is conveniently located less than one mile from the Albuquerque Convention Center and the University of New Mexico. This Albuquerque hotel is close to popular attractions like the Albuquerque Aquarium, the Rio Grande Zoo, the Sandia Peak ski area, the Albuquerque International Balloon Fiesta and Old Town Albuquerque.</p"
Inn at Rio Rancho and Conference Center,Rio Rancho,1465 Rio Rancho Blvd.,87124.0,35.233168,-106.658389,
The Lodge Resort,Cloudcroft,1 Corona Place,88317.0,32.9522203667,-105.744488278,"A Landmark Choice Among New Mexico Resorts. Seasoned by a rich and cultured past, The Lodge Resort beckons you with alluring promises of intrigue. But more than that, this magnificent Cloudcroft New Mexico hotel and resort possesses a quality unlike any other retreat. From the turn-of-the-century fire that destroyed the original structure to its ghostly inhabitants to its storied past, our resort offers a haunting presence that can be felt to your very core. Inside its halls, magic moments live again and again - making this a place that never completely leaves your heart. Towering 9,000 feet above sea level, this prestigious New Mexico resort offers leisure and business travelers an entrancing location..."
Colt Motel,Raton,1160 S. 2nd St.,87740.0,36.8857515,-104.4402762,
Guesthouse Intl Albuquerque,Albuquerque,10331 Hotel Ave NE,87123.0,35.086137,-106.532059,
Econo Lodge East,Albuquerque,13211 Central Ave. N.E.,87123.0,35.069519,-106.49939,"The Econo Lodge® East is conveniently located less than five miles from attractions and landmarks like the Albuquerque International Balloon Fiesta, the Isleta Casino, the Sandia Casino and the University of New Mexico. The Albuquerque International Sunport airport is only 10 miles from this Albuquerque hotel. </p"
Stagecoach Inn - Carlsbad,Carlsbad,1819 S Canal St,,32.4033457041,-104.224343574,
Fairfield Inn by Marriott - Carlsbad,Carlsbad,2525 S Canal St,88220.0,32.3973400897,-104.221207233,
Barbershop Plaza Motel,Hillsboro,Main Street / Hwy 152,88042.0,32.9208333,-107.5669444,
Comfort Inn & Suites,Deming,1010 West Pine Street,88030.0,32.2673387,-107.7702518,"The Comfort Inn & Suites® hotel is conveniently located less than one mile from the Deming Luna Mimbres Museum and six miles from the mile-long Catwalk, a four-inch pipeline constructed by miners in 1889. This Deming hotel is minutes from Spring Canyon State Park and Rockhound State Park."
Days Inn - Las Cruces,Las Cruces,2600 South Valley Drive,88005.0,32.283724,-106.772207,
Travel Host Motel,Raton,400 Clayton Rd.,87740.0,36.8849539,-104.4362676,
Comfort Inn,Las Vegas,2500 N. Grand Ave.,87701.0,35.6217327511,-105.205988361,"Welcome to the Comfort Inn® hotel in Las Vegas, New Mexico, ideally located to enjoy the unique vistas of the local natural beauty. Montezuma Castle and the Montezuma National Wildlife Refuge are just five miles from this Las Vegas hotel. Fort Union National Monument and Pecos National Monument are both less than 30 miles from the hotel. </p"
Comfort Inn & Suites North,Albuquerque,5811 Signal Ave. N.E.,87113.0,35.183316,-106.580011,The Comfort Inn & Suites® North is ideally located across the freeway from the world-renowned Albuquerque International Balloon Fiesta. Nearby points of interest include offices for Intel and Motorola and the Journal Center Corporation business park. </p
Casa Blanca Inn,Farmington,505 E. La Plata St,87401.0,36.7319621,-108.2002491,
Motel 6 Grants,Grants,1505 East Santa Fe Avenue,87020.0,35.1302717544,-107.8277947552,"Motel 6 Grants is located within 2 miles of the world famous Miners Museum and near the spectacular Mt. Taylor Recreation Area. Features include pool, guest laundry, and micro-fridge units in select rooms. Free Wi-Fi in all guest rooms."
Hampton Inn Suites Los Alamos,Los Alamos,124 State Highway 4,87544.0,35.833863,-106.35858,TH
Oasis Motel,Truth or Consequences,819 N Date St,87901.0,33.1383165,-107.2506067,"Small clean, quiet, reasonable rates, not a chain but one where your reservation is in your name and you are not a number.</p"
Oasis Motel,Raton,1445 S 2nd Street,87740.0,36.8752905,-104.4399679,
The Lodge at Sierra Blanca,Ruidoso,107 Sierra Blanca Dr,88345.0,33.3550247576,-105.6626744632,"Picture rustic charm where fireplaces, Jacuzzi tubs, cozy patios and stunning vistas from every guestroom and suite add opulence to a casual environment. Rooms have free wi-fi, HBO, refrigerators, microwave and coffee maker."
Don Fernando De Taos,Taos,1005 Paseo Del Pueblo Sur,87557.0,36.385481,-105.585601,TH
Days Inn - Santa Fe,Santa Fe,2900 Cerillos Road,87505.0,35.655609,-105.990541,3
Ramada Ruidoso,Ruidoso Downs,2191 Highway 70 West,88346.0,33.326166,-105.621929,"The Ramada Ruidoso hotel welcomes travelers to the Ruidoso high country of New Mexico. Our location in Ruidoso Downs is just a half-mile from the Ruidoso Downs Race Track and the Billy the Kid Casino. Just down the road is the Hubbard Museum of the American Horse, and 16 miles north of the hotel is Ski Apache. - Our hotel is surrounded by restaurants and unique shops which capture the spirit of both Old New Mexico, and the culture of the nearby Mescalero Apache Nation. At 6,900 feet our summers are warm, not hot, and winters are snowy, but very temperate. Guests at the Ramada Ruidoso find that our hotel makes an excellent base for exploring the historic town of Lincoln, famous for the exploits of Billy the Kid, and where the Old West is still very much alive. The quaint village of Cloudcroft is not far and it is an easy drive to the UFO capital of the southwest, Roswell. - The Ramada Ruidoso is a recently constructed, three-story, interior corridor hotel featuring a beautiful lobby area with fireplace, indoor heated pool and spa, exercise room, 24 hour business center, elevators, and uniquely furnished and decorated rooms. All rooms"
El Rey Inn,Santa Fe,1862 Cerrillos Road,87505.0,35.6642871245,-105.9737001154,
Days Inn - Deming,Deming,1601 East Pine Street,88030.0,32.268837,-107.739537,
Hilton Garden Inn - Rio Rancho,Rio Rancho,1771 Rio Rancho Blvd,87124.0,35.226488,-106.661121,
Comfort Inn,Gallup,3208 W. US 66,87301.0,35.5072772726,-108.823029113,"The Comfort Inn® hotel is located north of Interstate 40, just three miles from the Gallup Municipal Airport. This Gallup hotel is conveniently situated near many local points of interest including historic Route 66, Red Rock State Park, University of New Mexico-Gallup, Window Rock and the historic El Morro Theater.</p"
Econo Lodge,Gallup,3101 West US 66,87301.0,35.5073518994,-108.819210149,"The Econo Lodge® hotel is conveniently located off Interstate 40, just two miles from the Gallup Municipal Airport. This Gallup hotel is minutes from area attractions like Red Rock State Park, Monument Valley, Window Rock and Zuni Reservation. </p"
Sleep Inn,Gallup,3820 E Highway 66,87301.0,35.5303947174,-108.666873228,"The Sleep Inn® hotel in Gallup is located near Gallup Indian Plaza and historic Route 66. This Gallup hotel is also near Red Rock State Park and the University of New Mexico-Gallup. Additional attractions, including Window Rock and Zuni Pueblo, are located minutes away.</p"
Holiday Inn Express Raton,Raton,101 Card Ave.,84770.0,36.8662378,-104.4403135,
Best Western Western Skies Inn,Lordsburg,1303 South Main,88045.0,32.341665,-108.713947,TH
Comfort Inn & Suites,Clovis,201 Schepps Blvd,88101.0,34.3958766482,-103.16837916,"The Comfort Inn & Suites® hotel is conveniently located near many local highways, providing easy access to a variety of points of interest. This Clovis, NM hotel is less than five miles from the Lyceum Theater, the Clovis Civic Center and the Hillcrest Park and Zoo. Clovis Community College and Cannon Air Force Base are both just minutes away.</p"
Robin Hood Motel,Raton,1354 S 2nd St.,87740.0,36.878358,-104.440234,
Comfort Inn,Truth or Consequences,2251 N Date St,87901.0,33.1481447,-107.2469156,
Best Western El Rancho Palacio,Roswell,2205 N Main Street,88201.0,33.418865,-104.522835,TH
Best Western Red Rock Inn,Gallup,3010 East Highway 66,87301.0,35.529063,-108.689698,WE
Hacienda at Hotel Santa Fe,Santa Fe,537 South Guadalupe,87501.0,35.682687,-105.947461,TH
Comfort Suites,Taos,1500 Paseo Del Pueblo Sur,87571.0,36.3696308,-105.5970191,"The Comfort Suites® hotel is conveniently located just minutes from the University of New Mexico. Popular nearby attractions include Taos Mountain Casino and Taos Pueblo, where the Pueblo Indians have dwelled for over 900 years. Tourists will enjoy skiing at Taos Ski Valley and visiting the Rio Grande Gorge Bridge, both just a short drive from the hotel.</p"
La Fonda On the Plaza,Santa Fe,100 East San Francisco Street,87504.0,35.686729,-105.937987,TH
