primaryTitle,primaryTitle,rating,runtimeMinutes,primaryTitle,titleType,primaryTitle,rating,Star,Other,Other,Other,Other,Other,Other,release date,release_date,Other,trama
Jumping the Blanket (Short 1895) - IMDb,Jumping the Blanket,5.5,1K,,"Outdoors, with a nondescript building in the background, four men stand, each holding the corner of a blanket stretched parallel to the ground. They wear the clothes of laborers. By the back corner on our left stands a uniformed man who seems in charge. A sixth man stands back fr...  Read all",Louis Lumière,5.5,Louis Lumière,6.0,6.0,Don't Trip Over That Blanket,"This film, along with nine other films, was shown at a Paris, mini-film festival, by pioneering filmmakers, the Lumiere brothers, in December of 1895. Those crazy, whacky acrobats from Lumiere's earlier film, Horse Trick Riders (1895), shown during the mini-festival, about four minutes before this film, return here for the 1895 version of a sequel, in Jumping the Blanket (1895). Four guys hold onto a blanket and a fifth guy... jumps over it. Home movies for paying customers in the eighth movie ever shown to an audience for a fee. One of the first ever films needing a better acrobat instructor. It looks more like an embarrassing home movie with the drunk neighbors, but it was one of the first motion pictures ever made and that is saying something.",,PCC0921,"Nov 26, 2022",July 1896 (Finland),Стрибок через брезент,By what name was Jumping the Blanket (1895) officially released in Canada in English?
Autour d'une cabine (Short 1894) - IMDb,Autour d'une cabine,6.1,1.1K,Pre-cinematograph colour animation of a woman and man at the beach.,Pre-cinematograph colour animation of a woman and man at the beach.,,6.1,,8.0,8.0,And the Animation Starts,Autour d'une cabine (1894),8.0,Michael_Elliott,"Aug 14, 2015","December 15, 1894 (France)",Around a Bathing Hut,
The Arrival of a Train (Short 1896) - IMDb,The Arrival of a Train,7.4,13K,A train arrives at La Ciotat station.,A train arrives at La Ciotat station.,,7.4,,64.0,64.0,The beginning of a great adventure,A train arrives at a station. And changes everything.,6.0,Red-Barracuda,"Mar 30, 2012","June 30, 1896 (United States)",The Arrival of the Mail Train,By what name was The Arrival of a Train (1896) officially released in India in English?
Corbett and Courtney Before the Kinetograph (Short 1894) - IMDb,Corbett and Courtney Before the Kinetograph,5.4,843,James J. Corbett and Peter Courtney meet in a boxing exhibition.,James J. Corbett and Peter Courtney meet in a boxing exhibition.,,5.4,,7.0,7.0,Quite An Interesting Part Of Early Motion Picture History,"At least one portion of this Edison Company film survives, and it constitutes quite an interesting part of early cinema history. The idea itself is of interest as one of many early attempts to make movies more profitable, and the quasi-legal status of the movie in its time is of considerable interest as part of the history of the movies, and also as part of the life of Thomas Edison himself.",11.0,Snow Leopard,"Oct 24, 2005","November 17, 1894 (United States)",Jim Corbett vs. Peter Courtney,By what name was Corbett and Courtney Before the Kinetograph (1894) officially released in India in English?
Horse Trick Riders (Short 1895) - IMDb,Horse Trick Riders,5.5,1.1K,"A man tries to get on a horse , but he climbs to one side and falls from the other, until he manages to stay in balance.","A man tries to get on a horse , but he climbs to one side and falls from the other, until he manages to stay in balance.",Louis Lumière,5.5,Louis Lumière,6.0,6.0,Early example of Stunt Work in Film,"This film, along with nine other films, were shown at a Paris, mini-film festival, by pioneering filmmakers, the Lumiere brothers, in December of 1895. Horse Trick Riders (1895) is the fourth movie, ever shown to a paying audience. It is the first ever example of stunt work in film too. It also was the first animal trick act ever shown to a paying audience. It features the first early examples of acrobatic artists doing their thing, in this case. Jumping onto a horse. It utilizes the acrobatic antics for the sake of comedy. It is a cool film to see, because of its early position in film history, but the Lumiere's really should have found better stunt men. These guys looked, kind-of, amateurish. This was so early in film history that the idea of multiple takes wasn't a thing yet. Still, for less than a minute its no worse than a YouTube video.",,PCC0921,"Nov 26, 2022",July 1896 (Finland),Trick Riding,By what name was Horse Trick Riders (1895) officially released in Canada in English?
Das boxende Känguruh (Short 1895) - IMDb,Das boxende Känguruh,5.2,617,"A man and a kangaroo stand up in front of each other with boxing gloves, and simulate a boxing match on a theatre stage.","A man and a kangaroo stand up in front of each other with boxing gloves, and simulate a boxing match on a theatre stage.",Max Skladanowsky        Star      Delaware,5.2,Max Skladanowsky        Star      Delaware,,,Anticlimactic ending.,,,Kitahito,"Mar 25, 2021",,Mr. Delaware and the Boxing Kangaroo,
Die Serpentintänzerin (Short 1895) - IMDb,Die Serpentintänzerin,,429,"A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.","A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.",Max Skladanowsky        Star      Ancion,,Max Skladanowsky        Star      Ancion,,,1990s I think rather than 1890s,,,kekseksa,"Oct 29, 2017",,Серпантин,By what name was Die Serpentintänzerin (1895) officially released in Canada in English?
Leaving the Factory (Short 1895) - IMDb,Leaving the Factory,6.9,7.4K,"Workers leaving the Lumière factory for lunch in Lyon, France in 1895; a place of great photographic innovation and one of the birth places of cinema.","Workers leaving the Lumière factory for lunch in Lyon, France in 1895; a place of great photographic innovation and one of the birth places of cinema.",Louis Lumière,6.9,Louis Lumière,36.0,36.0,Lumière,"On the 28th of December, 1895, in the Grand Café in Paris, film history was writing itself while Louis Lumière showed his short films, all single shots, to a paying audience. 'La Sortie des Usines Lumière' was the first film to be played and I wish I was there, not only to see the film, but also the reactions of the audience.",11.0,rbverhoef,"Mar 4, 2005","March 22, 1895 (France)",Employees Leaving the Lumière Factory,By what name was Leaving the Factory (1895) officially released in India in English?
Edison Kinetoscopic Record of a Sneeze (Short 1894) - IMDb,Edison Kinetoscopic Record of a Sneeze,5.4,2.2K,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,William K.L. Dickson        Star      Fred Ott,5.4,William K.L. Dickson        Star      Fred Ott,20.0,20.0,Nothing To Sneeze At,,8.0,Jeope!,"Aug 13, 2002","January 9, 1894 (United States)","Edison Kinetoscopic Record of a Sneeze, January 7, 1894",What was the official certification given to Edison Kinetoscopic Record of a Sneeze (1894) in the United States?
Carmencita (Short 1894) - IMDb,Carmencita,5.7,2K,"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.","Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.",William K.L. Dickson        Star      Carmencita,5.7,William K.L. Dickson        Star      Carmencita,15.0,15.0,First Dance,,,JoeytheBrit,"Jul 17, 2010","March 10, 1894 (United States)",Карменсіта,By what name was Carmencita (1894) officially released in Canada in English?
Fishing for Goldfish (Short 1895) - IMDb,Fishing for Goldfish,5.1,1.1K,A baby held by his father dips his little hands into a water jug and he can' t catch the goldfish .,A baby held by his father dips his little hands into a water jug and he can' t catch the goldfish .,Louis Lumière        Stars      Andrée Lumière     Auguste Lumière,5.1,Louis Lumière        Stars      Andrée Lumière     Auguste Lumière,5.0,5.0,Lesser Lumiere,This is a pleasantly set-up Lumiere subject in which a toddler pothers around a bowl filled with goldfish. Its composition will please the viewer.,4.0,boblipton,"Aug 15, 2012","December 28, 1895 (France)",Виловлювання червоних рибок,By what name was Fishing for Goldfish (1895) officially released in Canada in English?
Pauvre Pierrot (Short 1892) - IMDb,Pauvre Pierrot,6.5,1.9K,,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",,6.5,,21.0,21.0,"Pauvre Pierrot holds the significant title of being the world's first animated cartoon (well, thought to be anyway...).","History lesson time! Back when films were viewed as magical gimmicks rather than an art form, inventor Reynaud made advancements on the standard zoetrope that children would be hypnotised by, and patented the praxinoscope. The difference? The ability to give further dimensions to the strips that are used to project a flowing film. And that's where Pauvre Pierrot comes in (roughly translated as 'Poor Pete'), part one of three short stories that combined to produce Reynaud's 'Pantomimes Lumineuses'. Whilst the other two are considered lost, this third has had four minutes restored from its original fifteen minute runtime. And much to my surprise, it's just as viewable now as it was back in 1892.",1.0,TheMovieDiorama,"Jul 3, 2019","October 28, 1892 (France)",Poor Pierrot,
The Waterer Watered (Short 1895) - IMDb,The Waterer Watered,7.1,5.7K,An impudent child plays a prank on a gardener innocently watering his plants.,An impudent child plays a prank on a gardener innocently watering his plants.,Louis Lumière        Stars      François Clerc     Benoît Duval,7.1,Louis Lumière        Stars      François Clerc     Benoît Duval,27.0,27.0,ONE of the first comedies,"The Lumiere Brothers, Auguste and Louis Lumiere, reportedly made the first projected films ever. By today's standards, these films look rather crude because they mostly didn't feature any sort of plot but were mostly scenes of everyday life. Believe it or not, at this time ANYTHING would pass for entertainment--so long as it moved. 'L'Arroseur Arrose' (aka 'The Tables Turned on the Gardener' or 'The Watered Watered' and known in some circles as 'The Sprinkler Sprinkled' or 'The Sprayer Sprayed') not only is a moving picture (wow, how cool, right?) but it TELLS A STORY! AND IT'S A FUNNY ONE! AND IT'S A LAUGH RIOT!! Okay, so it's not. But it was for the time. Today the gag is so old it doesn't work at all and thus the main reason to watch this short is because of the historical significance.
 
However, I have something to say about this significance. Yes, this is considered the first comedy by many. And I'm not denying how important it is in cinematic history. But the truth is, this is not the first filmed comedy ever made. One year before, the Edison Manufacturing Company had performers Phil Doretto and Robetta star in several kinetoscope films of their comedy routine. The one surviving film of these three shorts is 'Chinese Laundry Scene' which was filmed in Edison's 'Black Maria' studio and while simply a filming of this routine, THAT short can be considered the first comedy. This one remains important as ONE of the first comedies, but not as THE first comedies.",3.0,Tornado_Sam,"Oct 15, 2017",1896 (Finland),Tables Turned on the Gardener,By what name was The Waterer Watered (1895) officially released in Canada in English?
Arrivée d'un train gare de Vincennes (Short 1896) - IMDb,Arrivée d'un train gare de Vincennes,4.9,225,This lost film presumably features a train arriving at Vincennes station.,This lost film presumably features a train arriving at Vincennes station.,Georges Méliès,4.9,Georges Méliès,2.0,2.0,"I PROBABLY just saw this lost film....I'm not sure, exactly.",,1.0,planktonrules,"Sep 8, 2020",1896 (France),Arrival of a Train at Vincennes Station,By what name was Arrivée d'un train gare de Vincennes (1896) officially released in Canada in English?
Baby's Meal (Short 1895) - IMDb,Baby's Meal,5.9,3.5K,,"As part of a maiden public film screening at the Salon Indien, on December 28, in Paris, Auguste Lumière pivots the centre of attention around his baby daughter, as he tries to feed her from a spoon.",Louis Lumière        Stars      Auguste Lumière     Mrs. Auguste Lumiere     Andrée Lumière,5.9,Louis Lumière        Stars      Auguste Lumière     Mrs. Auguste Lumiere     Andrée Lumière,12.0,12.0,Time to Feed the Baby,Repas de bebe (1895),1.0,Michael_Elliott,"Jul 26, 2015",July 1896 (Uruguay),Baby's Dinner,By what name was Baby's Meal (1895) officially released in Canada in English?
Boat Leaving the Port (Short 1895) - IMDb,Boat Leaving the Port,5.9,1.6K,Three men in a rowboat are leaving the harbor.,Three men in a rowboat are leaving the harbor.,Louis Lumière        Stars      Mrs. Auguste Lumiere     Jeanne-Joséphine Lumière,5.9,Louis Lumière        Stars      Mrs. Auguste Lumiere     Jeanne-Joséphine Lumière,10.0,10.0,Interesting for its framing and motion,"I watched this film on a DVD that was rammed with short films from the period. I didn't watch all of them as the main problem with these type of things that their value is more in their historical novelty value rather than entertainment. So to watch them you do need to be put in the correct context so that you can keep this in mind and not watch it with modern eyes. With the Primitives & Pioneers DVD collection though you get nothing to help you out, literally the films are played one after the other (the main menu option is 'play all') for several hours. With this it is hard to understand their relevance and as an educational tool it falls down as it leaves the viewer to fend for themselves, which I'm sure is fine for some viewers but certainly not the majority. What it means is that the DVD saves you searching the web for the films individually by putting them all in one place  but that's about it.",3.0,bob the moo,"Feb 27, 2008",1895 (France),Човен виходить із порту,By what name was Boat Leaving the Port (1895) officially released in Canada in English?
