HotelName,AddressLocality,AddressLocality,LocationFeatureSpecification,LocationFeatureSpecification
Holiday Home Villa La Pinède,,,42.5213013,2.9505
Residence Port Minervois 125S,,,43.271801,2.7151
OYO 13894 Home Winter Line 2BHK Near Picture Palace,Mussoorie,"Goel bhawan, sale tax office",30.4477997,78.0875015
Apartment Les Berges Landaises.2,,,43.6553001,-1.4258
A Pergola 100S,,,42.5066986,8.8575001
Abbaye de Longues-sur-Mer 401S,,,49.3328018,-0.6984
Aashiyana,Kalimpong,"Trimoti Shopping Complex , 9th Mile",27.0648994,88.4669037
OYO 13643 Hotel Maharaja Palace,Jaipur,"1, 1, Fateh Singh Market, Opp. Hotel Rajaputana Sheraton, Station Road, Jaipur Railway Station, Jaipur",26.9181004,75.7916031
Sambit Royal,Bhubaneshwar,"PLOT NO.25, ASHOK NAGAR, RAJMAHAL SQUARE",20.2616997,85.838501
Amazing kodai city view resort,Кодайканал,Ituthayapuram road near Cristian school Shenbaganur,10.2334995,77.509903
Holiday Home L'Oliveraie,,,44.0102997,5.0964999
The Pinewood Hotel,Darjeeling,15(16) Rockville Road Above Telephone Exchange,27.0401001,88.2664032
OYO 13432 Home Exotic 2BHK villa Chaffi Road,Nainital,"PANDEY'S HARIYA GAON, BHIMTAL NAINITAL",29.3717995,79.5599976
Jawai Sagar - An Amritara Private Hideaway,Pāli,"Village Sena, Tehsil Bali, Rajasthan",25.0601006,73.1893005
Celebrations,Chandrapur,Ramnagar Road Chandrapur,19.9627991,79.2910995
OYO 3232 Royal Inn,Kānpur,"Plot No. 117/K/13, I-3, Sarvodya Nagar",26.4806995,80.2994003
OYO 14762 City Star,Amritsar,"Near Post Office, Fuwara Chowk, Amritsar",31.6378002,74.8665009
OYO 12666 Home Comfortable Studio Chogum Road,Sangolda,"Lulu's Guest Corner 760/45 Chorm Rd, Гоа",15.5399265,73.8177643
Le Clos du Châtaignier 120S,,,44.4626999,3.9933
Apartment Home Club.6,,,45.4723015,6.9155002
QQ Garden House,Saipan,"7820 Svrb, Saipan",15.1757946,145.7459869
OYO 11919 Dock Inn,Hyderabad,"Flat no 903, 9th Floor, C Block, Fresh Living Apartment, Image hospital Road, Madhapur",17.4414005,78.3845978
Dream Villa,Назик,"Lam Road Near Kothari kanya aarogya bhuvan, Behind Abhinandan lawns, Lam road, Deolali",19.9256001,73.8338013
Kalpana,Nainital,"High Court Road, Mallital",29.3946991,79.4498978
OYO 13062 Kamala Residency-Inn,Upal,"hno 2-3-457/3, plot no 7, Sai nagar colony, Road no-4, LB Nagar",17.3651009,78.5576019
Ty Basguen 149S,,,48.230999,-4.5151
Nirvaah Home Siolim- 2BHK,Siolim,"House No175/5B,Tariche Bhat, Goa",15.6042032,73.8032913
Janardana,Udupi,"Near KSRTC bus stand, udupi, Malpe",13.3408899,74.7473068
Three-Bedroom Holiday home Ancone with a Fireplace 05,,,44.5835991,4.7291999
Guest House ANNA,Sukhum,ulitsa Zaovrazhnaya 1,42.9978981,40.9915009
Apartment Résidence des Tennis,,,48.6320992,-2.0525
The Junkyard Camp,Rishīkesh,jogiyana Rishikesh(Uttarakhand) The Junkyard Camp Rishikesh,30.0681,78.3767014
Apartment Le Domaine du Chateau.4,,,46.1851006,-1.1738
OYO 11715 MCC Guest House,Guwahati,"63, GS road Below Bhagagarh Flyover",26.1639004,91.7695007
Holiday Home La Coralline,,,45.6338005,-1.0623
Monika - Siddhi,Jejūri,"Pune Pandharpur road, Jejuri, opp. A C Petrol Pump, Tal- Purandar. Pune 412303. Pune Pandharpur road, Jejuri, opp. A C Petrol Pump, Tal- Purandar. Pune 412303.",17.9736996,74.5459976
OYO 13347 Home Studios Kasauli,Kasauli,"Sheetal Homestay, Parwanoo",30.9072208,76.9696579
OYO 12741 Home 2BHK Villa Hiran Magri,Udaipur,"3-C-11, Gupteshwar Nagar",24.5529003,73.7225037
Apartment Domaine du Golf d'Albret.8,,,44.1735992,0.2651
золотой лев,Sukhum,Dzidzaria Street 88,43.007,41.0079994
Pumpkin Cherish Guest House,Cherrapunji,"Cherish, Nongthymmai, Sohra Pumpkin Cherish Guest House",25.2630005,91.7321014
OYO 12783 Home Beach facing Cottage Calangute,Calangute,"spring beach cottages, near fisherman's point tivai vaddo",15.5387001,73.759201
Holiday Home Kerhellec,,,47.5884018,-3.1089001
OYO 13836 Hotel Manu Vatika,Манали,"Hotel Manu Vatika, New Manali, Mall road, near hotel sringar Residency,Near by Hadimba temple road, Манали",32.2468987,77.1858978
OYO 9132 Hotel Recharge,Raipur,"4, GE Road, Tatyapara Chowk",21.2409,81.6311035
OYO 13095 Ganesh Managl Guest House,Gorakhpur,"2, Beside jhulelal Temple, Gorakhnath Bridge, North Humayunpur",26.7679005,83.3574982
OYO 12318 Hotel Sea Horse,Mandarmoni,"119, Mandarmani Beach Road",21.6683998,87.7100983
aura,Turavūr,Thuravoor Railway Station - Road,9.7721004,76.3106003
Nook Residency,Udagamandalam,261/8 Koshys tower state bank lane,11.4094,76.7042007
FabHotel Nest Inn,Лакнау,"1/12, Opposite MJ Grand, Picup Bhawan Rd, Vijayant KhandGomti Nagar",26.8675003,81.0189972
Apartment Republique,,,45.6246986,-1.0253
Apartment Rond Point des Pistes.11,,,45.4533005,6.8986001
Apartment Lunik Orion.45,,,45.2394981,6.2715001
Maison Port Navalo 360S,,,47.5494003,-2.9078
M crown Hotel,Shillong,"3rd Floor, MarBa Hub Police Bazaar",25.5762997,91.8824997
Escher 100S,,,47.9646988,6.7165999
OYO 14226 Hotel Gago Inn,Alleppey,"Hotel Gago Inn,Near lighthouse, Alappuzha",9.4937897,76.3220367
Apartment Village Lugrin.3,,,46.3891983,6.6529999
Airways,Kolkata,Plot No 205 & 209 No 2 Airport Gate On Jessore Road,22.9323997,88.7345963
Oyo 14033 F52,Gurgaon,"f-52, Gurgaon",28.4707508,77.0457535
A-1 GRAND,Srikalahasti,Sannidhi street Nandanavanam road,13.7441998,79.6965027
OYO 12907 Hotel Isha Residency,McLeod Ganj,"Hotel Isha Residency, Sunset Point Road, Near Dal Lake, Naddi",32.2513008,76.3021011
OYO 13730 hotel balram,Нойда,"C-5, Hotel balram sector 51 Noida. Opposite sector 51 metro station",28.5806999,77.3666
St. Anne 140S,,,43.4417,5.6774001
Apartment Le Sarvan.14,,,45.3277016,6.5341001
Apartment Domaine du Golf d'Albret.3,,,44.171299,0.2619
Picturesque 2BHK Heritage Town,Pondicherry,"119, Perumal Koil Street, Heritage Town",11.9407997,79.828598
Edition O 30015 Kanaka Grand Hebbal,Бангалоре,"No 48, 5th A main hebbal airport road, Near Baptist Hospital Main Gate",13.0356998,77.5895996
Apartment Les Rivages de Coudoulière.16,,,43.0969009,5.8137999
Apartment Les Fermes de Samoens.3,,,46.0774002,6.7312999
OYO 12299 Flagship Koparkhairaine Flagship,Mumbai,"Plot No 21, Sector 4, Vikasnagar, Kopar Khairane",19.1058006,73.0073013
OYO 13621 The Legend Branson,Gurgaon,"C 21, Sushant Lok-3, Sector 57, Gurgaon",28.4195995,77.077301
JK Rooms 130 Paras-Dera Bassi,Ambāla,"Near Dera Bassi Bus Stand, Shakti Nagar, Bhagat Singh Nagar, Dera Bassi, Ambala Chandigarh Expressway, Punjab-",30.5788002,76.8412018
Holiday Home La Fons Couverte,,,43.2723999,6.5247998
aryaas,Аллеппи,"Panvel - Kochi - Kanyakumari Highway near nh66 , alappuzha , kerala",9.5909004,76.3274002
OYO 12228 Colonel corner,Bhopal,"M-426, E-7, Arera Colony",23.2098007,77.4346008
Chalet Le Yatagan,,,45.9178009,6.8593998
Ferienhaus Treflez 203S,,,48.6240005,-4.2567
Treebo Trend Tree House,Кочин,"IBH TV Centre, Seaport Airport Road, Kakkanad, Kochi,",10.0134001,76.3419037
Grand View Suite Shoghi,Simla,"Veer Ghar, Village Mohri, Shoghi",31.0657005,77.1324005
Baymaas Lake House,Cochin,"Baymaas lake house #6/41,Toddy shaap road, Cheppanam,kochi 682506",9.8999996,76.331398
Hostie Raga – blissful mountain cottage,Rānīkhet,Majkhali - Someshwar Road,29.6818008,79.5007019
Apartment Champraz.15,,,45.9341011,6.8779998
Rental Apartment Sokoburu 4,Hendaye,"84 Avenue Des Mimosas Apt 126, Hendaye",43.3705215,-1.7852582
Street Retreat,Manāli,Manu Temple Road,32.2543983,77.1769028
Holiday Home Villa de la Mer,,,42.6179008,3.0269001
OYO 13884 Holiday Homes,Nainital,"Holiday Home, F 17, SIDC, INDUSTRIAL AREA",29.3610992,79.5506973
Arzoo Palace,Ajmer,"Nala Bazar Road Ajmer, Rajasthan",26.4570999,74.6325989
Royal Sundarban Wild Resort,Jharkhali,Jharkhali Forest Road Jharkhali,22.031601,88.6875
Apartment Les Chalets Edelweiss.2,,,45.4934998,6.671
Apartment Soyouz Vanguard.84,,,45.2388992,6.2702999
Treebo Trip The Oak Ridge Nainital,Nainital,"156, Anand Complex, Thandi Road, Tallital , Nainital",29.3799,79.4608002
Town House In Quaint Breton Village,Guéméné-sur-Scorff,8 Rue Bisson,48.0680008,-3.2058001
Apartment Beaumer.2,,,47.5811996,-3.0562999
The Monarch Hotel,Ferokh,Kadalundy Road,11.1601,75.8393021
Apartment Domaine du Golf d'Albret.5,,,44.1735992,0.2651
Welcomheritage Ashdale,Nainital,"Mallital, Pangot",29.3950386,79.4455948
Nirvaah Home Siolim- 1BHK,Siolim,"House No.175/5B,Tariche Bhat, Goa",15.6042032,73.8032913
Baymaas Lake House,Кочин,"Baymaas lake house #6/41,Toddy shaap road, Cheppanam,kochi 682506",9.8999996,76.331398
Maison De Vacances - Siorac-En-Périgord,,,44.8049011,1.0015
Apartment Palm Beach.6,,,43.5626984,4.0619001
Apartment Les Rivages de Coudoulière.2,,,43.0969009,5.8137999
Motel Sunrise,Patiāla,"opp industries offices, Sirhind road Patiala opp hero honda agency",30.3206005,76.3951035
La Sauvanière,Menée,2 route des sources,44.7326012,5.5138998
Rental Apartment Belle Plage 8,Port Leucate,Belle Plage - -,42.8661995,3.0445001
Exotic 1BHK Khanyara Road,Dharamshala,"123, Khaniyara Road",32.2215004,76.3277969
OYO 17306 Hotel Apple Wood,Amritsar,"Hotel Apple Wood, Golden Temple Road ,Mahna singh road Near Golden Temple, Amritsar",31.6190205,74.8810425
Outpost@Alibaug,Alibaug,Thal Road maharashtra,18.7161999,72.9001007
Parikalp,Pachmarhī,"Patel road, Hotel Parikalp Hotel Parikalp",22.4726009,78.4358978
OYO 12737 JK Residency,Kammasandra,"293, 19th Cross Rd, Ananth Nagar, Phase 1, Kammasandra, Electronic City",12.8364,77.6902008
The George Hotel Kiribati,Betio,"PowerHouse Road, Between SDA & KPC Church Compound, Тарава",1.3557409,172.931076
Apartment Marville,,,48.6459999,-2.0072999
Ker Iliav 253S,,,48.6870003,-4.1668
OYO 13857 Hotel Imperial,Umele,"Hotel imperial, Ground Floor, Oynx Commercial Centre, Tirupati Industrial Park, Sativali, Vasai",19.405899,72.8621979
The Imperia Hotel,Jālgaon,"Ayodhya Nagar, Old MIDC",21.0009003,75.581398
Destiny,Muzaffarpur,Buttler road Maripur,26.1226997,85.3722
Apartment Turquoise,,,45.8661003,6.6960001
Silvermist Homestay,Vythiri,"Mandamala,Lakkidi,Wayanad",11.5211,76.0142975
Gîte Les Diligences,Roquefixade,"Le village Gîte \"" Les Diligences \",42.9351006,1.7569
Cyprus Home Stay,Udagamandalam,"82 M3, lower Kodappamund Rd, Near Botanical Garden Ooty, Tamil Nadu 643002",11.4151001,76.7156982
Treebo Trend Silver key Hotel,Bangalore,"#70,RJ Garden, Near cafe coffee day, outer ring road, Marathahalli",12.9623003,77.7014999
Holiday Home Villa des Rocs,,,43.3158989,3.4814
Apartment Le Plan des Reines,,,46.0014,6.9461002
Two-Bedroom Apartment in Bohinjska Bistrica,,,46.2719002,13.9538002
Apartment Port des Sables,,,42.6230011,3.0346999
Ty Bihan 119S,,,48.6296997,-4.5131998
Studio Hill View Shimla,Simla,"Veer Ghar Resort, Village Mohri, Shoghi",31.0396996,77.1212006
Poppys Tower (A UNIT OF POPPYS KNIT WEAR),Coimbatore,41/42 Race Course Road,10.9986,76.976799
Chateauneuf-de-Gadagne Villa Sleeps 10 Pool,,,43.9267998,4.9445
Misty Hill Resort Thekkady,Pīrmed,"x/289-I, murinjapuzha kuttikkanam kuttikkanam",9.5783005,76.9729004
Weekend Inn,Jhājra,Weekend Inn Near jaspal rana shooting range Paundha,30.3694992,77.9710007
Apartment SILABIA,,,43.3879013,-1.6521
Apartment Les Rivages de Coudoulière.3,,,43.0969009,5.8137999
Residence Port Minervois 123S,,,43.271801,2.7151999
OYO 12362 Hotel Emerald Park,Indore,"155, Vishnu Puri Colony",22.691,75.8631973
Apartment Résidence Les Goélands,,,48.6346016,-2.0532
Gold Star Beach Resort,Havelock Island,Govind Nagar,12.0359001,92.9905014
OYO 7620 Hotel Yukim Residency,Gangtok,"Near Fire Brigade Station, Gangtok",27.3323097,88.6140976
OYO 12163 Hotel Aaryan,Bathinda,"MCVZ1/10080, Bank Bazar Road",30.2105999,74.9355011
Apartment Les Marquises,,,43.1599998,3.1654999
Apartment Bastide Saint Jean,,,43.1901016,5.6314998
Coco Poul Ar Hoti 218S,,,48.6879997,-3.6594
Chalet Saint Antoine,,,45.8927002,6.8081002
Picturesque 2BHK Heritage Town,Pondicherry,"#119, Vandanam Apt., 2nd Floor, Perumal Koil street, PONDICHERRY",11.9407997,79.828598
OYO 10259 Hotel Safa INN,Trivandrum,"T C NO- 1/418-34, Ulloor Road, Chalakkuzhi",8.5253,76.9285965
Apartment Domaine du Golf d'Albret.6,,,44.1735992,0.2651
EKO STAY- SAPPHIRE VILLA WITH PRIVATE POOL,Panchgani,Panchgani - Mahabaleswar Road,17.9309998,73.7618027
Hodges Bay Resort & Spa,Saint Johnʼs,Hodges Bay,17.1697998,-61.8027992
"Lavish family retreat in an apartment, 900 m from Chapora beach/61328",Vagator,"Humming Wood, SF1 A block Chapora Beach Road",15.6006002,73.7436981
Radhika Deluxe,Kolhapur,1401 c ward laxmipuri near Mahalaxmi temple kolhapur Laxmipuri,16.6949997,74.2229004
Mid-Way Tourist Resort,Mandi,"Near Satluj River Bridge, Slaper Sunder Nagar 175017",31.5331993,76.8923035
OYO 13007 Hotel Lucky palace,Sohāna,"41, phase-1, Motor Market near sabji mandi mod",30.7303009,76.7124023
Rental Apartment Belle Plage 2,Claira,"Belle Plage, Claira",42.8662186,3.0456135
Modern 2 BHK Sidhpur,Dharamshala,"22, 87/1, Lamba colony, Behind norbulinga, Sidpur",32.2000999,76.3584976
OYO 13353 Home Friends Colony,Simla,"Near Sankat Mochan Temple, Kachighati, Shimla",31.0895538,77.1452637
Sampradaya,Bangalore,No 1 BEML Layout 7th Stage Mylasandra mysore road Near Global Village,12.9188004,77.5014038
OYO 13006 Arumbakkam Inn,Chennai,"16/2 Jawaharlal Nehru Rd, Chennai",13.059495,80.2117233
Treebo Trend CMKs Gulmohar Suites,Кочин,"Lakshore Hospital Rd Nettoor, Panangad Ernakulam, Lakshore Hospital JN,",9.9189997,76.3187027
Jade Mountain,Суфриер,100 Anse Chastanet Rd PO Box 4000,13.8582001,-61.0354996
Apartment Les Tommeuses.34,,,45.4529991,6.9018002
OYO 12251 Half Moon,Chennai,"280, vivekanada street,Ecr, kottivakam opp to KFC",12.9686003,80.2570038
OYO 13860 Panchsheel Plaza,Ajmer,"B-Block, Near CSM Mall, Panchsheel, Ajmer",26.5095005,74.6314011
OYO 12391 Home 1BHK Hill View Lower Panthagahtti,Симла,"rana palace, near sankat mochan tara devi",31.0881004,77.1417999
Ferienhaus mit Pool Taradeau 120S,,,43.4511986,6.4212999
OYO 13116 Home Beautiful 2BHK Near Palolem Beach,Canacona,"Shri Ram Building Chaudi Near Municipality Old Bus Stand, Goa",15.0072098,74.0475922
Treebo Trend Winter Town,Mahabaleshwar,"Near venna lake, Panchgani Mahabaleshwar Road",17.9375,73.6772995
Apartment Les Floralies II.9,,,43.5284004,4.1490002
OYO 12666 Home Comfortable Studio Chogum Road,Sangolda,"Lulu's Guest Corner 760/45 Chorm Rd, Goa",15.5399265,73.8177643
Apartment Village Lugrin.7,,,46.389801,6.6515002
Rental Apartment Belle Plage 9,Claira,"Belle Plage, Claira",42.8660545,3.0446014
Daffodil Cottages,Manāli,"Kanyal Road, Rangri Tehsil Manal, Manali",32.2212257,77.1892014
OYO 12859 Valley View Cottage,Manāli,"Kanyal Rd, Gadherni Village, Manali",32.2133408,77.1854858
Apartment Domaine de Claire Rive.4,,,44.4953003,1.1804
Artistic 1BHK Siolim,Siolim,"3, Next to kirti Vidyalaya high school, Seolim inn, Portawaddo, Seolim, Bardez, North Goa",15.6280003,73.7615967
Apartment Parc de Maldagora.4,,,43.3767014,-1.6598001
OYO 9885 Home Exotic 1 BHK Candolim,Candolim,"Candolim, Sun and Sands",15.5108995,73.7739029
OYO 13686 Rudraksh hotel,Rāmnagar,"Rudraksh hotel, idgha road, ,behind roadways stand",29.3959999,79.1259995
OYO 14056 Golden Arch,Мумбай,"3, Opp Vakola Police Station, Marble Lane, Santa Cruz East.",19.0802002,72.8485031
Sandals Grande Antigua All Inclusive Resort and Spa - Couples Only,Saint Johnʼs,Dickenson Bay Street,17.1580009,-61.8470993
Cosy stay in Dharamshala,Pālampur,"Palampur Rd, Berachah, Palampur, Himachal Pradesh 176061",32.1102982,76.5360031
Himalyan Breeze,Муссури,"Mall View House, Mall Road, Library, Gandhi Chowk Mall View House, Library Gandhi Chowk",30.4589996,78.0633011
OYO 10390 Wayanad Dream Nest,Muthanga,"4, Pulithooki, Near Muthanga, Kalloor, Noolppuzha, Wayanad, Sultan Bathery, Kerala 673592, India",11.6566,76.3402023
Amirtha Residency,Sriperumbudur,"no.30, car street sriperumbudur",12.9673004,79.9506989
Rental Apartment Belle Plage 1,Port Leucate,"Belle Plage, Claira",42.8661766,3.0455985
The Sai Leela Suites,Bangalore,1st Cross Road H M T Layout layout chowdaiah block near BMTC Bus Stop R T Nagar,13.0310001,77.5947037
Champs Elysees Studios,Paris,"Avenue Foch 58, Paris",48.8730011,2.28264
OYO 11681 Wayanad Blooms,Batheri,"Wayanad Blooms, Kenichira, Near Infant Jesus School",11.7316999,76.1475983
Sai Residency,Bhiwandi,"Mumbai Nasik Highway, Dohale Village, Near Vaishnav Devi Mandir, Padgha",19.2865009,73.0830994
Rental Apartment Belle Plage 7,Claira,"Belle Plage, Claira",42.8512688,3.0428486
Hathi Mauja,Jaipur,"625, Vivek Vihar Extension, Naradpura Road, Near Hathi Gawn, Kunda",26.9958,75.8825989
Villa Wave Prive with Pool,Анжуна,"Anjuna Mapusa Road House no.1468 (4), Plot no.5, Kumar Wado, Behind St. Micheal Church, Anjuna",15.5883999,73.7630997
Fateh Safari Suites,Kumbhalgarh,"Fateh Safari Suites, delas near aaret ki Bhagal",25.1229,73.5557022
"The Hubstreet Hotel,Bhopal",Bhopal,R-36 Zone 1 M.P Nagar,23.1662006,77.4138031
"OYO 13873 Home 1 BHK Lovish Homestay, Near Hadimba Temple",Манали,"Lovish Homestay, near dps school, village dhungri, po manali",32.2449989,77.1772995
Apartment Les Terrasses de Lozari.2,,,42.6381989,9.0206003
Sea View Villa - Dona Paula,,,15.4561996,73.8235016
La Gravette 130S,,,45.3889008,-1.0626
OYO 12223 Home Exotic Hill View 2BHK Kasauli,Kasauli,"Vill. Chabbal, P.O. Garkhal",30.9218998,76.9766006
holistic camp,Дармсала,naddi village dharamshala mcleodganj kangra himachal pradesh,32.2504997,76.3050995
Apartment Palazzu,,,41.585701,9.2800999
Tathagat Vatika,Mau,38-Bhutauti near bharat petrol pump and murli dhaba,25.9766006,83.5743027
Rental Apartment Charmant Type 2 À Proximité Des Plages,Château-dʼOlonne,"4 Avenue Rene Cotty, Chateau-d'Olonne",46.4921455,-1.7590212
Дом в Громово,Gromovo,"village Gromovo, SNT Polet 59",60.6730003,30.0806999
Shivalay & Restaurant,Mukteswar,Main Road Sargakhet,29.4531994,79.6536026
OYO 13770 Shuvam Guest House,Kolkata,"DF-70, Street Number 330, Newtown, Action area 1",22.5753002,88.4756012
Holiday Home Ker Lucienne,,,48.6540985,-2.0079999
3BHK Abu Homes,Mount Ābu,"Abu Home, Near Power House, Global Hospital",24.5965004,72.7156982
OYO 12057 Hidden Nest 1,Bangalore,"16, Leonard Lane, Richmond Town",12.9652004,77.6054001
Aman Guest House,New Delhi,4/5 D B Gupta Road Paharganj,28.6457005,77.2117996
Apartment Zubiburu,,,43.3833008,-1.6653
OYO 13752 Vintage Villa Near Shikhar Fall,Dehradun,"98 old mussoorie road, Mohan Chatti",30.4041901,78.0919037
Apartment Domaine du Golf d'Albret.11,,,44.171299,0.2619
Dirag Ar Mor 106S,,,48.4766998,-4.7585001
Apartment Le Domaine du Chateau.5,,,46.1851006,-1.1738
Cuckoo Nest,Udagamandalam,"256,Woodcook Road, Next to RN Holidays Near Ooty Boat House,Kathadimattam",11.4092999,76.6905975
Holiday Home Itchola,,,43.3927994,-1.6594
Holiday Home La maison du Chêne,,,43.8930016,5.3471999
Holiday Home Etchetikia Larraldia,,,43.3697014,-1.6739
Rental Apartment Belle Plage 3,Port Leucate,"Belle Plage, Claira",42.866066,3.0446067
OYO 12220 Krishnavi INN,Лакнау,"Krishnavi INN, Vrindawan yojna, Near kalindi park, Raibarely road",26.7558002,80.9514008
Apartment Le Marbello,,,43.1391983,6.3734999
Rigal Blu,Ludhiana,"Sector 38, Chandigarh road Jamalpur Ludhiana .",30.9025002,75.9030991
Apartment Les Terrasses de Lozari.3,,,42.6381989,9.0206003
Maison Valmoisine 100S,,,43.5141983,6.2378001
OYO 13932 Hotel Pushpanjali,Kānpur,"99 w-2, Barra Bypass, Juhi Kalan, Kanpur",26.4281006,80.3074036
The Alpine Resort,Lansdowne,"Deriakhal Lansdowne, Uttarakhand",29.8367996,78.6968994
Treebo Trend CMKs Gulmohar Suites,Cochin,"Lakshore Hospital Rd Nettoor, Panangad Ernakulam, Lakshore Hospital JN,",9.9189997,76.3187027
Apartment Le Domaine du Chateau.2,,,46.1851006,-1.1738
Homestay near Tara Devi Mandir in Shogi,Simla,"Shoghi - Anandpur Road, Shoghi,Shimla, Mohri, Himachal Pradesh 173219",31.0489006,77.1384964
Apartment Les Rivages de Coudoulière.1,,,43.0969009,5.8137999
him view,Manāli,"club house road ,near club house manali club house road ,near club house manali",32.2537994,77.180603
OYO 12683 The Amsons,Лудхиана,"381, RK Road, Transport Nagar, Industrial Area - A",30.8952999,75.8740005
La Vigie 104S,,,47.7677002,-3.5329001
Treebo Trip La Portuguesa,Candolim,Opposite Newton super market,15.5179996,73.7678986
OYO 13801 Home Cozy 3 RK Hill View Naddi Hills Home Stay,McLeod Ganj,"22, Sun Set Road Village Naddi",32.2518005,76.3039017
Goroomgo Shree Mandir Palace Puri,Puri,"Lokanath Road, Puri",19.8037529,85.8157425
Residence Port Minervois 124S,,,43.271801,2.7151999
Apartment Les Grandes Platières I et II.24,,,45.4570999,6.9000001
Apartment Domaine du Golf d'Albret.10,,,44.171299,0.2619
OYO 13585 Delight,Ābu Road,"Choudhary Complex, Mount Abu Road Abu Rd, Гора Абу",24.49617,72.7893829
Campo Vecchio 308S,,,42.0024986,9.4359999
Apartment L'Ile heureuse,,,43.1777992,5.6988001
Apartment Domaine du Golf d'Albret.9,,,44.171299,0.2619
