RestaurantDescription,Telephone,AddressRegion,AddressRegion,AddressRegion,PostalCode,Coordinate,DayOfWeek,Time,Time,Coordinate
O'Neill's Leicester Leicester,0116 262 8709,Leicestershire,Leicester,16-20 Loseby Lane,LE1 5DR,-1.136205,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",52.635026
O'Neill's Liverpool Liverpool,0151 709 7360,Merseyside,Liverpool,68 Hanover Street,L1 4AG,-2.981969,"['Sunday', 'Saturday', 'Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Monday']","['09:00', '09:00', '10:00', '10:00', '10:00', '10:00', '10:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",53.404252
O'Neill's Blackheath Blackheath,020 8463 9230,Greater London,London,"52 Tranquil Vale, Blackheath",SE3 0BH,0.007856,"['Wednesday', 'Tuesday', 'Thursday', 'Sunday', 'Friday', 'Saturday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '22:30', '23:00', '23:00', '23:00']",51.466701
O'Neill's Maidenhead Maidenhead,01628 624409,Berkshire,Maidenhead,95-97 King Street,SL6 1DP,-0.721539,"['Thursday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday', 'Friday', 'Saturday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '23:00', '23:00']",51.519772
O'Neill's Aberdeen Aberdeen,01224 622693,,Aberdeen,9-10 Back Wynd,AB10 1JN,-2.100114,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",57.14685
O'Neill's Solihull Solihull,0121 711 3761,West Midlands,Solihull,Poplar Road,B91 3AB,-1.778838,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '01:00', '01:00', '23:00', '23:00']",52.415059
O'Neill's Broad Street Birmingham,0121 616 1623,West Midlands,Birmingham,Broad Street,B1 2HG,-1.912438,"['Wednesday', 'Tuesday', 'Thursday', 'Saturday', 'Friday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '09:00', '09:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",52.476412
O'Neill's Leytonstone Leytonstone,020 8536 4039,Greater London,London,"762 High Road, Leytonstone",E11 3AW,0.015187,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",51.570569
O'Neill's Woking Woking,01483 728304,Surrey,Woking,Crown Square,GU21 6HR,-0.556308,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.320093
O'Neill's Kings Cross Kings Cross,020 7380 0464,Greater London,London,"73-77 Euston Road, Marylebone",NW1 2QS,-0.126229,"['Wednesday', 'Thursday', 'Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday']","['09:00', '09:00', '09:00', '09:00', '09:00', '09:00', '09:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",51.528903
O'Neill's Sutton Sutton,020 8661 2972,Greater London,Sutton,"37 High Street, .",SM1 1DJ,-0.192199,"['Wednesday', 'Thursday', 'Sunday', 'Friday', 'Monday', 'Saturday', 'Tuesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '22:30', '00:00', '22:30', '00:00', '22:30']",51.361028
O'Neill's Peterborough Peterborough,01733 553142,Cambridgeshire,Peterborough,Broadway,PE1 1SQ,-0.241346,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",52.575203
O'Neill's Bromley Bromley,020 8460 8975,Greater London,Bromley,27-29 East Street,BR1 1QE,0.015881,"['Wednesday', 'Tuesday', 'Sunday', 'Thursday', 'Friday', 'Saturday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '22:00', '23:00', '01:00', '01:00', '23:00']",51.40703
O'Neill's Merchant Square Glasgow,0141 552 0822,,Glasgow,71-73 Albion Street,G1 1NY,-4.244678,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",55.858186
O'Neills Leeds Leeds,0113 245 8063,West Yorkshire,Leeds,40 Boar Lane,LS1 5DA,-1.546756,"['Wednesday', 'Tuesday', 'Saturday', 'Sunday', 'Thursday', 'Friday', 'Monday']","['12:00', '12:00', '10:00', '10:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '00:00', '23:00', '23:00', '00:00', '23:00']",53.795949
O'Neill's Grand Central Glasgow,0141 229 6011,,Glasgow,40-48 Union Street,G1 3QX,-4.256661,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '11:00', '11:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",55.858991
O'Neill's Winchester Winchester,01962 844001,Hampshire,Winchester,90-91 High Street,SO23 9AP,-1.316953,"['Wednesday', 'Tuesday', 'Saturday', 'Sunday', 'Thursday', 'Friday', 'Monday']","['12:00', '12:00', '10:00', '10:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '01:00', '23:00', '23:00', '01:00', '23:00']",51.063149
O'Neill's High Wycombe High Wycombe,01494 532499,Buckinghamshire,High Wycombe,Pauls Row,HP11 2HQ,-0.751921,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.628902
O'Neills Wardour St Soho,020 7494 9284,Greater London,London,"33-37 Wardour Street, Soho",W1D 6PU,-0.132253,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.511346
