Telephone,Telephone,AddressRegion,Country,AddressRegion,PostalCode,Coordinate,Coordinate,Time,DayOfWeek,Time
13183878484,monroe@fortmirofoods.com,Monroe,LA,2320 Tower Drive,71201,-92.101128,32.525423,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Tuesday', 'Monday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
12817581300,newks.cypress@temcomp.com,Cypress,TX,25712 Northwest Freeway,77429,-95.6900981,29.9699953,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Tuesday', 'Saturday', 'Monday', 'Wednesday', 'Friday', 'Thursday']","['21:00', '21:00', '22:00', '21:00', '21:00', '22:00', '21:00']"
19018611221,newks.collierville@dancoeatery.com,Collierville,TN,3680 South Houston Levee Rd,38017,-89.7319287,35.048247,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
13525595111,newks.gainesville@gmail.com,Gainesville,FL,4041 Plaza Blvd,32608,-82.3849181146,29.6262363899,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Sunday', 'Saturday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
12252467769,corporate@newks.com,Baton Rouge,LA,7211 Corporate Boulevard,70809,-91.1166028,30.4299314,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
19037537000,newkslongview@aol.com,Longview,TX,110 E. Loop 281,75605,-94.7439840184,32.5413815526,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Sunday', 'Saturday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
15013214221,newks1042@newks.com,Hot Springs,AR,1412 Higdon Ferry Rd,71913,-93.0709052,34.468386,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
16622382727,galleria@newks.com,Oxford,MS,2305 West Jackson Ave,38655,-89.5632823,34.3638319,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
17277266395,newks.clearwater@realkitchenflavors.com,Clearwater,FL,2613 Gulf to Bay Blvd,33759,-82.7287208,27.9600016,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Monday', 'Tuesday', 'Sunday', 'Friday', 'Saturday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
18656925301,newksCB@volunteerdiningllc.com,Knoxville,TN,9261 Kingston Pike,37922,-84.0900051,35.912241,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
12564309662,huntsvillenewks@bellsouth.net,Huntsville,AL,4925 University Dr.,35816,-86.6564457,34.7375523,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
12057582455,tuscaloosanewks@bellsouth.net,Tuscaloosa,AL,205 University Blvd. East,35401,-87.533615,33.206873,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
16016346395,newksvicksburg@outlook.com,Vicksburg,MS,3403 Pemberton Square Blvd,39180,-90.879437,32.313757,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Monday', 'Sunday', 'Tuesday', 'Friday', 'Saturday', 'Thursday']","['20:00', '20:00', '15:00', '20:00', '20:00', '20:00', '20:00']"
18329170500,newks.bunkerhill@temcomp.com,Houston,TX,9448 Katy Freeway,77055,-95.5268469,29.7858623,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Friday', 'Sunday', 'Saturday', 'Monday', 'Wednesday', 'Tuesday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
16016020189,hattiesburg@gulfdiners.com,Hattiesburg,MS,4700 Hardy Street,39402,-89.3609342,31.3226507,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Friday', 'Sunday', 'Saturday', 'Monday', 'Wednesday', 'Tuesday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
13187972520,shreveport@quailridgeinc.com,Shreveport,LA,7423 Youree Drive,71105,-93.7145145,32.4382107,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Tuesday', 'Monday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
19792683300,newkscollegestation@abdining.com,College Station,TX,1613 University Drive,77840,-96.3145094,30.6395485,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
13346991667,dothan@jmhdining.com,Dothan,AL,3468 Ross Clark Circle,36303,-85.4273519,31.2456614,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
14048532555,newksmidtown@gmail.com,Atlanta,GA,933 Peachtree St.,30309,-84.3840052,33.7798632,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16827476464,Presidionewks@dfwnks.com,Fort Worth,TX,2217 North Tarrant Parkway,76177,-97.3259617,32.8990522,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
13034221490,arvada@frontrangefastcasual.com,Arvada,CO,7450 W. 52nd Avenue,80002,-105.0801552,39.7892017,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
16625135303,oxford@newks.com,Oxford,MS,1309 University Ave,38655,-89.5177287,34.3641306,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Sunday', 'Saturday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
16154636360,newks-bellemeade@mtn1llc.com,Nashville,TN,4550 Harding Pike,37205,-86.849728,36.124383,"[None, None, None, None, None, None, None]","['Friday', 'Thursday', 'Sunday', 'Saturday', 'Tuesday', 'Monday', 'Wednesday']","[None, None, None, None, None, None, None]"
16788540156,Newksnewnan@yahoo.com,Newnan,GA,368 Newnan Crossing Bypass,30265,-84.7636565,33.3880429,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:30', '21:00', '21:30', '21:00']"
16017094990,jackson@newks.com,Jackson,MS,4450 Interstate 55 North,39211,-90.1519,32.35236,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
16154941979,Newks-Murfreesboro@mtn1llc.com,Murfreesboro,TN,2615 Medical Center Pkwy,37129,-86.4451748356,35.8599839096,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
