HotelName,HotelName,PriceRange,AddressLocality,AddressLocality,AddressLocality,Time,Rating
Saigon Halong Hotel,Saigon Halong Hotel,Price range: $45 - $135,Halong / Bai Chay,Halong / Bai Chay,"Ha Long Road, Bai Chay Beach, Quang Ninh Province, Halong / Bai Chay, Halong, Vietnam",295,4.9389830508
Bamboo Sapa Hotel,Bamboo Sapa Hotel,Price range: $60 - $90,Sapa Surrounds,Sapa Surrounds,"018 Muong Hoa Street, Sapa Surrounds, Sapa (Lao Cai), Vietnam",188,4.4042553191
Yen Nhi Ninh Binh Hotel,Yen Nhi Ninh Binh Hotel,Price range: $30 - $45,Tam Coc - Bich Dong Caves,Tam Coc - Bich Dong Caves,"Ninh Hai, Hoa Lu District, Tam Coc - Bich Dong Caves, Ninh Binh, Vietnam",295,4.6203389831
President Cruise,President Cruise,Price range: $387 - $5581,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",120,4.3916666667
Grand Hotel Saigon,Grand Hotel Saigon,Price range: $125 - $260,District 1 - Riverside,District 1 - Riverside,"8 Dong Khoi Street, District 1, District 1 - Riverside, Ho Chi Minh City, Vietnam",64,4.7578125
Heritage Line Violet,Heritage Line Violet,Price range: $628 - $1442,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",191,4.4895287958
Chau Long Sapa II Hotel,Chau Long Sapa II Hotel,Price range: $65 - $140,Market Area,Market Area,"24 Dong Loi Street, Market Area, Sapa (Lao Cai), Vietnam",108,4.6666666667
The Imperial Hotel Vung Tau,The Imperial Hotel Vung Tau,Price range: $312 - $541,Con Dao,Con Dao,"159 Thuy Van Street, Thuy Van Beach, Vung Tau, Vietnam",153,4.8692810458
Private Bhaya Legend 1 cabin,Private Bhaya Legend 1 cabin,Price range: $ - $ 1472,,,,88,4.2386363636
Private Bhaya Legend 3 cabins,Private Bhaya Legend 3 cabins,Price range: $ - $ 2559,,,,349,4.4641833811
Ho Tram Beach Resort Spa,Ho Tram Beach Resort Spa,Price range: $130 - $670,Vung Tau,Vung Tau,"Phuoc Thuan, Xuyen Moc District, Ho Tram Beach, Vung Tau, Vietnam",239,4.2845188285
Novotel Ha Long Bay Hotel,Novotel Ha Long Bay Hotel,Price range: $90 - $140,Halong / Bai Chay,Halong / Bai Chay,"Ha Long Road, Bai Chay Ward, Halong / Bai Chay, Halong, Vietnam",351,4.9601139601
Sea Links Beach Hotel,Sea Links Beach Hotel,Price range: $147 - $331,Phan Thiet,Phan Thiet,"Km 9, Nguyen Thong St., Phu Hai Ward, Central Mui Ne Beach, Phan Thiet, Vietnam",368,4.25
Halong Plaza Hotel,Halong Plaza Hotel,Price range: $70 - $200,Halong / Bai Chay,Halong / Bai Chay,"8 Halong Road, Baichay , Halong / Bai Chay, Halong, Vietnam",360,4.0888888889
Intercontinental West Lake Hotel,Intercontinental West Lake Hotel,Price range: $150 - $280,Tay Ho District - West Lake / Nghi Tam,Tay Ho District - West Lake / Nghi Tam,"1A Nghi Tam, Tay Ho, Tay Ho District - West Lake / Nghi Tam, Hanoi, Vietnam",237,4.3206751055
Hera Cruises,Hera Cruises,Price range: $620 - $1371,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",236,4.2584745763
Heritage Line Ginger,Heritage Line Ginger,Price range: $550 - $866,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",87,4.4367816092
Silk Path Hotel,Silk Path Hotel,Price range: $90 - $170,Hoan Kiem District - Ha Noi Cathedral,Hoan Kiem District - Ha Noi Cathedral,"195-199 Hang Bong , Hoan Kiem District - Ha Noi Cathedral, Hanoi, Vietnam",125,4.088
