DateTime,EventName,EventDescription,Organization,DateTime
2019-02-12T18:30:00-07:00,A New Beginning Adoption Seminars and Webinars Spring 2019,"<p>A New Beginning Adoption Agency offers FREE Adoption Information Seminars once a month and we discuss U.S. Infant Adoptions. the Foster-Adoption Program, International and Private Adoptions. It’s a great opportunity to meet your Adoption Specialist, learn about the Adoption Process, Legal expectations and training. Adoption Panel Discussions are also FREE but also give you a chance to talk to adoptive families and adoptees who have been through the Adoption Journey. Click to learn more!</p>\",A New Beginning Adoption Agency,2019-03-14T14:00:00-06:00
2019-12-24T17:00:00-07:00,Christmas Eve Services – Calvary Chapel Caldwell,"<p>Community Christmas Eve Services Calvary Chapel Caldwell December 24th at 5:00 pm & 7:00 pm Calvary Chapel Caldwell invites you to our Community Christmas Eve Services at 5 pm and 7 pm. Featuring special music, a laser light show, a message on the “Reason for the Season” and glow sticks for the kids. Location: Calvary Chapel Caldwell Address: 911 Everett Street, Caldwell, ID 83605 Time: December 24th at 5 pm & 7 pm Contact Number: 208-453-9653</p>\",Calvary Chapel Caldwell,2019-12-24T20:30:00-07:00
2019-04-17T19:00:00-06:00,NO GREATER LOVE,"<p>You are invited to the 40th Annual Presentation of ""No Greater Love"", an Easter musical depicting the passion of Christ. Performance dates are April 17-19 at 7 pm, and April 20 at 3 pm. The April 20th matinee has signing available for the deaf and hard of hearing. For tickets, call Nampa First Church of the Nazarene at 208-466-3549 or go to itickets.com.</p>\",First Church of the Nazarene,2019-04-19T19:00:00-06:00
2020-09-19T14:00:00-06:00,Stories Unveiled Conference-FREE LIVE VIRTUAL EVENT,"<p>Through forgiveness, trust, healing, redemption and surrender. The Stories Unveiled Conference was designed to break down the walls around our stories and create a place for women to share their lives and how God has redeemed them.</p>\",,2020-09-30T16:30:00-06:00
2019-11-01T19:00:00-06:00,For King and Country in Concert,"<p>TICKET INFOOn sale now via ticketmaster.com, in-person at the Box Office or over the phone (208) 426-1766. This fall for KING & COUNTRY would like to personally invite you to a theatrical and inspirational night of music and stories like you’ve never experienced. The band will be coming to arenas across the United States & Canada,taking the stage at the top of the show and will play more music than ever before – including every song off their most recent album, burn the ships and all your favorites from previous albums. And in honor of burn the ships – the stage and lighting design will<!--hootubix-read-more-quicktag--></p>\",Taco Bell Arena,2019-11-01T21:00:00-06:00
2020-09-21T18:30:00-06:00,19th Annual Melody of Love,"<p>Join us on Monday, September 21, 2020, at 6:30 p.m. for a concert with Liberty Quartet and sharing by Executive Director Lois Tupyi. Bring your lawn chairs as we’ll be gathering on the back lawn at Grace Bible Church in Nampa for this outdoor concert.</p>\",Grace Bible Church Nampa,2020-09-21T19:30:00-06:00
2019-03-08T18:00:00-07:00,Kickstart,<p>You will be trained and activated (kick-started) to step out in faith!</p>\,Buhl Nazarene Church,2019-03-09T21:00:00-07:00
2018-06-08T19:15:00-06:00,Summer Concert Series with Karcher Church of the Nazarene,"<p>Summer Concert Series returns to the Karcher Park this June! Our first concert is Friday, June 8 featuring The Slow. Our third concert is Friday, August 10, featuring ""Beyond the Burren."" Invite friends to join you for an evening of fun, food, sunshine and great music and a testimony. Concerts are on June 8, July 13 and August 9.</p>\",Karcher Church of the Nazarene,2018-06-08T21:30:00-06:00
2020-09-17T09:00:00-06:00,Legacy Grand-parenting Summit Pre-Event,"<p>This is a free, 3 hour online pre-event will be held this Thursday September 17, at Ustick Baptist church.  </p>\",Ustick Baptist Church,2020-09-17T12:00:00-06:00
2020-09-26T09:00:00-06:00,National and Global Day of Prayer Walk,"<p>TREASURE VALLEY MARCH TO THE CAPITAL 9AM - 12PM We are calling on all churches in the Treasure Valley to unite and meet for a time of prayer and worship. We are excited to take part in this Global Day of Prayer and march from Julia Davis Park to the Idaho State Capitol Building. The Bible says “If my people, which are called by my name, shall humble themselves, and pray, and seek my face, and turn from their wicked ways; then will I hear from heaven, and will forgive their sin, and will heal their land.” 2 Chronicles 7:14 We can no longer sit<!--hootubix-read-more-quicktag--></p>\",Julia Davis Park,2020-09-26T12:00:00-06:00
2018-03-09T00:00:00-07:00,Weekend to Remember 2018,<p>Marriage is a lifelong adventure of growing together through every age and stage of life. The happiest couples are those who commit to learning skills that help them weather difficult seasons and deal confidently with relationship challenges. Find out what over 3 million couples worldwide have experienced at FamilyLife’s Weekend to Remember.</p>\,The Riverside Hotel,2018-03-11T23:59:59-06:00
2020-09-26T15:00:00-06:00,Freedom Stand 2020,"<p>  Join fellow Conservatives for Freedom Stand 2020, sponsored by Eagle Conservatives & ConservativesOf: PAC to be held in Eagle Idaho. Come and join us as our speakers give you the truth and the knowledge that you need to insure freedom in our country. Featuring Turning Point USA\\'s Charlie Kirk and Rob McCoy! Turning Point USA\\'s Charlie Kirk Turning Point USA\\'s Rob McCoy: Senior Pastor of Godspeak Calvary Chapel, Newbury Park, CA. Calvary Chapel is at the forefront of the religious liberty battle in CA.   Date: September 26, 2020 Time: Doors open 2:00 PM Event starts at 3:00 PM Ticket and/or Reservation required. This is<!--hootubix-read-more-quicktag--></p>\","3633 W Floating Feather Rd, Eagle, ID 83616",2020-09-26T18:00:00-06:00
2019-10-12T09:00:00-06:00,Let’s Walk for Life,"<p>On Oct 12 LifeLine Pregnancy Center will be having our first annual Walk for Life to support and bring awareness to the Nesting Place Maternity Home. This is our very FIRST Nesting Place Event. Participating in this event gives you the opportunity to be part of the very beginning of this exciting ministry! The walk will be 2 miles long and will take place on Saturday, October 12. Check-in is at 9 AM and the walk begins at 9:45 AM. The walk will start on the Nampa Christian Elementary Campus and go around Lions Park. We’re nearing $180,000 raised for the Maternity Home. We need<!--hootubix-read-more-quicktag--></p>\",,2019-10-12T11:30:00-06:00
2020-02-28T18:45:00-07:00,"the CALLING – benefit event for Love, INC Boise","<p>Every year the Love INC Boise community comes together to celebrate by looking back, and dream together by looking forward. We’d love to have you! Full details for the event are below: Keynote speaker: Dee Sarton Musical Guest: Honi Deaton Dinner catered by: Louie\\'s Italian Restaurant Location: Capital Church 2760 E. Fairview Ave. Meridian, ID 83642 Time: Doors open at 6:45 pm, program starts at 7 pm. Dinner and dessert provided. Click here to register.</p>\",Capital Church,2020-02-28T21:00:00-07:00
2019-03-08T17:30:00-07:00,Greenleaf Friends Academy Quaker Village Auction,"<p>You are invited to join us for GFA’s biggest fundraiser of the year...the Quaker Village Auction. It’s a two day event that features fun for your entire family! Allis Chalmer Tractor (Rebuilt by GFA’s Industrial Arts Class) Antiques & Collectibles ⬩ Gift Certificates ⬩ Food ⬩ Furniture Home Decor ⬩ Hunting/Fishing/Camping ⬩ Maple Bars ⬩ Raffle Tickets Sporting Goods ⬩ Quaker Quilts ⬩ Vacation Getaways and more! SCHEDULE OF EVENTS: Friday, March 8, 2019 5:30pm Auction Preview, Food Booths, Specialty Booths, Silent Cake Auction 6:30pm GFA Student Entertainment 7:00pm LIVE AUCTION Saturday, March 9, 2019 7:30-9:30am Pancake Breakfast, Auction Preview 9:00am Specialty Booths, Silent Auction<!--hootubix-read-more-quicktag--></p>\",Greenleaf Friends Academy,2019-03-09T17:30:00-07:00
2020-07-26T18:00:00-06:00,Liberty Quartet Concert,"<p>Come join us for a great time of Southern Gospel music and worship with Liberty Quartet\\'s open-air concert Sunday, July 26, 2020 at Canyon Hill Church Park, Caldwell, ID. Liberty is a Gospel group based in the West. You will certainly enjoy the enthusiasm these men exhibit while serving and singing to the Lord. There will be shade as well as space to socially distance. Bring your own lawn chair. This will be located at our church park (across the street, at the corner of North Michigan Avenue and Nixon Street, Caldwell).  </p>\",Canyon Hill Church Park,2020-07-26T20:00:00-06:00
2018-05-20T00:00:00-06:00,International Day for the Unreached 2018,"<p>Join with Christians across North America to draw attention to the 2 billion people across the globe who are yet unreached with the Gospel! This special broadcast will help you become engaged in the most important work we have today — introducing these people to the transforming love of Jesus Christ! Encourage your church family, your friends and relatives to help provide EVERY person of every tribe and every nation with the opportunity to learn about God’s love and forgiveness!</p>\",,2018-05-20T23:59:59-06:00
2019-05-02T12:00:00-06:00,National Day of Prayer – Boise,,Boise Capitol,2019-05-02T13:00:00-06:00
2018-11-12T19:00:00-07:00,Mormonism Research Ministry at Caldwell First Baptist Church,"<p>Bill McKeever and Eric Johnson, hosts of Viewpoint on Mormonism and leaders of Mormonism Research Ministry, will be speaking at Caldwell First Baptist Church.</p>\",Caldwell First Baptist Church,2018-11-12T21:00:00-07:00
2019-07-19T18:00:00-06:00,2019 Contending for the Faith Conference,"<p>Contending for the Faith Conference Youth Pastor / Christian Educator July 19-20, 2019 Biblical Mandate But sanctify the Lord God in your hearts, and always be ready to give a defense to everyone who asks you a reason for the hope that is in you, with meekness and fear. – 1 Peter 3:15 Schedule Friday Evening 6:00 Conference opening 6:20 Session 1: Justin Peters – Discernment Part 1 7:15 Break 7:30 youth presentations 7:45 Session 2: Dr. Danny Faulkner – Radiometric Dating and Astronomy Saturday morning 8:30 Prayer, Review 8:45 Session 3: Dr. Anthony Silvestro – Establishing a Biblical Worldview 9:40 Break 9:55 Session 4:<!--hootubix-read-more-quicktag--></p>\",Heritage Bible Church,2019-07-20T17:00:00-06:00
2019-05-16T07:00:00-06:00,Laugh for Path – Clean Comedy Date Night @ Calvary Boise,"<p>Thursday, May 16th at 7 PM (Showtime) - Treasure Valley Path is proud to bring you: Comedy by: DUSTIN NICKERSON Opening for Dustin will be Open World Comedy. Doors Open at 6:00 PM Calvary Chapel Boise 123 S. Auto Drive, Boise, ID 83709 COME EARLY AND GRAB A BITE TO EAT! We will have a variety of food trucks outside for you to choose from. Food Trucks open 5:30 until Showtime. Presale tickets can be purchased for $15 each at laughforpath.rsvpify.com through May 13. After that, tickets can be purchased online and at the door for $20 each. Interested in bringing a group? Call 208-384-9504<!--hootubix-read-more-quicktag--></p>\",Calvary Boise,2019-05-16T21:00:00-06:00
2018-06-25T18:00:00-06:00,Calvary Baptist Church VBS,"<p>Give your child a break from electronics and send them to Vacation Bible School where they will spend several hours of fun, games, snacks, crafts, stories and more in a safe, positive environment.</p>\",Calvary Baptist Church,2018-06-29T20:30:00-06:00
2018-07-12T19:30:00-06:00,Cirque Italia in Boise!,"<p>CIRQUE ITALIA IS THRILLED TO PRESENT THEIR NEWEST AND GREATEST CREATION – AQUATIC SPECTACULAR</p>\ <p>Aquatic Spectacular offers two hours of high-end entertainment. Beautiful aerialists dazzle and shimmer on a chandelier high above the ground, but they aren’t the only ones that will draw your eyes toward the sky. You can expect to see contortion in a bubble, a Venetian aerial duo, and even someone hula hooping while in the air. Don’t worry about getting your eyes checked, you aren’t seeing double; there are TWO lasermen. Duo jugglers, duo roller-skaters, the always breathtaking wheel of death………the list goes on and on. It is even possible for a pre-historic dinosaur to make an appearance. Let your imagination wander, because anything is possible in this new whimsical production.</p>\",Boise Towne Square,2018-07-22T21:00:00-06:00
2018-04-14T17:30:00-06:00,Birthright of Boise Benefit Gala,<p>Theme: Spring is in the air!</p>\,The Riverside Hotel,2018-04-14T23:00:00-06:00
2018-11-15T18:00:00-07:00,Adoption Open House,<p>A New Beginning Adoption Agency will celebrate National Adoption Month by hosting an adoption open-house! </p>\,A New Beginning Adoption Agency,2018-11-15T20:30:00-07:00
2020-03-19T18:30:00-06:00,Lifeline Fundraising Banquet,"<p>Lifeline Pregnancy Care Center invites you to join us at our annual fundraising banquet. Wrapped in His Majesty Thursday, March 19, 2020 6:30pm – 8:30pm MDT Nampa Civic Center 311 3rd Street South Nampa, ID Our special guest speaker will be Sue Baumgarten from Houston Texas. Sue has been involved with the pro-life movement since the early 1990’s. She was introduced to LifeHouse of Houston through her church and started volunteering in 1992. LifeHouse is a Christ-centered ministry ensuring life for the unborn children by providing opportunities for housing, help and hope for women during their pregnancies and beyond. She served as the maternity house mother,<!--hootubix-read-more-quicktag--></p>\",Nampa Civic Center,2020-03-19T20:30:00-06:00
2019-11-21T10:00:00-07:00,"Compassion Experience – Harvest Life Church, Nampa","<p>Harvest Life Church would love to invite your family to come tour the Compassion Experience. Tours start Friday November 21 at 10am and run daily until 6pm. Bring your family out to experience what it’s like for a child to live in a developing country More than 700 million people in developing countries live on less than $1.90 per day, facing challenges most Americans never will. Compassion International’s The Compassion Experience is currently traveling the United States and Canada, and will bring visitors on a journey into the lives of Compassion-sponsored children living in countries like Uganda, the Philippines, Kenya and Guatemala. A self-guided tour<!--hootubix-read-more-quicktag--></p>\",Harvest Life Church,2019-11-25T18:00:00-07:00
2020-03-13T18:00:00-06:00,CANCELLED – The Roadshow 2020,"<p>It\\'s back again but with all reserved seating. Featuring Bethel Music, Matt Maher, Martin Smith of Delirious?, Unspoken, Apollo LTD, Elle Limebear, and Peabod. Reserved tickets and VIP Add Ons available at www.theroadshowtour.com  </p>\",Ford Idaho Center,2020-03-13T22:00:00-06:00
2018-08-18T10:00:00-06:00,Back-To-School Extravaganza,<p>Partner with us to meet the practical school needs of homeless/underprivileged students in the West Ada School District.</p>\,Boys & Girls Club,2018-08-18T14:00:00-06:00
2019-07-12T13:00:00-06:00,Praise Dance Conference,<p>The 9th Annual For His Glory Praise Dance Conference is happening in July! Hosted by God and I Dance Praise Dance Ministry.</p>\,Nazareth Retreat Center,2019-07-13T16:00:00-06:00
2018-09-22T10:00:00-06:00,Boise Valley POW/MIA Corporation,"<p>9th Annual Chrome at the Home presented by Boise Valley POW/MIA Corporation. Free BBQ, have a hamburger or hot dog with a veteran.</p>\",Idaho State Veterans Home,2018-09-22T15:00:00-06:00
2018-09-26T00:00:00-06:00,Bring Your Bible to School Day,"<p>Now that school is back in full-swing, it\\'s hard to believe Bring Your Bible to School Day® is almost here — it\\'s next week, October 4! Are you ready?</p>\",,2018-09-26T23:59:59-06:00
2018-04-27T11:30:00-06:00,Nampa Family Justice Center- Mandated Child Abuse Reporting Laws for “Duly Ordained Minister of Religion”,"<p>This 2-hour presentation will give an overview of Idaho law regarding the reporting of abuse, abandonment, and neglect. It will pay special attention to the law that covers mandated reporting for Duly Ordained Ministers of Religion along with exemptions. It will cover the most common signs and symptoms of child abuse, to help identify if children within your church may be at risk and how to respond if you believe a child is being abused. </p>\",Nampa Family Justice Center,2018-04-27T13:30:00-06:00
2020-10-10T10:00:00-06:00,Walk for Life,"<p>  We’re excited to host the 2nd Annual Walk for Life in support of the Nesting Place Maternity Home. There are two ways to participate this year! In-Person Walk Join us for a 2-mile family friendly walk! We will begin and end at the Nampa Christian track and will walk around Lions Park. Put your team together, dress up in a theme and join us as we celebrate and support life together. Virtual Walk Choose your own 2 mile walk route! Celebrate and support life without attending the in person event. Put your team together, choose how and when you want to complete the 2 miles and send us<!--hootubix-read-more-quicktag--></p>\",Nampa Christian Schools Elementary,2020-10-10T12:00:00-06:00
2018-09-30T08:00:00-06:00,Mentor Training,"<p>Free training for anyone interested in learning about youth mentoring, whether with Wilderness Journeys or any other Christian organization. </p>\",Safe Place Ministries,2018-09-30T17:00:00-06:00
2018-03-01T08:00:00-07:00,March to End Hunger 2018,<p>This month is March to End Hunger. Participate in our Give Food/Get Books food drive with Boise Rescue!</p>\,Inspirational Family Radio,2018-03-31T17:00:00-06:00
2020-08-28T18:30:00-06:00,United Night of Worship,"<p>Come and join us as we gather with Treasure Valley churches outside for an outside night of worship! Jeff and Honi Deaton are being joined by a number of worship leading friends from various churches to make this evening one you won\\'t want to miss. Various speakers will give short presentations to encourage our hearts with grace, peace, hope, and the Gospel. Bring your own chairs, come early to enjoy dinner at a local restaurant or one of the food trucks, then engage in a wonderful evening of praise and worship.</p>\",Indian Creek Plaza,2020-08-28T20:30:00-06:00
2020-09-05T00:00:00-06:00,55th Annual Meadows Valley Days 2020,"<p>Meadows Valley Days in New Meadows Idaho An annual event to celebrate the heritage of Meadows Valley. There will be a Car show, Parade, Food Vendors in the park, Amateur Logging Competition, Arts & Crafts Fair and so much more! Visit their website at https://meadowsvalleydays.wordpress.com/        </p>\",,2020-09-06T23:59:59-06:00
2018-07-08T18:15:00-06:00,Mega Sports Camp VBS,<p>Mark you calendars for our FREE annual VBS MEGA Sports Camp!</p>\,Cloverdale Church of God,2018-07-12T20:30:00-06:00
2018-09-27T00:00:00-06:00,Awaken the Dawn in Idaho: Tent America 2018,"<p>On the heels Awaken the Dawn 2017, our next assignment is Tent America 2018. On September 27-29, again, coinciding with the Feast of Tabernacles, we will be hosting ‘tent city’ gatherings of worship, music, prayer, and gospel proclamation – simultaneously at all 50 state capitals and on college and university campuses!</p>\",,2018-09-29T23:59:59-06:00
