Name,Other,Rating,Name,Other,Rating,Address,Check in hours,Check in hours,Other,Other,Other,Additional informations,Other,Other
Eco Venice - Favaro Veneto - lastminute.com,(89),84 recensioni,Eco Venice,1 / 93,93.0,"Via Sant'Andrea 6, Favaro Veneto, Italia",,,15 gen,22 gen,Recensioni di Eco Venice,"Siete pregati di comunicare in anticipo a Eco Venice l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Al check-in gli ospiti devono esibire un documento d'identità con foto e una carta di credito. Siete pregati di notare che le Richieste Speciali sono soggette a disponibilità, e potrebbero comportare l'addebito di un supplemento. In conformità con le indicazioni del governo per ridurre la diffusione del Coronavirus (COVID-19), questa struttura non accetta ospiti da specifici Paesi durante il periodo di validità di tali direttive. In risposta al Coronavirus (COVID-19) questa struttura ha adottato misure extra di sicurezza e igiene. A causa del Coronavirus (COVID-19), la struttura applica rigide misure di distanziamento fisico. A causa del Coronavirus (COVID-19) è obbligatorio indossare la mascherina in tutte le aree comuni interne. A causa del Coronavirus (COVID-19), ti chiediamo di assicurarti di prenotare questa struttura in conformità con le linee guida stabilite dal governo della destinazione, per esempio relativamente (ma non solo) al motivo del viaggio e al numero massimo consentito di persone per gruppo. Non è possibile soggiornare presso questa struttura a scopo di quarantena per Coronavirus (COVID-19). Per soggiornare in questa struttura è necessario mostrare almeno uno dei seguenti documenti: attestato di vaccinazione completa contro il Coronavirus (Covid-19), tampone molecolare recente negativo al Coronavirus, prova recente di avvenuta guarigione dal Covid-19.",sab 20 gen,lun 22 gen
Casa S a f e r - Firenze - lastminute.com,(35),30 recensioni,Casa S a f e r,1 / 39,98.0,"via dei Rustici 1A, Firenze, Italia","sab, 2 mar","lun, 4 mar",26 feb,,Recensioni di Casa S a f e r,"This property will not accommodate hen, stag or similar parties. Please inform Casa S a f e r in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",sab 2 mar,lun 4 mar
Atelier delle Grazie - Firenze - lastminute.com,(15),92 recensioni,Atelier delle Grazie,1 / 19,96.0,"Via del Castello D'Altafronte, Firenze, Italia","ven, 26 apr","dom, 28 apr",22 apr,29 apr,Recensioni di Atelier delle Grazie,"Potrai usufruire di deposito bagagli, una cassetta di sicurezza presso la reception e ascensore.",ven 26 apr,dom 28 apr
Venice Roof Garden - 15 min da Venezia - Favaro Veneto - lastminute.com,(15),4 recensioni,Venice Roof Garden - 15 min da Venezia,1 / 19,,"14 Via Gobbi, Favaro Veneto, Italia",,,,,Recensioni di Venice Roof Garden - 15 min da Venezia,"This property will not accommodate hen, stag or similar parties.",,
Lilly Rose Apartment - Alba - lastminute.com,(30),,Lilly Rose Apartment,1 / 34,92.0,"Via Ravina 4, Alba, Italia","ven, 8 mar","dom, 10 mar",,,Recensioni di Lilly Rose Apartment,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Lilly Rose Apartment l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Al check-in gli ospiti devono esibire un documento d'identità con foto e una carta di credito. Siete pregati di notare che le Richieste Speciali sono soggette a disponibilità, e potrebbero comportare l'addebito di un supplemento. Non è possibile soggiornare presso questa struttura a scopo di quarantena per Coronavirus (COVID-19). Gli arrivi dopo le 21:00 comportano un supplemento di 30 EUR. Tutte le richieste di arrivo tardivo sono soggette a conferma da parte della struttura. Struttura gestita da un host privato",,
Rivetto Suites - Alba - lastminute.com,(34),158 recensioni,Rivetto Suites,1 / 38,97.0,"Via Ospedale 9/1, 12051 Alba, Italy, via Ospedale9/1, Alba, Italia","gio, 4 apr","dom, 7 apr",01 apr,08 apr,Recensioni di Rivetto Suites,"Potrai usufruire di deposito bagagli, una cassetta di sicurezza presso la reception e ascensore. Il un parcheggio con posti limitati è disponibile in loco.",gio 4 apr,dom 7 apr
"Hotel moderno e contemporaneo in stile art-deco, vicino alla stazione Termini e a Piazza della Repubblica. - Roma - lastminute.com",,,,,91.0,Roma,"ven, 23 feb","lun, 26 feb",19 feb,26 feb,"Recensioni di Hotel moderno e contemporaneo in stile art-deco, vicino alla stazione Termini e a Piazza della Repubblica.",,ven 23 feb,lun 26 feb
Historical Duomo Apartment Alba - Alba - lastminute.com,(56),33 recensioni,Historical Duomo Apartment Alba,1 / 60,97.0,"2 Via Alessandro Manzoni Secondo Piano, Alba, Italia","ven, 8 mar","dom, 10 mar",04 mar,11 mar,Recensioni di Historical Duomo Apartment Alba,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Historical Duomo Apartment Alba l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",ven 8 mar,dom 10 mar
Albergo San Lorenzo - Alba - lastminute.com,(60),725 recensioni,Albergo San Lorenzo,1 / 64,,"Piazza Rossetti, 6, Alba, Italia","gio, 4 apr","dom, 7 apr",01 apr,08 apr,Recensioni di Albergo San Lorenzo,"La reception è aperta in orario limitato. Potrai usufruire di una navetta da e per l'aeroporto 24 ore su 24 a pagamento; inoltre, in loco troverai il un parcheggio gratuito.",gio 4 apr,dom 7 apr
House Boè - Favaro Veneto - lastminute.com,(23),4 recensioni,House Boè,1 / 27,88.0,"Via Monte Boè 39/D, Favaro Veneto, Italia",,,15 gen,22 gen,Recensioni di House Boè,,sab 20 gen,lun 22 gen
Chianti wood - Gaiole in Chianti - lastminute.com,(3),31 recensioni,Chianti wood,1 / 7,,"11 Piazza Antico Mercato, Gaiole in Chianti, Italia","ven, 16 feb","dom, 18 feb",12 feb,19 feb,Recensioni di Chianti wood,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Chianti wood l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",ven 16 feb,dom 18 feb
P'Ost - Alba - lastminute.com,(43),12 recensioni,P'Ost,1 / 47,99.0,"2 Via dei Mille, Alba, Italia","ven, 8 mar","dom, 10 mar",,,Recensioni di P'Ost,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a P'Ost l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",,
Hotel di lusso vicino al Vaticano - Roma - lastminute.com,,,,,94.0,Roma,"ven, 19 gen","dom, 21 gen",,,Recensioni di Hotel di lusso vicino al Vaticano,,,
"Relais Uffizi, Tailor made Hotel - Firenze - lastminute.com",,,"Relais Uffizi, Tailor made Hotel",1 / 49,92.0,"Chiasso Del Buco 16, Firenze, Italia","dom, 4 feb","mar, 6 feb",,,"Recensioni di Relais Uffizi, Tailor made Hotel",Avrai a disposizone utili servizi come il Wi-Fi gratuito e servizi di concierge.,,
Hotel Diana - Venezia - lastminute.com,,2189 recensioni,Hotel Diana,1 / 5,,"Calle Specchieri, 449, Venezia, Italia","mer, 24 gen","ven, 26 gen",,29 gen,Recensioni di Hotel Diana,,,ven 26 gen
Hotel Flavia - Roma - lastminute.com,(34),2514 recensioni,Hotel Flavia,1 / 38,,"Via Flavia 40, Roma, Italia","mer, 24 gen","ven, 26 gen",,29 gen,Recensioni di Hotel Flavia,,,ven 26 gen
Due dei Mille. Incantevole casa in centro ad Alba - Alba - lastminute.com,(9),8 recensioni,Due dei Mille. Incantevole casa in centro ad Alba,1 / 13,98.0,"2 Via dei Mille, Alba, Italia","ven, 8 mar","dom, 10 mar",04 mar,11 mar,Recensioni di Due dei Mille. Incantevole casa in centro ad Alba,"This property will not accommodate hen, stag or similar parties. Managed by a private host",ven 8 mar,dom 10 mar
UNAHOTELS Trastevere Roma - Roma - lastminute.com,(28),2103 recensioni,UNAHOTELS Trastevere Roma,1 / 32,,"Via Emilio Morosini, 27, Roma, Italia","ven, 1 mar","dom, 3 mar",26 feb,,Recensioni di UNAHOTELS Trastevere Roma,,ven 1 mar,dom 3 mar
"Casa 94 - Bright apartment, 15min from Venice - Favaro Veneto - lastminute.com",(36),5 recensioni,"Casa 94 - Bright apartment, 15min from Venice",1 / 40,94.0,"94 Via Altinia, Favaro Veneto, Italia",,,15 gen,22 gen,"Recensioni di Casa 94 - Bright apartment, 15min from Venice","This property will not accommodate hen, stag or similar parties. Managed by a private host",sab 20 gen,lun 22 gen
Hotel Lux - Venezia - lastminute.com,(37),3280 recensioni,Hotel Lux,1 / 41,,"Castello, 4541, Venezia, Italia","mer, 24 gen","ven, 26 gen",,29 gen,Recensioni di Hotel Lux,,,ven 26 gen
Casa Burelli - Montalcino - lastminute.com,(26),18 recensioni,Casa Burelli,1 / 30,,"Via Lapini 26, Montalcino, Italia","ven, 9 feb","dom, 11 feb",05 feb,12 feb,Recensioni di Casa Burelli,"Siete pregati di comunicare in anticipo a Casa Burelli l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. When travelling with pets, please note that an extra charge of 20€ per pet, per stay applies.",ven 9 feb,
Bernini Palace - Firenze - lastminute.com,(124),1337 recensioni,Bernini Palace,1 / 128,94.0,"Piazza San Firenze 29, Firenze, Italia","dom, 4 feb","mar, 6 feb",29 gen,05 feb,Recensioni di Bernini Palace,"Potrai usufruire di accesso gratuito a Internet via cavo, un business center e servizio auto o limousine. È possibile usufruire di una navetta da e per l'aeroporto 24 ore su 24 a pagamento.",dom 4 feb,mar 6 feb
MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia - Venezia - lastminute.com,(24),,MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia,1 / 28,,"3 Via Vercelli, Venezia, Italia",,,,,Recensioni di MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",,
Hotel Villa Cesi - Impruneta - lastminute.com,(37),,Hotel Villa Cesi,1 / 41,87.0,"via delle terre bianche 1, Impruneta, Italia","ven, 16 feb","dom, 18 feb",,,Recensioni di Hotel Villa Cesi,"Potrai usufruire di un business center, una reception aperta 24 ore su 24 e deposito bagagli. Questo hotel è ideale per l'organizzazione di eventi, grazie a un centro congressi e sale riunioni. Il un parcheggio gratuito è disponibile in loco.",,
B&B L'Ortodellerose - Alba - lastminute.com,(44),323 recensioni,B&B L'Ortodellerose,1 / 48,87.0,"Via Cuneo, 5, Alba, Italia","gio, 4 apr","dom, 7 apr",01 apr,08 apr,Recensioni di B&B L'Ortodellerose,"Potrai usufruire di deposito bagagli, un servizio lavanderia e una cassetta di sicurezza presso la reception. Il un parcheggio (a pagamento) è disponibile in loco.",gio 4 apr,dom 7 apr
siti hotel - Cerca con Google,,,,,,,,,,,,,,
Dulcis In Fundo b&b - Roma - lastminute.com,(25),464 recensioni,Dulcis In Fundo b&b,1 / 29,88.0,"Viale di Trastevere, 141, Roma, Italia","sab, 30 mar","lun, 1 apr",25 mar,01 apr,Recensioni di Dulcis In Fundo b&b,,sab 30 mar,lun 1 apr
